step,value
4096,45.0
8192,46.0
12288,46.0
16384,46.0
20480,46.0
24576,47.0
28672,47.0
32768,47.0
36864,47.0
40960,47.0
45056,46.0
49152,46.0
53248,46.0
57344,46.0
61440,46.0
65536,46.0
69632,46.0
73728,46.0
77824,46.0
81920,46.0
86016,46.0
90112,46.0
94208,46.0
98304,46.0
102400,46.0
106496,46.0
110592,46.0
114688,46.0
118784,46.0
122880,46.0
126976,46.0
131072,46.0
135168,46.0
139264,46.0
143360,46.0
147456,46.0
151552,46.0
155648,46.0
159744,46.0
163840,46.0
167936,46.0
172032,46.0
176128,46.0
180224,46.0
184320,46.0
188416,46.0
192512,46.0
196608,46.0
200704,46.0
204800,46.0
208896,46.0
212992,46.0
217088,46.0
221184,46.0
225280,46.0
229376,46.0
233472,46.0
237568,46.0
241664,46.0
245760,46.0
249856,46.0
253952,46.0
258048,46.0
262144,46.0
266240,46.0
270336,46.0
274432,46.0
278528,46.0
282624,46.0
286720,46.0
290816,46.0
294912,46.0
299008,45.0
303104,45.0
307200,45.0
311296,45.0
315392,45.0
319488,45.0
323584,45.0
327680,45.0
331776,45.0
335872,45.0
339968,45.0
344064,45.0
348160,45.0
352256,45.0
356352,45.0
360448,45.0
364544,45.0
368640,45.0
372736,45.0
376832,45.0
380928,45.0
385024,45.0
389120,45.0
393216,45.0
397312,45.0
401408,45.0
405504,45.0
409600,45.0
413696,45.0
417792,45.0
421888,44.0
425984,44.0
430080,44.0
434176,44.0
438272,44.0
442368,44.0
446464,44.0
450560,44.0
454656,44.0
458752,44.0
462848,44.0
466944,44.0
471040,44.0
475136,44.0
479232,44.0
483328,44.0
487424,44.0
491520,44.0
495616,44.0
499712,44.0
503808,44.0
507904,44.0
512000,44.0
516096,44.0
520192,44.0
524288,44.0
528384,44.0
532480,44.0
536576,44.0
540672,44.0
544768,44.0
548864,44.0
552960,44.0
557056,44.0
561152,44.0
565248,44.0
569344,44.0
573440,44.0
577536,44.0
581632,44.0
585728,44.0
589824,44.0
593920,44.0
598016,44.0
602112,44.0
606208,44.0
610304,44.0
614400,44.0
618496,44.0
622592,44.0
626688,44.0
630784,44.0
634880,44.0
638976,44.0
643072,44.0
647168,44.0
651264,44.0
655360,44.0
659456,44.0
663552,44.0
667648,44.0
671744,44.0
675840,44.0
679936,44.0
684032,44.0
688128,44.0
692224,44.0
696320,44.0
700416,44.0
704512,44.0
708608,44.0
712704,44.0
716800,44.0
720896,44.0
724992,44.0
729088,44.0
733184,44.0
737280,44.0
741376,44.0
745472,44.0
749568,44.0
753664,44.0
757760,44.0
761856,44.0
765952,44.0
770048,44.0
774144,44.0
778240,44.0
782336,44.0
786432,44.0
790528,44.0
794624,44.0
798720,44.0
802816,44.0
806912,44.0
811008,44.0
815104,44.0
819200,44.0
823296,44.0
827392,44.0
831488,44.0
835584,44.0
839680,44.0
843776,44.0
847872,44.0
851968,44.0
856064,44.0
860160,44.0
864256,44.0
868352,44.0
872448,44.0
876544,44.0
880640,44.0
884736,44.0
888832,44.0
892928,44.0
897024,44.0
901120,44.0
905216,44.0
909312,44.0
913408,44.0
917504,44.0
921600,44.0
925696,44.0
929792,44.0
933888,44.0
937984,44.0
942080,44.0
946176,44.0
950272,44.0
954368,44.0
958464,44.0
962560,44.0
966656,44.0
970752,44.0
974848,44.0
978944,44.0
983040,44.0
987136,44.0
991232,44.0
995328,44.0
999424,44.0
1003520,44.0
1007616,44.0
1011712,44.0
1015808,44.0
1019904,44.0
1024000,44.0
1028096,44.0
1032192,44.0
1036288,44.0
1040384,44.0
1044480,44.0
1048576,44.0
1052672,44.0
1056768,44.0
1060864,44.0
1064960,44.0
1069056,44.0
1073152,44.0
1077248,44.0
1081344,44.0
1085440,44.0
1089536,44.0
1093632,44.0
1097728,44.0
1101824,44.0
1105920,44.0
1110016,44.0
1114112,44.0
