/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.5_bud_180_03-08-23-08-19/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=944 | return=-52.34 | steps=59 | track=98b5a9093f72722705957c4778a3723d
global_step=992 | return=-5.89 | steps=62 | track=cd4efb150b4fb6af4896a6b5d8fbe57d
global_step=1024 | return=-7.81 | steps=64 | track=df2b54f7501e2bfda3832a118858df1d
global_step=1056 | return=23.67 | steps=66 | track=b6f483af424d4b57c8b57d6e7f0e6d3e
global_step=1088 | return=27.18 | steps=68 | track=38f0ede2a122cca680b81a2aba754ed0
global_step=2096 | return=-109.48 | steps=131 | track=1cd4fd13f78e88de2c0c52bf4521b6be
global_step=2096 | return=12.57 | steps=62 | track=b36301aa531c246ff2a97e00e0f3b993
global_step=2096 | return=-86.26 | steps=131 | track=4bec0b5d6789ab85dde3e0b3e3203aea
global_step=2096 | return=-97.84 | steps=131 | track=46196767313c05ac34672defdd1ddb16
global_step=2096 | return=-97.81 | steps=131 | track=565841c8d3114bcbce39bdad15bf1674
global_step=2096 | return=-91.58 | steps=131 | track=23b4ff9a928ea5c76d968dbabfa85b9c
global_step=2096 | return=-97.94 | steps=131 | track=3b020ff9eb31772a5d2a3ce3eecefd4b
global_step=2096 | return=-93.63 | steps=131 | track=70c376b10ffa1a84f87e9b19dc52819f
global_step=2096 | return=-92.81 | steps=131 | track=a112d8ae39ab3d7a6bd952f0a76b5780
global_step=2096 | return=-93.98 | steps=131 | track=32d9b33c1b9ca2856ef6f028082e603e
global_step=2096 | return=-96.97 | steps=131 | track=2aa795fafff6ddd71a7478a1b97f25c1
global_step=2672 | return=-127.81 | steps=167 | track=c36c28a3df3fb0d95ab023570a86f5bf
global_step=3104 | return=-96.99 | steps=131 | track=7838249d8c01160631906195890bf10c
global_step=3136 | return=-11.73 | steps=64 | track=7d747ca3b2ad6b57b299a9491d07b144
global_step=3136 | return=-88.92 | steps=131 | track=d53437b45de7789da16e66c029cfa0c4
global_step=3136 | return=-2.38 | steps=64 | track=9668a8c3ea1542894b5dc53d8f1996a2
global_step=3200 | return=51.40 | steps=68 | track=04784905d9bf93904094e601786a0880
global_step=3696 | return=-122.25 | steps=171 | track=4fccc89ea7927b0e9912aa3eb0841222
global_step=4000 | return=-38.33 | steps=118 | track=99248f4cc7e8652f811e85708451aa37
global_step=4080 | return=-86.87 | steps=188 | track=459d51a8ec85034f8b3e26af82b2c810
global_step=4192 | return=-100.57 | steps=130 | track=6edb2c2cb8255adf56bbb2a6c056dc0d
global_step=4192 | return=-110.98 | steps=130 | track=57a22f87b3fa1d03f8953df8299747cd
global_step=4192 | return=-98.83 | steps=130 | track=8c83227ceed05e9002e9ba3193b55efe
global_step=4208 | return=-105.05 | steps=131 | track=60183fcfe99b1aced10ea385734982e1
global_step=4208 | return=-99.49 | steps=131 | track=d5565033de03c18a61b71d9c4505af3b
global_step=4784 | return=-98.24 | steps=131 | track=1a7f3f5d5d5a248fac76a79d350d7eab
global_step=5040 | return=-2.94 | steps=83 | track=dea67dcfc8a0583a991a84e9e04bb9db
global_step=5184 | return=17.02 | steps=68 | track=43d2d59b294cb12da2bc6ce21370b8cd
global_step=5216 | return=-93.04 | steps=131 | track=9782fa9a4053a6516f04d533addfda3c
global_step=5248 | return=-101.69 | steps=131 | track=15bafefa67be65304e3ac29124dc680d
global_step=5472 | return=-42.35 | steps=145 | track=524425e62f4267c7aebd0fb2c2dceca0
global_step=5616 | return=-14.57 | steps=154 | track=e57c6a05a07338f79e6678e973155693
global_step=5632 | return=35.13 | steps=88 | track=9f1606e1499a3750b90da28e54165b16
global_step=5632 | return=-32.38 | steps=151 | track=c64c433a3c1f1113eafbd53056d939da
global_step=5696 | return=-76.92 | steps=224 | track=03277907cdc954de4293f7824c3e3a6f
global_step=5936 | return=-158.73 | steps=239 | track=69568f1069d638eda2b08cdaac3af6fa
global_step=6112 | return=-96.31 | steps=131 | track=e2fb88cf0a3fe2bb430aeb94529a8675
global_step=6304 | return=-101.99 | steps=131 | track=a15ad56ca3978b2ed6cdd9efbb7c05a1
global_step=6304 | return=-94.10 | steps=131 | track=8b9319d2a8402ec9cc90f54cc0f28f6e
global_step=6304 | return=-107.26 | steps=131 | track=9431225cc7299a7c53d8e6d208429b58
global_step=6320 | return=-96.52 | steps=131 | track=01e3ae1c13680b03558a4dbba72b9fea
global_step=6384 | return=-6.05 | steps=70 | track=a886c0971a01d0951a5efcbdcaeddc0f
global_step=6544 | return=20.19 | steps=66 | track=3cd6076f8f2045f5b155d1ddb1592af1
global_step=6880 | return=-100.16 | steps=130 | track=0ca5a8049db206be788e57aa09b3a724
global_step=7152 | return=-91.22 | steps=131 | track=47f593ad87f7641c75c6fe3b326339eb
global_step=7296 | return=-87.71 | steps=131 | track=9de687d2d16938e8a703cee8bea82fe7
global_step=7328 | return=-92.96 | steps=131 | track=3ee185333874928284ca20d19da15439
global_step=7728 | return=-101.51 | steps=131 | track=4f5e8029a814a429e94f34303e2d4a43
global_step=7744 | return=-111.51 | steps=131 | track=ec3b2ebadcdd9454134b6ada0c36a015
global_step=7744 | return=-100.47 | steps=131 | track=c277c0f4572fe0448f580243e5c18836
global_step=7808 | return=-93.64 | steps=131 | track=26cada7036b1bca5fa4558f51464e47a
global_step=7920 | return=37.85 | steps=85 | track=0e2583bca9e1f608a1cc3dc5f2c2e24b
global_step=7968 | return=9.56 | steps=103 | track=1e9148b770526ff22670a51401567d4c
global_step=8032 | return=-103.62 | steps=130 | track=514c572e697216f2b78cc2e3ff4beef3
global_step=8224 | return=-88.80 | steps=131 | track=150188dd64a5900e97725259c0d34abe
global_step=8416 | return=-113.19 | steps=131 | track=9156f41092683b00c81054c641184a48
global_step=8416 | return=-99.67 | steps=131 | track=e5ad1788e8bf203dcbfaebceed0a1773
global_step=8496 | return=-81.87 | steps=131 | track=39718a4f5541efb2aa4d80fdc8073b4d
global_step=8544 | return=20.14 | steps=75 | track=af25e6b6ea2f2379a95bbb533dfe1dfa
global_step=8560 | return=-79.63 | steps=139 | track=dd42380b23366a93bd6ecfae75219c0c
global_step=9104 | return=33.41 | steps=80 | track=8e8558a36272e9ea2470f1db5368e2f2
