/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_03-08-23-08-22/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=944 | return=-61.25 | steps=59 | track=8520818fa89e9079ebcefd06c6aff4ca
global_step=1056 | return=13.29 | steps=66 | track=3acfe63f17f9aad0b8906b51382044a5
global_step=2080 | return=-110.03 | steps=130 | track=a59b2d0dbacd61d7d80a5e2bb538be35
global_step=2080 | return=-109.49 | steps=130 | track=a2d96dfea758f9806209ed0a14fb3445
global_step=2080 | return=-101.56 | steps=130 | track=ccd5bc81f118bd085690afcc27a0b31a
global_step=2080 | return=-99.28 | steps=130 | track=29763297f97499da993904d124404eb9
global_step=2096 | return=-119.70 | steps=131 | track=9394d4affb1896a12b71af9ae74558ec
global_step=2096 | return=-104.65 | steps=131 | track=b62d0ed5dfa22405d4f74fe0c86d187e
global_step=2096 | return=-94.80 | steps=131 | track=90f9344325ec70f1f6747a00e720a8b5
global_step=2096 | return=-104.66 | steps=131 | track=9009648f44b24c65d6dbea5427ae48bd
global_step=2096 | return=-101.20 | steps=131 | track=ebc6a40125d216000676dea8c49e51bb
global_step=2096 | return=-113.92 | steps=131 | track=997921ae896d2a926706810d593350e9
global_step=2096 | return=-108.54 | steps=131 | track=7644cf9dec9256dd255ec18b61af88b5
global_step=2096 | return=-92.00 | steps=131 | track=d74a5a1875c9f5fac945452b4520a751
global_step=2448 | return=-71.80 | steps=93 | track=19e4b6809ffa192cc3b6893851113822
global_step=2752 | return=-87.06 | steps=105 | track=bb75e82c6b297b817a4e547a4d9134f9
global_step=3088 | return=-3.67 | steps=61 | track=112f39c7131e5971dd2ba96186221a9e
global_step=3216 | return=28.22 | steps=69 | track=2a5ff8d9921745e6f57649febb6e0cd6
global_step=3232 | return=-130.57 | steps=202 | track=3c8cc2ca54377eea307075400300ce80
global_step=3408 | return=-17.11 | steps=82 | track=0450832a75bfbffa37e30418bb804b9c
global_step=3648 | return=-87.04 | steps=96 | track=a4be1a8de328887ee896e9898c8b81ca
global_step=3648 | return=-47.22 | steps=228 | track=05fc347838e2eb6273cf2f6108154b0f
