/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_180_03-08-23-08-23/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1008 | return=-3.32 | steps=63 | track=d7589f2e219bae9fa6d64a5611692440
global_step=1088 | return=-12.22 | steps=68 | track=7c9efd180a87e629a3e95c95c0c28db7
global_step=1152 | return=12.53 | steps=72 | track=79267961c4add7d386fc31729b5b9897
global_step=2080 | return=-94.19 | steps=130 | track=86c54ad54c1c2e4974c7004e10beda1c
global_step=2080 | return=-103.98 | steps=130 | track=e06ee52eb93a912a4b69e75af5d55783
global_step=2080 | return=-99.65 | steps=130 | track=12e6a63241970707ce9dbcbf6aac76ab
global_step=2096 | return=-111.54 | steps=131 | track=80fc6cb3d1fe1f29ccf3a703ae4be285
global_step=2096 | return=-101.47 | steps=131 | track=e797ec0c45f940b1c4983971020c642a
global_step=2096 | return=-105.26 | steps=131 | track=89ca903a88b6342c271e1736ad6d9f58
global_step=2096 | return=-108.27 | steps=131 | track=ab3eae75d2832816f204624fdde1fb80
global_step=2096 | return=-100.62 | steps=131 | track=30b359ee9561da49ac0a71fad8df82ff
global_step=2096 | return=-103.77 | steps=131 | track=419a2dae4ed9a5de441f58956ec8f401
global_step=2096 | return=-99.34 | steps=131 | track=d57cc9e384686a11ffe9a427a7930015
global_step=2096 | return=-126.48 | steps=131 | track=3c7a5075b6dc46433f71fd324edabc81
global_step=2096 | return=-110.72 | steps=131 | track=59845beccb057c6f46d3be29f6dcd402
global_step=2112 | return=-100.40 | steps=132 | track=a8a6d5acda0255afa9c80b3a05da02fd
global_step=3088 | return=-0.45 | steps=62 | track=fdad873bd1d1afb1823f8238a4a52333
global_step=3120 | return=-82.62 | steps=131 | track=e1708c03db6dca4be3acf42cd5f80a1a
global_step=3120 | return=10.25 | steps=64 | track=5beba9bde4893fe3b6006a739befa27a
global_step=3200 | return=-99.35 | steps=131 | track=ae20ddd059dc6fac66bd85e2e2133a1a
global_step=3408 | return=-67.38 | steps=140 | track=e88853c74201b783f987573d711e5082
global_step=3648 | return=-78.45 | steps=96 | track=341490aa05767c2cf4f939a3daba801d
global_step=3648 | return=-86.30 | steps=96 | track=e42bb6b771013ad4cc268209f0982fb6
global_step=3664 | return=-85.78 | steps=96 | track=bffa5dc8e7df871cdc4fd1eb16cd7757
global_step=3888 | return=-45.41 | steps=111 | track=d784e2d27e935d69bed1f1d5dadc728d
global_step=4208 | return=-99.34 | steps=131 | track=5eb4664b2073d1de4a769050d3cac8d8
global_step=4208 | return=-105.61 | steps=131 | track=d3b2e65f4e2895119df91b403280ba02
global_step=4208 | return=-99.34 | steps=131 | track=f62e56760937ea4f857039881e47f848
global_step=4208 | return=-107.80 | steps=131 | track=ae7a8a389d7057a237a48e2ed411738b
global_step=4208 | return=-98.96 | steps=131 | track=92875c773844f3b5bdd48b849cfd58ae
global_step=4208 | return=-91.17 | steps=131 | track=1414085a1ad977e7a8fdc71eaf661c81
global_step=4240 | return=-95.95 | steps=134 | track=ecc414a8a767cbf1ab6c1ec3acefc487
global_step=4384 | return=-10.05 | steps=78 | track=7844756cf85a06b1b528886793726d86
global_step=4384 | return=-20.80 | steps=60 | track=88bbac58950905c1758c7482b73bc223
global_step=5056 | return=25.90 | steps=72 | track=3cc2f2eae1ece230686a68a22588f1b7
global_step=5104 | return=-87.90 | steps=89 | track=8b40f07a8e3fc9ea763601c41ea7ed89
global_step=5200 | return=-99.02 | steps=131 | track=ef7ed8c95b9bbfa8767ca0998f659aeb
global_step=5232 | return=-114.53 | steps=131 | track=1324610e3fa9168e83f1df1ce1142381
global_step=5312 | return=32.08 | steps=68 | track=a99ef822937c9ff25c346357476aa150
global_step=5376 | return=-10.14 | steps=70 | track=ba37ca013498c5f7e987e565e5b4041e
global_step=5408 | return=-94.56 | steps=137 | track=f68f4bbb98bb1d8c9ff3c7a0ba514ca2
global_step=5760 | return=-89.55 | steps=131 | track=31a8a95c7d560036f8146c7835ea2bda
global_step=5760 | return=-110.93 | steps=131 | track=d2da82343e8666ac968c312066289a98
global_step=5824 | return=-76.45 | steps=89 | track=08de987e5f6584db9096dc678b31bff9
global_step=5888 | return=-65.07 | steps=48 | track=9dd53c6de4cddff6dc3083cd05504ab2
global_step=5904 | return=-13.05 | steps=105 | track=2589e9bfd9ab0d23791647a363d3297b
global_step=5920 | return=-36.28 | steps=44 | track=cfd9b86730102002c4479b3e80b2850f
global_step=6272 | return=-3.86 | steps=64 | track=d7beb9579fce244a4b0053a9f9c3801d
global_step=6320 | return=-98.15 | steps=131 | track=73c542c70ecdc907fe1967728944e12e
global_step=6320 | return=-105.24 | steps=131 | track=68fd6fde48be8e1c005a8238b8ab9971
global_step=6320 | return=-109.40 | steps=131 | track=6ef13106eb2557c8d02e9bcacc857c88
global_step=6480 | return=-101.36 | steps=88 | track=3d0601fd4af6a86bb4de709cc9a4ded0
global_step=6496 | return=-109.52 | steps=131 | track=56ff70fdd4d025e166aa18393cac098d
global_step=6944 | return=-19.57 | steps=63 | track=e08f85c97418cbe861ddbc71281ff8b6
global_step=7392 | return=-114.19 | steps=198 | track=2e15d67e6e487859ef9dfef90d5c5678
global_step=7424 | return=-101.52 | steps=131 | track=585eea61b99238885f492bc1e3f892bf
global_step=7488 | return=-105.40 | steps=131 | track=fbd33a00c837b04a0012a7085c33de52
global_step=7536 | return=-113.64 | steps=132 | track=176a15e3956143532fdb63e710f15be8
global_step=7776 | return=16.20 | steps=80 | track=6823983cef8585fa9c81852c77f85802
global_step=7856 | return=-107.83 | steps=130 | track=d6ac832d4aeb9a45cc53b9b87af86f3d
global_step=7872 | return=-121.96 | steps=131 | track=f703cdc383e8ae4fb201a36cd8832bb1
global_step=7936 | return=-111.10 | steps=131 | track=83998feba3060581585db272f3bd5256
global_step=7984 | return=-93.52 | steps=130 | track=d30e86a00e9cb02a4d8d25814642d260
global_step=8016 | return=-97.47 | steps=131 | track=353c200bf6a01689a1023e2c7faf294d
global_step=8080 | return=55.23 | steps=70 | track=4ccfe011a5d62e3e76a410b1fd05adac
global_step=8384 | return=-103.33 | steps=131 | track=6910439cca9e5f5f63685ddea9866da9
global_step=8432 | return=-100.28 | steps=131 | track=65304e8afd79c750a0d38220aa9eed48
global_step=8432 | return=-91.15 | steps=131 | track=2a8b16cfc15e15c15b5d458a5a805c55
global_step=8528 | return=2.64 | steps=64 | track=a5b1b5d43cc41d985c65c75f8e95fcc2
global_step=8992 | return=-5.66 | steps=62 | track=bb5dfbbd7d0f8efdb23d8a510a861cdf
global_step=8992 | return=-14.76 | steps=155 | track=0d87b89b5bbfdb4f4a8e51de5a7edfc5
global_step=9024 | return=155.16 | steps=168 | track=b86b454233344bf539ff68c736d225a1
global_step=9088 | return=-60.24 | steps=40 | track=aa16d73325f30c5438d3a20e074030f9
global_step=9200 | return=55.09 | steps=73 | track=322245b0ddf38a246ed66079b09d1819
global_step=9648 | return=-112.47 | steps=138 | track=51db523019ba3ac5eeddf8b13517e59d
global_step=9968 | return=-110.22 | steps=130 | track=8d625b1f5910fc3fe22708122562ec08
global_step=9968 | return=-86.34 | steps=131 | track=46d060bd6a321c1e88e7f14fbbd45c86
global_step=10000 | return=-76.94 | steps=138 | track=8c248e2f0872d7d6d483cf59c89db075
global_step=10048 | return=-15.29 | steps=156 | track=cc9ba20fa8cbd84502933e5e9d71b626
global_step=10176 | return=-97.32 | steps=130 | track=946e0cdb4421f5e636645c63438b8ed8
global_step=10240 | return=-60.61 | steps=64 | track=8312fd9d83d69808bbc84000c2414c95
global_step=10416 | return=-72.99 | steps=188 | track=cd5f5aa2457b1da3363e3599cec4937a
global_step=10544 | return=-100.26 | steps=131 | track=01f6468cab9bcef4225c26d974179f63
global_step=10576 | return=-97.29 | steps=136 | track=19d44310ab7c12fac0ea2ed30c8d0aca
global_step=10640 | return=-99.63 | steps=131 | track=ed9e097ebfbf6e8b30a8fad5679c82ab
global_step=10752 | return=-56.85 | steps=43 | track=34fa520dfc36f661e9e42c62f0ee4f1d
global_step=11104 | return=-94.05 | steps=131 | track=4c1738f4280414d3d1b6e52a7785c235
global_step=11104 | return=-104.68 | steps=131 | track=73b124a6eb94ace60c7c2094a588e070
global_step=11152 | return=36.80 | steps=73 | track=e838d2d306dd5a1c328a248f47603208
global_step=11184 | return=-102.45 | steps=202 | track=8bd3c0989a9f155f2e4a68426525922b
global_step=11200 | return=-94.24 | steps=131 | track=988337cb6a1a10388fcfda1d16207f1c
global_step=11568 | return=-2.57 | steps=63 | track=dc34d521f577e92b97de1be7d428ecfc
global_step=11616 | return=12.87 | steps=64 | track=f8ff142fa86f210f696a7d8a0686471f
global_step=11680 | return=-73.72 | steps=93 | track=02bc961a077e4709f1319ef8560ab0cb
global_step=11760 | return=-94.64 | steps=131 | track=6a04463b5094b34d57c76371ee08ef8e
global_step=11968 | return=-70.97 | steps=183 | track=50a8fc40cde755abb4f0f62cb73e4763
global_step=12080 | return=-112.83 | steps=131 | track=87c4ace59cd839f180893fe2c79abbb5
global_step=12096 | return=-102.12 | steps=130 | track=1df11da8a8a72b3ecdbe0a920fcdaac9
global_step=12208 | return=19.46 | steps=68 | track=e633d84501fdc2ed8d3b3eea29e33e50
global_step=12272 | return=-67.68 | steps=126 | track=e700737185248780dce30d633db342a7
global_step=12528 | return=-86.52 | steps=131 | track=6daf6f603599c9f7819d060a27fa2961
global_step=12736 | return=-114.07 | steps=130 | track=20b17758d1dc55a1dfb57ca7bbb08aad
global_step=12864 | return=-85.70 | steps=131 | track=e8d5d0411e60a1e814af570faa35bf89
global_step=13216 | return=-97.78 | steps=131 | track=ddbf22943b614ca0ad49e60782b743ed
global_step=13248 | return=-110.18 | steps=130 | track=e30c66de0f90d235812b181414969e8e
global_step=13296 | return=-119.54 | steps=131 | track=7c51ec4a02d971cede79d2b85d579d1a
global_step=13312 | return=-82.64 | steps=131 | track=b2185f67375aa819feb06ed1f4c6229b
global_step=13376 | return=26.70 | steps=68 | track=7b8612748046d5edc6cb9612aac37659
global_step=13680 | return=-104.89 | steps=131 | track=b2424a350e41e60e67b19933fd2e5cd4
global_step=13792 | return=-103.62 | steps=131 | track=c7808fd43a19be825b2c758f469180aa
global_step=13872 | return=-95.42 | steps=131 | track=efab4c7399930030551d60b25c6183d0
global_step=14176 | return=-97.35 | steps=130 | track=5590665cb15c63f99281e51d21351dc2
global_step=14192 | return=-103.96 | steps=130 | track=262bde7f62ebfb9f582e206e7c71a608
global_step=14368 | return=-18.00 | steps=61 | track=eead44ed3bf15cfd02174a6d8314fbb0
global_step=14400 | return=-53.55 | steps=44 | track=24bce4bfefed304ef9cb7abdc47fff6f
global_step=14480 | return=-46.42 | steps=156 | track=64fc1ca4d10335b5cb309f02e2563f90
global_step=14624 | return=-10.34 | steps=150 | track=c94b3770b4cdbfff78e99c22997a8f20
global_step=14640 | return=-128.93 | steps=131 | track=d6335cb4f9ee2242a8ffce74908bac10
global_step=14800 | return=-80.57 | steps=198 | track=4d6286680d96f97608ad559898c78848
global_step=14848 | return=-106.68 | steps=131 | track=992aa5f3633c630a20dd66f2f5fde017
global_step=14928 | return=-1.76 | steps=65 | track=b0898b3402be141e4050dc5cefb16e76
global_step=14960 | return=-98.53 | steps=130 | track=92ea9f4a15d469aec06556473a53e440
global_step=15216 | return=3.78 | steps=63 | track=e0e8607653c4329392f29e1ab40a8ed8
global_step=15296 | return=-76.69 | steps=93 | track=f7e5f0bc113b6965f09e5839dd00936f
global_step=15328 | return=-97.29 | steps=131 | track=d8d982d44256206a5ee6906fe168bfd0
global_step=15344 | return=-104.18 | steps=130 | track=2670816b337624b5bf7ffb344c11b2aa
global_step=15408 | return=-101.00 | steps=131 | track=352cefe355865f16d1d59ded96507b7f
global_step=15424 | return=-100.60 | steps=131 | track=232d4908e93ab24d9c1d38fb710b9ce5
global_step=15536 | return=7.42 | steps=65 | track=f59b4c33f80c3343b9cf9302dd006aab
global_step=15648 | return=5.43 | steps=63 | track=cbc69b4495946389df86ef0af6a9b79a
global_step=16288 | return=-100.06 | steps=131 | track=a04e833b2eb67202c674caaf67de21a3
global_step=16384, SPS=99
global_step=16480 | return=-115.99 | steps=131 | track=459a5e0a1af4be6be8c72ce1832d1b51
global_step=16752 | return=-93.61 | steps=131 | track=7d838a9ab4d7d141f0601d26fa3d4720
global_step=16880 | return=-48.62 | steps=154 | track=81e4b5fa5df79966929fd1c2e4ccb693
global_step=16896 | return=-115.22 | steps=130 | track=e6ea9371ee6341566aeaee90e4235374
global_step=16944 | return=-96.94 | steps=130 | track=00410be298e586680b160b7acb0cecdb
global_step=17024 | return=-86.13 | steps=130 | track=6c1e27d44e1e609b923c33d350958c58
global_step=17072 | return=-117.75 | steps=131 | track=a811bc68414704fd29d4da53773a5e91
global_step=17328 | return=-105.99 | steps=131 | track=37e6b385d74ed58b631cfc1bf188bde1
global_step=17440 | return=-97.58 | steps=131 | track=5ccaef10bcae218b180d7cd3cbc83ca2
global_step=17456 | return=-88.51 | steps=131 | track=cb16cd0c85f3f5ca3cd76d647fd73f66
global_step=17456 | return=-100.67 | steps=134 | track=52cbcb7245d2ba32860de7511d43f9d3
global_step=17504 | return=-67.66 | steps=130 | track=cdde62d92d2a0967b4ab4d9788a3e4fe
global_step=17520 | return=-106.02 | steps=130 | track=9767db5e0c851b9a132917a584a32ec3
global_step=17648 | return=-95.74 | steps=131 | track=88690d1c287f91bb139d8c9a1573a88a
global_step=17760 | return=-107.01 | steps=131 | track=9bf7c8f3fd30d95a7e8790e187868abb
global_step=17792 | return=-9.48 | steps=81 | track=db31935941dc26cee0ca59c3ce55a55f
global_step=18192 | return=-71.43 | steps=42 | track=6368b2dfae65ec4594dd836a0ff460ae
global_step=18352 | return=-90.23 | steps=91 | track=a2856d0e7fef6389891715d57b0db8a4
global_step=18384 | return=-102.80 | steps=130 | track=eeeb5f110eda0b1e72ec55a72fdb5069
global_step=18848 | return=-97.83 | steps=130 | track=e17721f5959f509676026da9dbfd0a08
global_step=19008 | return=-96.99 | steps=131 | track=73e98a96610b9d4cb85beda441bddeab
global_step=19056 | return=-99.97 | steps=131 | track=8e85e142fbb376a6ec28c3cfffa914cc
global_step=19136 | return=-107.52 | steps=131 | track=44e081c90748880246204719562231a1
global_step=19184 | return=-91.15 | steps=131 | track=b47a9d2c9710b29a94b9bf498b96e254
global_step=19440 | return=-105.99 | steps=131 | track=0dc5bfee80b7769c83d0e7f4756884b6
global_step=19568 | return=-94.10 | steps=131 | track=2a57720eeafe689fc99cd8b95f43041e
global_step=19632 | return=-110.01 | steps=131 | track=4d383759209cf4123f38102990bde3ef
global_step=19760 | return=-95.20 | steps=131 | track=a12e4b61c7fae03f5b40437abe738d50
global_step=19904 | return=-108.59 | steps=131 | track=f84bca3056ed4db3246a1dd9c5af0977
global_step=19936 | return=-62.23 | steps=46 | track=3f3e408e33b0a61110f7e66577213fef
global_step=20016 | return=-105.98 | steps=159 | track=7178e106c5228f5eec4ece319d999f61
global_step=20192 | return=-127.60 | steps=171 | track=8115a38a6927101cd507b61524e0b86c
global_step=20304 | return=-96.99 | steps=131 | track=8f732b22ea3ad2db27c17b20d567c5e5
global_step=20496 | return=-109.14 | steps=131 | track=bf61cd1a84538e12080ae9eed24fec81
global_step=20560 | return=-12.98 | steps=61 | track=d2fdf530716df2ad1a40859796eacba5
global_step=20624 | return=-65.05 | steps=141 | track=1e242c6572ab7362db2fcef5586e7282
global_step=20960 | return=-114.69 | steps=131 | track=e550ce7096e982d03405a4e04454fa46
global_step=21008 | return=-8.72 | steps=61 | track=979a74187a9bac0b36071cae0db2846c
global_step=21168 | return=-98.37 | steps=131 | track=7f42d283a2a88ee3f68794b4f6f2b2b4
global_step=21392 | return=-13.77 | steps=226 | track=f74a2306e276bed373286b04224a73a2
global_step=21552 | return=-25.25 | steps=61 | track=cd6e4801e22ff045de7427ca313045b8
global_step=21728 | return=-119.13 | steps=130 | track=1e37e222c882a268e5b32e53cf1d7529
global_step=21728 | return=-107.47 | steps=161 | track=2228021fae6f17a262dbd8367223b0a3
global_step=21872 | return=-91.40 | steps=131 | track=6b0c240d42841dbc94b2e7b051286195
global_step=21968 | return=-58.29 | steps=35 | track=e70d4ee25bb2d36f2c3a3e06aee878d3
global_step=22048 | return=-99.77 | steps=131 | track=29acb1699a0daabc726aaaca82fb4891
global_step=22160 | return=3.41 | steps=61 | track=cf77cf7a47ee8ca2f72c42d63647f26f
global_step=22288 | return=-115.47 | steps=130 | track=341649872bc1344b8f864e9305e1d0f5
global_step=22416 | return=-111.71 | steps=131 | track=42ddc25bd5079eb6eb173cc28745f46a
global_step=22576 | return=-63.00 | steps=52 | track=25fb841ed20575b439514fe607529ffc
global_step=22608 | return=-102.56 | steps=131 | track=9a91c0ee4c13c6b97cd8a8f56a233b50
global_step=22704 | return=-80.16 | steps=108 | track=95959420651dc1e8afd9a3bea7154786
global_step=22736 | return=-108.07 | steps=131 | track=daad56412e0b3825201b01e89a668f9f
global_step=23056 | return=-64.31 | steps=196 | track=e07060e1824ee64a8176e4dbb128cabb
global_step=23088 | return=32.93 | steps=69 | track=9680e206317c8b9f4fd5fcedca41b216
global_step=23152 | return=40.63 | steps=68 | track=8391eb1ed1d93142629a4a09e4c6456e
global_step=23360 | return=9.41 | steps=66 | track=52d3174814d60e1f09023d8f6a204ea0
global_step=23408 | return=-36.36 | steps=49 | track=f6a251efdeaeeaeb51e7eeaf9c671dc4
global_step=23472 | return=-39.71 | steps=251 | track=6ad39de3d482ff6bc432310094c1a35a
global_step=23824 | return=-57.94 | steps=41 | track=6fe029a66e7dfc62b8ccef3c9f830dc4
global_step=23840 | return=-63.62 | steps=142 | track=cea487f6e434349c417fce4d3c33caec
global_step=23984 | return=-97.34 | steps=131 | track=3d62ac887dd5881aec52e56cb5711bf8
global_step=24208 | return=-76.37 | steps=101 | track=15c6388169a92a4d29b5d4ed477190a2
global_step=24272 | return=-100.35 | steps=131 | track=215f2eb24513231492b31d186e0c6e58
global_step=24352 | return=-98.41 | steps=333 | track=e5889f4db39a3e2b14160d12d06ea451
global_step=24560 | return=-78.97 | steps=93 | track=ea576fe3dd9befacbbeaf2a6f1073e2b
global_step=24816 | return=-101.84 | steps=131 | track=7011afeda40d4eea0ceadac9c18cf622
