/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_03-08-23-08-25/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=944 | return=47.87 | steps=59 | track=eb6678aedc4d69fff5cfec43830c8a04
global_step=992 | return=-12.68 | steps=62 | track=5d45760dbb8ac91f3752638ad3b77ee5
global_step=1040 | return=12.79 | steps=65 | track=20f77f06fe43c3eadbb691451ae1c578
global_step=1040 | return=15.33 | steps=65 | track=fdd4b8e36ba05e7769075f4befcbd6d0
global_step=2048 | return=35.48 | steps=68 | track=7e2eaa4f879b8001359e0f180aefeac5
global_step=2080 | return=-115.40 | steps=130 | track=f3e458d3826be9fe9187c5d534b918f2
global_step=2080 | return=-101.18 | steps=130 | track=e56aa12bf13615511599315260f11061
global_step=2080 | return=-106.49 | steps=130 | track=f926463f401b2ae3422fadef226213ae
global_step=2096 | return=-116.62 | steps=131 | track=4a73bc7a4a55e0c95bf63d77412e9bb2
global_step=2096 | return=-87.47 | steps=131 | track=e56b067e83a38c8a556d54f5b5d22bb3
global_step=2096 | return=-113.10 | steps=131 | track=c2cc5ec09a7a7182de85645e72a9ba1e
global_step=2096 | return=-104.65 | steps=131 | track=ba8759abe01e963f91180a3dd736a1b3
global_step=2096 | return=-109.31 | steps=131 | track=3431ad2056868a0d1e16e0cc544d7654
global_step=2096 | return=-108.94 | steps=131 | track=bf9c3465bb693a0d5a14ce4c61e00533
global_step=2096 | return=-99.20 | steps=131 | track=b5f8ac3c043ce914becc54901c3b3083
global_step=2336 | return=-67.04 | steps=146 | track=924ee51caa476b1e196a36f50d676231
global_step=3088 | return=3.07 | steps=61 | track=e077c53b942bbbdb1311d75af6144f81
global_step=3104 | return=-113.27 | steps=131 | track=091de149e1dfd8bbab87e0996cc569fc
global_step=3152 | return=-108.75 | steps=131 | track=1648244bd7f7d71d9b8fb8bd315dc493
global_step=3184 | return=-143.87 | steps=199 | track=e9e91ab7c389460628add8820d556c69
global_step=3472 | return=-14.44 | steps=151 | track=269b0e2e28ebebed13d2ffe503f1d987
global_step=4160 | return=-107.28 | steps=131 | track=7381751828a15b8bc0d1a3d336602d20
