/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_90_04-08-13-42-36/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1024 | return=-2.35 | steps=64 | track=0b18dc1f2eb4ffd3aedfe1b3f4eba8cf
global_step=1072 | return=2.61 | steps=67 | track=d90f80c6f9e172d25c889fa20bb1dc1e
global_step=1072 | return=-48.66 | steps=67 | track=85f5041b8d9fbb6d11399adea2811005
global_step=1328 | return=-20.26 | steps=83 | track=a913e93609814e85fa966b966f99e57e
global_step=2080 | return=-155.18 | steps=130 | track=86922413553c90ff5bbc833044a495a4
global_step=2080 | return=-145.91 | steps=130 | track=28a35bda9e6ca499f44008e4243fc3be
global_step=2096 | return=-168.99 | steps=131 | track=ab8decc6d543acd7d1a902167f31f92f
global_step=2096 | return=-143.80 | steps=131 | track=35c7507df1688b86508335c480ffd7be
global_step=2096 | return=-146.38 | steps=131 | track=f344713c91a38441b31fcad27c299aaf
global_step=2096 | return=-142.40 | steps=131 | track=bbf6b272794e06c1ed23758d8671ea96
global_step=2096 | return=-142.40 | steps=131 | track=bb2d6f58766ae654deef51edfafb7c60
global_step=2096 | return=-151.39 | steps=131 | track=d43f9e353852e86fccb2652b6d4e08d0
global_step=2096 | return=-149.40 | steps=131 | track=1aebadb04a5e30d298f1bf4f2fc51d3c
global_step=2096 | return=-133.06 | steps=131 | track=f6c44696c78b4dc6fd3b289a5a947799
global_step=2112 | return=-144.64 | steps=132 | track=5e7ea84237415371514d68538ca483ff
global_step=2320 | return=-86.67 | steps=145 | track=bf6cf6ab06d4550f62a07fa405da77ff
global_step=2784 | return=-122.41 | steps=109 | track=1d4f77e0d2f8d819506691820ae9f90e
global_step=3184 | return=-160.91 | steps=131 | track=8e60209405412b7a3e9bb3eb49733f06
global_step=3184 | return=-152.21 | steps=131 | track=9da121629c3018c16a6a38d8fce121e9
global_step=3200 | return=10.76 | steps=68 | track=1816951f745034be8d8a7d9ec040d626
global_step=3264 | return=36.08 | steps=72 | track=23c71c76dcdc323d3adf2f0581645fad
global_step=3440 | return=-145.26 | steps=131 | track=a03970a8e7a9b54faeaead5c2d078c6c
global_step=3488 | return=-16.90 | steps=86 | track=f1cce3bb6286fd540110bc3ed5766f3c
