/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_90_04-08-13-45-35/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1024 | return=0.66 | steps=64 | track=bf852f074f76cb8e48bdb1248b339ad3
global_step=2080 | return=-134.25 | steps=130 | track=f7cfd04c8cd6ce6e0bbdc759342233ba
global_step=2096 | return=-163.25 | steps=131 | track=9febeb659438f4b471d52635cbf40530
global_step=2096 | return=-140.26 | steps=131 | track=4ff49e2794ee29fab339403b9c2a93d4
global_step=2096 | return=-138.81 | steps=131 | track=d19a8e338e4531b00408ff54623f0a17
global_step=2096 | return=-151.43 | steps=131 | track=71907f4ee0f1caff9da6fae85a109b0b
global_step=2096 | return=-148.91 | steps=131 | track=5e4d28d2492abe490d122165fc8608d1
global_step=2096 | return=-141.48 | steps=131 | track=4fcec59fad0546aa38e4b2b81b681605
global_step=2096 | return=-145.34 | steps=131 | track=4323d5153d9366553ccfa29ef4c48c9e
global_step=2096 | return=-142.33 | steps=131 | track=2e92cea8a6475a9ad873e7a0e1eec097
global_step=2096 | return=-147.06 | steps=131 | track=0bec109996b922dfe160dea1fbeb519e
global_step=2096 | return=-148.95 | steps=131 | track=8c1ec2d0421a46754226e26572080dfc
global_step=2096 | return=-140.73 | steps=131 | track=4825e104fc60900a599980fb1547815b
global_step=2096 | return=-129.22 | steps=131 | track=bd47961d7b3c05775628c77d56e7d60d
global_step=2288 | return=-106.48 | steps=143 | track=89036293d3ed06688e476f099188b6a1
global_step=2336 | return=-5.55 | steps=81 | track=f9f4dcdcd68eefd508021a21fd0fcf31
global_step=2656 | return=-161.21 | steps=166 | track=efb99f292352da17e150a0284b3bacf0
global_step=3152 | return=13.92 | steps=65 | track=7a4943cd6ddaec1e93d9894e565608a8
global_step=3648 | return=-105.66 | steps=96 | track=443981cb8c1010099d6527b71756813e
global_step=3936 | return=-132.77 | steps=114 | track=600522c3e911ea33ce01577378109386
global_step=4128 | return=-49.02 | steps=60 | track=5ffef1e15d0841a2f14686b9e81c2647
global_step=4144 | return=-113.63 | steps=92 | track=67d0205b936eeab31e6b9e756c67cf46
global_step=4176 | return=-148.43 | steps=130 | track=905846f8a15c34ffc9e23b7c23aa114d
global_step=4192 | return=-146.67 | steps=130 | track=28dc101ab1731a0985e0031acdc4eb54
global_step=4208 | return=-151.27 | steps=131 | track=4c6e9cccb5a6c450d9e5cf595554a3d0
global_step=4208 | return=-155.39 | steps=131 | track=ed3ee5e619fc3bb14e68b8d9ad0fb835
global_step=4208 | return=-138.03 | steps=131 | track=6751c3db2bfd8e1ab2add73186e263ab
global_step=4208 | return=-144.37 | steps=131 | track=16a417e500283fd97688098c4ddd7ad5
global_step=4400 | return=-165.65 | steps=128 | track=da83da8389bcde42895b2f4d0c8e2ae1
global_step=4400 | return=-145.60 | steps=131 | track=3f94994de9f36ad14abd71fd086797c7
global_step=4480 | return=-134.07 | steps=148 | track=a5c37055fe50f8de3ae99a3ae7e3e323
global_step=4704 | return=-22.68 | steps=47 | track=3d9e9226693b9410ded1e2e7b9f87b96
global_step=5120 | return=-79.01 | steps=56 | track=8789983db5b82766e18189abc4412294
global_step=5312 | return=1.76 | steps=68 | track=295410c4a9632c095cf061580398578f
global_step=5552 | return=-138.37 | steps=215 | track=3a72f39f751268b8e6913c9b7ecd5367
global_step=5760 | return=-138.54 | steps=131 | track=62a141344519767d9a8314cdfc37b84e
global_step=5760 | return=-17.53 | steps=65 | track=0869a9b4a1d9f305bd2bf424208d55d2
global_step=5776 | return=-160.11 | steps=229 | track=f732ad2fd558e2e4a25e594b8755d652
global_step=5856 | return=-69.33 | steps=45 | track=f750b63931c3aef7618eccfbb748609e
global_step=5888 | return=-200.65 | steps=236 | track=51349812190937e7b0f86653595b63ce
global_step=6224 | return=-155.12 | steps=130 | track=f3989fbb5f8c64331f6ff4c583f249c1
global_step=6256 | return=-142.90 | steps=131 | track=fc3a393b4a4fbe806e9c6d48a50022a0
global_step=6288 | return=-152.18 | steps=131 | track=8a9542463eb02918fb637f7e2abfdbfd
global_step=6304 | return=-136.10 | steps=131 | track=9da0f84797ef2bcbd15e9be8f9d93427
global_step=6320 | return=-131.77 | steps=131 | track=740d1970d7e564b85c2291278ac778a1
global_step=6496 | return=-137.52 | steps=130 | track=8de2301d128cbc07a62948e95771222c
global_step=6720 | return=-110.09 | steps=156 | track=3d12a4fc66b22b747b85cf81401e99c1
global_step=7024 | return=-58.60 | steps=43 | track=90a63189bd6775244eea90f774761cd6
global_step=7200 | return=-67.55 | steps=169 | track=6605c5fb443a78184ee6879cc4ee9632
global_step=7344 | return=7.75 | steps=65 | track=0007d06914ca9802d6e8843bf98371e8
global_step=7376 | return=-150.15 | steps=185 | track=50580156fe48d0a5e7db00bc15d3f221
global_step=7520 | return=-108.18 | steps=108 | track=a84468da5f043138259c6f57ccc6b55f
global_step=7744 | return=-76.89 | steps=44 | track=3886a5cb7b34e48d1e05f6ac0ffe0f6c
global_step=7744 | return=-155.88 | steps=136 | track=b1d987638dc1dd70a76ea0c27671f9e7
global_step=7856 | return=-135.36 | steps=130 | track=bab1c728e3e01ed9f863ee6e3a763815
global_step=7872 | return=-121.23 | steps=131 | track=74bca8d5bf3cb5f400b423ad1d9a2057
global_step=7968 | return=-145.63 | steps=131 | track=4778e036bb5491da48802c481991bdc5
global_step=8000 | return=-130.75 | steps=131 | track=a595146041e53bc62e4a8961e077b955
global_step=8304 | return=-130.68 | steps=186 | track=9c97c94f613272609c2c32ba92db50af
global_step=8432 | return=-39.80 | steps=42 | track=fe1b13f33fdeed21e6d56c131d5d0928
global_step=8608 | return=-61.02 | steps=148 | track=1e24b9b4f7b4afdaf8f189a19261c891
global_step=8608 | return=-138.33 | steps=131 | track=78b5e43c18dcc29cfd5f0c747468af19
global_step=8672 | return=-71.21 | steps=121 | track=f88cfaa55607bf0cbbe7716dc7b2cf3c
global_step=8800 | return=-59.88 | steps=51 | track=b164dfe103a8d3ccab51114a3ae9f740
global_step=9040 | return=-69.27 | steps=45 | track=eb680b0fbf4b550e7af64a12f19a91c5
global_step=9120 | return=19.48 | steps=69 | track=07eb0f53062ff1572b2a8bcb8f90e7c6
global_step=9472 | return=-136.31 | steps=130 | track=9e97c1bbf6f0c33a6148b4eba8b2c007
global_step=9632 | return=-170.54 | steps=131 | track=548874424d1dc04de97cf09362162d7f
global_step=9728 | return=-129.05 | steps=148 | track=c8bc05498d7fbe918f6dee6d7990fe75
global_step=9856 | return=-143.57 | steps=131 | track=d4ef90a8866882250b0b15681dfe4c78
global_step=9968 | return=-137.81 | steps=131 | track=32e9f9eca86da56cfa4307b0d49b6ca0
global_step=9984 | return=-159.85 | steps=131 | track=46e73b968de45cdc4ccb6c146fb1a0fb
global_step=10032 | return=-167.11 | steps=176 | track=d4da7c0db4ca173502f4165299f67927
global_step=10384 | return=-12.23 | steps=78 | track=134703f37cd3727bad39f7a3acf83a11
global_step=10544 | return=-143.58 | steps=131 | track=d8a7ce168bad3c8f9e3c76d210ed2b62
global_step=10720 | return=-140.26 | steps=131 | track=985133bcb788bdd953d865939db2c6fd
global_step=10720 | return=-141.07 | steps=131 | track=ce8608399e8a05003c0c6e3ba781b1d6
global_step=10912 | return=-135.85 | steps=131 | track=7074701ded7dbedf0a13d3740b1d94f3
global_step=11008 | return=13.67 | steps=64 | track=9e3448715ae5bc6f76c8e162e5056b69
global_step=11088 | return=-125.52 | steps=100 | track=76349c77ddcb9a4fd3bd1e8795f329a6
global_step=11152 | return=-137.55 | steps=131 | track=82ac4ed7084bf17b163e2199a13083ae
global_step=11216 | return=-0.40 | steps=306 | track=2758dcd68d5467c254e6c2b3c3ec1f00
global_step=11472 | return=-105.11 | steps=89 | track=661add62e6eb998a74f3d0d1feff6ad8
global_step=11664 | return=-63.96 | steps=186 | track=f7d7c3b5541310af415e9b71cf438dbe
global_step=11712 | return=-139.54 | steps=340 | track=515d216e0d03aec1556ca562e643775b
global_step=11744 | return=-146.30 | steps=131 | track=c4b913379522b101389d34c12e184123
global_step=11840 | return=-160.63 | steps=131 | track=e0dc047507e3a4fd388a6b020dcbec0d
global_step=11888 | return=-131.63 | steps=93 | track=e29bb67d7a72a1865234248b9cc85e2a
global_step=11968 | return=-142.15 | steps=131 | track=406607aba6b6c9e3321ea398fbe0b546
global_step=12096 | return=-136.00 | steps=131 | track=d56e7ae3611714c4e8df0536587dd2b4
global_step=12144 | return=13.06 | steps=76 | track=9054e25c2ee0398c9ae38285258cb332
global_step=12208 | return=3.79 | steps=69 | track=303116234fbc0c75187b2bd1e30f3d68
global_step=12320 | return=-119.33 | steps=110 | track=2f8b14243428784696b43558948cab66
global_step=12496 | return=0.30 | steps=63 | track=604b355ee36cf37250c2c99793992f41
global_step=12640 | return=-14.27 | steps=60 | track=f6ddfb526ed9804326704a0df80318b4
global_step=12656 | return=-108.19 | steps=89 | track=d5c1fedf3d33a0a9af3a9b292e5b0edd
global_step=12752 | return=-2.08 | steps=62 | track=c4d328e0ca07f6c35f41e383873ae71b
global_step=12816 | return=-151.84 | steps=130 | track=a992df4ba2a84cd09536543f4b5b9fee
global_step=12832 | return=-125.50 | steps=131 | track=91a4f5646d173f04aa26ec6c2ad10794
global_step=13200 | return=-103.52 | steps=136 | track=02c1c630bba79eb4c5af32dacd2facb3
global_step=13504 | return=-89.50 | steps=100 | track=debe2f7fa5831ecca65ac719f13cdfc1
global_step=13968 | return=-112.56 | steps=140 | track=0ba59974e2c14f7e4501e3b23d7d38e6
global_step=14048 | return=-59.26 | steps=180 | track=b52915d6358f9ea0845398bdc7bd2aab
global_step=14144 | return=-97.32 | steps=143 | track=9a69708d7b65318fb5358609cbc91507
global_step=14192 | return=-145.98 | steps=130 | track=cf3ef5f5ca09ac2932b6b8a64c1fa1b0
global_step=14256 | return=-147.04 | steps=131 | track=243cf56f6b3c674a060848bfef6e92e1
global_step=14432 | return=-129.12 | steps=131 | track=772f1e4fa71a4ff5f4c3fb225fb601a0
global_step=14608 | return=-108.78 | steps=131 | track=3f1e28368c1733f51f1a76d01f37419a
global_step=14640 | return=-51.26 | steps=151 | track=f0c8ff6aed911de9fad1bd531a8a8c19
global_step=14752 | return=-156.59 | steps=131 | track=6a40bef9972b6dfbda372d892d8311e7
global_step=14784 | return=-147.01 | steps=132 | track=3542a22e61eef09ab8e7373e9a584b30
global_step=14864 | return=-158.43 | steps=131 | track=f87ad820f03523cb7090a99ce3c90cb5
global_step=14928 | return=-152.33 | steps=131 | track=a7c8b8a2c4427ef1b9a4daf3545e3aa6
global_step=14944 | return=-149.62 | steps=131 | track=249a95f1e6a8fec6f4cbbc35af95b471
global_step=15312 | return=-167.63 | steps=131 | track=ee61cad4aa98ae005f78ecbddf34b4b7
global_step=15616 | return=-146.61 | steps=131 | track=9d8b22a1010523dcf58ff3e3a275e3a9
global_step=15632 | return=-118.40 | steps=98 | track=36bf19387a7dcc856dc68bd1783ff215
global_step=15664 | return=-28.26 | steps=54 | track=554a79d9a2c5e4c11f796d2382998607
global_step=15888 | return=-124.42 | steps=108 | track=08e5d3215bf504bdbe6bbd643f091d86
global_step=16080 | return=-146.47 | steps=131 | track=21b7053ad6bc98afba81f4575e62faf9
global_step=16288 | return=-139.64 | steps=130 | track=f7180f2ad93a37f1e24ca30db5da5b03
global_step=16320 | return=-58.74 | steps=43 | track=14b575a375f5134b5e4d9e6755366c6a
global_step=16368 | return=-154.57 | steps=131 | track=32895c97c372e4ed85d182a7f435816a
global_step=16384, SPS=63
global_step=16720 | return=-146.17 | steps=131 | track=c53630e6bc005017cea14d5329f67b7c
global_step=16736 | return=-149.70 | steps=130 | track=dd2eb5abbff71e15a52bb5af74626a15
global_step=16816 | return=-53.84 | steps=45 | track=9104fe1a343523a313faf3b7bbc680de
global_step=16960 | return=-145.42 | steps=130 | track=01bd15c8457117f7b7ce2d9e4ddab1c7
global_step=17056 | return=-147.68 | steps=131 | track=1a485b64b6b516d9fcf8097e91ee8567
global_step=17152 | return=-164.97 | steps=149 | track=63622fdfc4ff518fc9c5682de1a60c8c
global_step=17424 | return=-148.68 | steps=131 | track=d2c6e4b880d38fe8714fea54975b2ec6
global_step=17648 | return=-122.46 | steps=200 | track=04ffde7b8c32a3b445d013185c3d26f9
global_step=17728 | return=-148.66 | steps=130 | track=d63f3bc5e4bee947093f7639151aebba
global_step=17968 | return=-113.32 | steps=104 | track=24eee9fdb32d38b391fa643472d1db58
global_step=18288 | return=-107.28 | steps=96 | track=db476edbc625b93150042e8115e532eb
global_step=18368 | return=-190.09 | steps=399 | track=e7f3f028a6f0826a654fd6671ad50915
global_step=18464 | return=-73.55 | steps=160 | track=4d2cb0fc2053e110b32492fe4feb14ed
global_step=18656 | return=-27.62 | steps=62 | track=61f7e7aed07a4f60d34b6b5095c8cdad
global_step=18672 | return=-87.87 | steps=146 | track=80979fa6978f80a49bcca4b0befbd6f3
global_step=18816 | return=-49.23 | steps=152 | track=aab958927f694adea1a70f98f61288b6
global_step=18928 | return=-141.66 | steps=131 | track=adcd5efeb75b4c08a4d0310ce8245c1a
global_step=19072 | return=-140.45 | steps=131 | track=fe6cd9790d97936471953e425f0765c5
global_step=19136 | return=-49.42 | steps=150 | track=5cff8dc68b00ff8744fa16d0af054e38
global_step=19168 | return=-143.81 | steps=131 | track=e19fe1665c1409a69294d134d1049fea
global_step=19264 | return=-161.81 | steps=131 | track=08a8608a1807649d238edf0dc46c90f0
global_step=19392 | return=-143.41 | steps=232 | track=d2967595dd9947f2a7897d7e3563f4a6
global_step=19488 | return=-124.29 | steps=109 | track=4c2c30199261bc2a265c201151a1da64
global_step=19776 | return=-63.71 | steps=302 | track=8d7d8a6530720734d2ae71253cdee3d3
global_step=20080 | return=-149.16 | steps=131 | track=df2ab6a0a16d6de778b5d258ac67aedd
global_step=20480 | return=-77.75 | steps=131 | track=2309181f12164298a8882423fd508e1a
global_step=20560 | return=-116.84 | steps=130 | track=e1b902c97cd532e59c70adc35bb5d9c4
global_step=20768 | return=-139.28 | steps=130 | track=0f0be48045d1a29387b28883b59495f0
global_step=20768 | return=-150.17 | steps=131 | track=658f3aa3b8cbf1c2fefa75bb634836f4
global_step=20800 | return=-62.86 | steps=210 | track=4dfa5f7f8b835cbdc72ef024c6c0c1f4
global_step=20928 | return=-130.31 | steps=131 | track=7dda09c63433659e5a296af95dc7f52d
global_step=21040 | return=-132.03 | steps=131 | track=392312356da6ce871287f7314eeccc42
global_step=21184 | return=-4.76 | steps=68 | track=8e62df04f7ce944c61f9c54437463f6e
global_step=21248 | return=-141.24 | steps=131 | track=1a85488fee48f6e70982dccbcda8f44f
global_step=21280 | return=-139.37 | steps=131 | track=c28307bee3e9feb6f776f489ea509c8f
global_step=21280 | return=-49.58 | steps=44 | track=97da322b0b2346f8b5fa7715c217bc25
global_step=21392 | return=-146.01 | steps=132 | track=2e7c9fe029c0e5e0aa405171dfc7a592
global_step=21504 | return=-147.06 | steps=131 | track=f67a3dd43159b1a5cddcf4736e84bbf3
global_step=21552 | return=-167.36 | steps=203 | track=47fdb15b7691ecd6af848feba6508982
global_step=21600 | return=-136.56 | steps=131 | track=291f1c1f740af5319e0721cf1ec02424
global_step=22080 | return=-72.45 | steps=64 | track=b0ae0c53287b722e153a79dbcf6ee5e6
