/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1008 | return=-11.05 | steps=63 | track=333618cbfcaeb990f0680aa28dd8c5c9
global_step=1072 | return=16.76 | steps=67 | track=45e33c8daa1bb5b741d519eafbc3c7d4
global_step=1088 | return=-56.23 | steps=68 | track=fd72ebb415f7e980967e6d9f0a06ee94
global_step=2080 | return=-142.98 | steps=130 | track=8f5a5c5c6b6d01f8855d5b97dd9de19f
global_step=2080 | return=-165.47 | steps=130 | track=098ca3c9711f0491df49627c74a99f4d
global_step=2080 | return=-165.80 | steps=130 | track=ddcd5e52c2bad8c5b5826602080fae23
global_step=2080 | return=-144.35 | steps=130 | track=6f28021af1c1d642d9ea25b60929a659
global_step=2080 | return=-139.05 | steps=130 | track=b588bfe1c2918b243b028ec269bd5935
global_step=2096 | return=-159.20 | steps=131 | track=cb9dfe508310a6adb37f4270dc30e875
global_step=2096 | return=-147.39 | steps=131 | track=2428341bd892f5bca3522e8d4836bc77
global_step=2096 | return=-157.55 | steps=131 | track=ab6750a4c7aaaf2c7197f67e03fa9d96
global_step=2096 | return=-141.01 | steps=131 | track=30afc8da9cd7a16cda03e77f009d0e0c
global_step=2096 | return=-157.80 | steps=131 | track=2f9bbcc5ccfbcbd5f54c78f991e4590e
global_step=2096 | return=-139.47 | steps=131 | track=b2a267acd21aa3b29367f46b09d32dbe
global_step=2112 | return=3.95 | steps=64 | track=b852fd1071aa63752a191bd59f1b3d4b
global_step=2416 | return=-63.85 | steps=151 | track=f901c9ba301dc9a7b0e1980aab2b1218
global_step=3136 | return=-152.19 | steps=132 | track=1768396b4173c83ecf745e6a8c5560d6
global_step=3200 | return=-141.39 | steps=131 | track=40706abbff6f9b305d729c23b5510c75
global_step=3648 | return=-110.36 | steps=96 | track=ebfed9d9fcf4528a0ff3611712be47ec
global_step=3952 | return=-23.54 | steps=247 | track=64f98590a7719c2d27897802fdebec46
global_step=4192 | return=-155.21 | steps=131 | track=403ffc68ca0c4f0c42e47873394b8807
global_step=4192 | return=-148.87 | steps=131 | track=d7be5635fadab3ae446ac4db5caa0e0c
global_step=4208 | return=-161.97 | steps=131 | track=22244d27164677f555b1f062ccf5c5f8
global_step=4208 | return=-151.91 | steps=131 | track=b0ef7559bd59867585a2480df167a1bf
global_step=4208 | return=-135.47 | steps=131 | track=4a590b1027b5a45e0168415bf400449d
global_step=4224 | return=-137.03 | steps=131 | track=3bf3b5a0e4e346f6c810213f8efa31e7
global_step=4256 | return=-89.07 | steps=135 | track=137b5936a0e6eaacf40993767485dd3b
global_step=4384 | return=-98.18 | steps=143 | track=fcfb0cd7a57c9ecd0c64d6d285efef62
global_step=4400 | return=-85.80 | steps=143 | track=df7ab275c7f6856dcf8712f557cf4755
global_step=4480 | return=-124.68 | steps=148 | track=3ce5bb513b756dba290c260535d2c57e
global_step=4528 | return=-152.35 | steps=131 | track=e9e23043d02eca44aa6df7dc1a85ed49
global_step=4704 | return=-85.97 | steps=93 | track=38841ac09312165a1239b51f52510c11
global_step=5248 | return=-141.26 | steps=131 | track=efe0c28caa2444e84df75efa619ddc44
global_step=5664 | return=11.64 | steps=73 | track=ffe5f1a45421ee3d95216f3bff21a4e6
global_step=5760 | return=-162.19 | steps=131 | track=b0bce83e9663ffe08b5e6eceddb45b8a
global_step=6064 | return=-145.26 | steps=131 | track=75a0cf4006ddb385134ae3e0c3d2b36f
global_step=6160 | return=-106.11 | steps=90 | track=d8e96309a3f4baeb8e3e42155e732f20
global_step=6304 | return=-145.26 | steps=131 | track=0b717d2746c47209c8e432f9adeb17eb
global_step=6304 | return=-153.97 | steps=131 | track=e6477a05e5006838d257aad8a56c8a24
global_step=6320 | return=-139.69 | steps=131 | track=bf05c4a6d73058a1044deba2e3fbe9ca
global_step=6320 | return=-149.38 | steps=131 | track=7a748332dac9b8c6711b128d8bbcd7f7
global_step=6336 | return=-144.00 | steps=131 | track=7d8a8ddc7a9e4c6ffbb4489e7033412f
global_step=6368 | return=-145.39 | steps=131 | track=9f57e80e47eaa76cc6502b4d1ebead89
global_step=6496 | return=-149.39 | steps=131 | track=32ad44d4cbe956c4ab0157e3cce23ab0
global_step=6496 | return=-144.13 | steps=130 | track=01c95db1fba6c2b3a268d58c5aa0d329
global_step=6576 | return=-230.08 | steps=280 | track=97e5a837fa2100ad2302f4454950f776
global_step=6640 | return=-141.01 | steps=131 | track=fdea9cfe93a3e36be702431c7ccb959d
global_step=7088 | return=71.67 | steps=179 | track=90b09857255faf525025593b87a179a4
global_step=7584 | return=-79.37 | steps=145 | track=7b7f6327df64f50695828da58b172115
global_step=7632 | return=-32.36 | steps=70 | track=a689d2c0db495597ec94965af7e56806
global_step=7648 | return=-74.94 | steps=98 | track=1b5475145fe661a2d6fa9f1836933a9d
global_step=7680 | return=20.56 | steps=68 | track=3f517cfd6daab946bbb02ee9b5239ccb
global_step=7744 | return=-29.09 | steps=123 | track=99a6c821efea4807c94556d6e6d27c9c
global_step=7776 | return=-133.49 | steps=131 | track=645342274734f42bc202ec740e0b0c05
global_step=7824 | return=-52.50 | steps=94 | track=3c8034e4b96d28ae0c695fa5a9d2f210
global_step=7872 | return=-68.73 | steps=48 | track=9fc999330d49a701b49b5ee0c867a607
global_step=8272 | return=-128.86 | steps=131 | track=0643ce7039936b35334844cacaccb01c
global_step=8432 | return=-156.01 | steps=131 | track=5ebddd8873036416729867ea8b475cb6
global_step=8432 | return=-160.72 | steps=131 | track=8d0626f1571779970fad1175d16345cd
global_step=8432 | return=-148.64 | steps=130 | track=f6fc987376de8e565868db2bc1793a86
global_step=8448 | return=-55.38 | steps=43 | track=35fa2507f34681051aaf1bee952db44b
global_step=8464 | return=-140.64 | steps=130 | track=0e8b342bafd35109cd0ee26aaf32229f
global_step=8640 | return=-93.35 | steps=145 | track=42efa3e04dcc0ee12fd3fa987387a1ae
global_step=8752 | return=-150.98 | steps=131 | track=c6dccb14602e3afc1b7150a54bcb6b9b
global_step=9440 | return=-104.75 | steps=109 | track=f680305a02768c70974e04bfe812c2df
global_step=9488 | return=7.91 | steps=64 | track=6ab12acaa5b6a4ecf84017dcc94438b0
global_step=9632 | return=-117.87 | steps=109 | track=9e17d31bc50ce57560fb52c2d20d6965
