/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1008 | return=-35.31 | steps=63 | track=295c8603496bcce8c0e8c2c3711f4fe3
global_step=1056 | return=5.80 | steps=66 | track=0854f18d432cdc2b5d732d87cc5c6a11
global_step=1056 | return=-6.22 | steps=66 | track=6757dc009b4e2387ca6828357abfae3d
global_step=1072 | return=7.56 | steps=67 | track=d32125085add16114b1c6152359871e0
global_step=1072 | return=9.20 | steps=67 | track=62f6dd024dd1e3bd1090e97e5b2ea3ee
global_step=1152 | return=1.23 | steps=72 | track=b2a82bc7e9698ae0b62be65eac67c042
global_step=1904 | return=-6.64 | steps=52 | track=d3e137880b97f2be09a4a4cd52ba2d4b
global_step=2080 | return=-15.45 | steps=62 | track=df55ac7d5d7234df9d71546e708682c3
global_step=2080 | return=-153.38 | steps=130 | track=185491b537ad595b2636eed8adc12eea
global_step=2096 | return=-150.68 | steps=131 | track=4b83dd3398247023f2fb785a9ae949bc
global_step=2096 | return=-147.88 | steps=131 | track=93b5dfaff79dc3dd852f4f9956006b5a
global_step=2096 | return=-155.00 | steps=131 | track=34f24c03e1bf752dd8d1d92e574833f4
global_step=2096 | return=-145.00 | steps=131 | track=4dfed3153fcc540e6331bcfeb0a49bd4
global_step=2096 | return=-150.49 | steps=131 | track=0d2f607342708496dbad10d5d4c8345f
global_step=2096 | return=-156.75 | steps=131 | track=5e62eec51cf0af4d287b007f97a69e75
global_step=2096 | return=-150.68 | steps=131 | track=68a7d6033cb0ac152febcb9e17ac2bac
global_step=2240 | return=-0.49 | steps=140 | track=cefac98438ba036d506fd4ff2e2e53b1
global_step=2496 | return=-104.57 | steps=89 | track=9eebb46011dac859d0a754a6d09fa7fc
global_step=2720 | return=-181.71 | steps=170 | track=959bfb4a1b99ff2cfcc5ac6967981377
global_step=3168 | return=-0.62 | steps=66 | track=7854e3aad8a55926df781952625b4935
global_step=3264 | return=-155.98 | steps=131 | track=7cbac3b9188e9a73af92097924c8b6c2
global_step=3712 | return=-113.29 | steps=100 | track=aa2a71d33ca6946cee905b87071ffdfb
global_step=3936 | return=-107.20 | steps=89 | track=8019cfc25a224c4dde2bbe50c96791d1
global_step=4016 | return=-143.01 | steps=131 | track=f00ea6327f49c0683df77c34f4506972
global_step=4192 | return=-159.49 | steps=130 | track=c9bab0e30daee5f43f16f9e4448e7073
global_step=4192 | return=-147.61 | steps=131 | track=a9e72af4cfb73726bac46aa3dbe4577d
global_step=4192 | return=-141.98 | steps=130 | track=c1a7fe9ac5cb751db87064f524c67d9f
global_step=4192 | return=-140.13 | steps=131 | track=da204b8d0f62c86c3d084b87ba8673e6
global_step=4208 | return=-155.53 | steps=131 | track=f15ae2a00633a46516012b7421191c34
global_step=4208 | return=-159.81 | steps=131 | track=e2ab4e7dd61d3ddfc17488d5d2d37297
global_step=4240 | return=-167.70 | steps=201 | track=00d016a38024b8a156b655b0f072879b
global_step=4352 | return=-147.16 | steps=131 | track=cb1b5c181c3692d1c6ac95bd502da2e2
global_step=4736 | return=-72.97 | steps=228 | track=781261e3079ebff8ad24610cb5f191f6
