/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_90_04-08-13-45-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=928 | return=-81.77 | steps=58 | track=d9b1aa95e5a624315ddfc1c3b3f6669c
global_step=992 | return=-15.15 | steps=62 | track=c41519f0f431bc615fe3bcb9d9196ac5
global_step=1024 | return=-8.76 | steps=64 | track=f2ae265638a9730e4b60cbd6e900ee70
global_step=1040 | return=-5.57 | steps=65 | track=8b42ac7c1da01490bcfa07fe1fc7e76e
global_step=1040 | return=1.58 | steps=65 | track=eb1b1379d26102289530069b6f38349d
global_step=1056 | return=23.59 | steps=66 | track=2cacb6c02924541a512213f77f891dad
global_step=1056 | return=8.38 | steps=66 | track=849dc3be7c5b531eae922e8ffea306e7
global_step=2064 | return=-11.84 | steps=63 | track=5a9e1d132f2361d9299a75410d291d11
global_step=2080 | return=-152.00 | steps=130 | track=ef29f97310669b3782b080616b9d5bff
global_step=2096 | return=-146.38 | steps=131 | track=ec43aa88a0641eb6ccd980c0d766b399
global_step=2096 | return=-136.20 | steps=131 | track=df6f4b9e48d3aaad1d5ee638e43d795b
global_step=2096 | return=-152.11 | steps=131 | track=093edb492b50f887c13c716fa41e229f
global_step=2096 | return=-135.64 | steps=131 | track=03e6c0a542c028c10315e97c7ff3f7a7
global_step=2096 | return=-150.34 | steps=131 | track=2b4b33aeb251927ecc31ea1433e8f110
global_step=2096 | return=-143.55 | steps=131 | track=ea0c825f7f251b055f752a04733d3078
global_step=2432 | return=-70.53 | steps=93 | track=429573b41cac4c893c8f0a84c346d4c3
global_step=2544 | return=-13.82 | steps=159 | track=43009819888246b18698ad570cea85b7
global_step=3024 | return=-183.16 | steps=189 | track=17729955c6be8d53826824ce62ac04c3
global_step=3088 | return=-121.45 | steps=130 | track=88a1b105d0cfb8e13c1a85e0c246ca97
global_step=3136 | return=-153.78 | steps=131 | track=fc4b3cf88776045fe5d5ee2e5c962d25
global_step=3136 | return=-133.95 | steps=130 | track=5f891271e69c216826a26fde42a65a67
global_step=3168 | return=-149.03 | steps=131 | track=79d24f35a718ae9116e839939b0955be
