/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.7_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1040 | return=-90.08 | steps=130 | track=6600aa8faac5578a7f52b086b93b29b7
global_step=1040 | return=-99.82 | steps=130 | track=ee1463cd5eecbbc3550c03a9d889e9d0
global_step=1040 | return=-94.50 | steps=130 | track=487ea57f6ff1a8f722bf7dc0137921ce
global_step=1048 | return=-101.28 | steps=131 | track=3504134a7459b1b66807f9e462a3e699
global_step=1048 | return=-83.06 | steps=131 | track=5ce78d7be2f80cd63846e0afd717cf52
global_step=1048 | return=-99.42 | steps=131 | track=c08347936f0fe0d27409b6949f0eeea6
global_step=1160 | return=12.21 | steps=145 | track=c9446c94ebc64c0d1347056a6a38aa80
global_step=1528 | return=-99.01 | steps=191 | track=79f8dd32779a34d705cbfcf34b38d4ca
global_step=2096 | return=-97.88 | steps=131 | track=8ab50ad424da11fc1af14cb2c798170f
global_step=2096 | return=-82.17 | steps=131 | track=59f5bb42709825e10e23665fe8100a09
global_step=2104 | return=-95.11 | steps=131 | track=f32481814448de376a3f72dabf1d266c
global_step=2112 | return=-99.30 | steps=132 | track=66f1a33773b7f44e97a15f2a129168b0
global_step=2344 | return=-74.48 | steps=101 | track=53019b36b75782a1c7cfddfa336281f7
global_step=2600 | return=25.53 | steps=61 | track=5762c21cd8cffa831bc40040f425adb0
global_step=2648 | return=66.48 | steps=68 | track=5bfff94e7bfdabb49566af12f4b38496
global_step=2752 | return=-60.70 | steps=212 | track=99664d9a0315c4708511db7beee4bd55
global_step=2776 | return=28.45 | steps=84 | track=149d04df971a59c04eeddb573a4e130f
global_step=2856 | return=-92.03 | steps=211 | track=4cd9995973b45a2a4630811805d39fd4
global_step=3184 | return=-70.38 | steps=133 | track=ca300d8f372c4d99b73a020c239703e6
global_step=3400 | return=-91.11 | steps=131 | track=c5986a21c40e1c52ad1977e70d1e4b46
global_step=3656 | return=-82.78 | steps=131 | track=39e9971e379886a4f3764f0e7e866c33
global_step=3760 | return=-40.68 | steps=339 | track=ec0fa5133309350f523940b72da53ce1
global_step=3912 | return=-84.76 | steps=131 | track=c591357dc7a6e38a42bc1bc8cc440716
global_step=3992 | return=-100.23 | steps=154 | track=5eeedff2194399399285d018905d571f
global_step=4064 | return=-16.06 | steps=160 | track=1b2f4a7702ca4dbd85acb87690574283
global_step=4240 | return=-84.67 | steps=131 | track=4833a2656e834eb95a85da839e824c65
global_step=4456 | return=-83.60 | steps=131 | track=77894d747ff7f71f7f72f18e7cbe1d5f
