/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.2_bud_180_04-08-14-42-03/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=520 | return=-5.36 | steps=65 | track=3ace1da45bbc32630d15ae8efd7b838f
global_step=528 | return=47.60 | steps=66 | track=b99ca100847b21997ca2943c124f4723
global_step=584 | return=44.94 | steps=73 | track=9449881cc81a67a3c32ec360b7ef335b
global_step=744 | return=43.12 | steps=93 | track=097aefed7fcd6cdaf04e3870860bd555
global_step=776 | return=-75.17 | steps=97 | track=cb25c819f5dd000d575d6ea0b7780c14
global_step=1032 | return=1.93 | steps=63 | track=80a6336cd00142fe66096d00ab1d113b
global_step=1040 | return=-102.20 | steps=130 | track=d2f5d33c8580042d028bd75e1f64c8a1
global_step=1048 | return=-90.46 | steps=131 | track=6e6f15df4ee2d9ccd2946c7b91cbf732
global_step=1056 | return=-103.11 | steps=132 | track=b8128a549d78289041634831db76f3ef
global_step=1504 | return=-77.79 | steps=94 | track=db9ad677dade1180a182eb441c3e7e75
global_step=1688 | return=-55.21 | steps=113 | track=10039c215cc5528f2983c00b5d72c3ae
global_step=1776 | return=-86.23 | steps=148 | track=a877496986a838e7490f860b4dff485e
global_step=2104 | return=-99.02 | steps=131 | track=fa9e6a1120950cdc575c3a91054d715c
global_step=2256 | return=-54.43 | steps=215 | track=9a5fe955f8e04fa7bda008181363117b
global_step=2544 | return=14.94 | steps=95 | track=1ac0ec23d7e4a1ca610677e6f26df459
global_step=2560 | return=-92.69 | steps=131 | track=9602011722067d3e63c283ee1a1cd325
global_step=2744 | return=-88.02 | steps=131 | track=769b90e4022ef6897548d3a5be282fd3
global_step=2912 | return=-121.63 | steps=234 | track=17a5395021cf709833b7a0d31271ef00
global_step=3160 | return=0.42 | steps=112 | track=f980d9c716d01eb863e99aa537631b49
global_step=3160 | return=-92.88 | steps=131 | track=540b8f63a379710be11472e92466b8b7
global_step=3184 | return=27.92 | steps=77 | track=9a6ae2ff4c097cba91a7450af6852b46
