/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_20-07-23-05-06/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=336 | return=-104.73 | steps=42
global_step=544 | return=-204.93 | steps=68
global_step=992 | return=-189.58 | steps=124
global_step=1048 | return=-248.43 | steps=131
global_step=1048 | return=-208.43 | steps=131
global_step=1048 | return=-208.43 | steps=131
global_step=1048 | return=-218.43 | steps=131
global_step=1048 | return=-178.43 | steps=131
global_step=1392 | return=-208.43 | steps=131
global_step=1720 | return=-244.71 | steps=146
global_step=2048 | return=-248.43 | steps=131
global_step=2104 | return=-238.43 | steps=131
global_step=2104 | return=-168.43 | steps=131
global_step=2104 | return=-248.43 | steps=131
global_step=2104 | return=-218.43 | steps=131
global_step=2104 | return=-228.43 | steps=131
global_step=2448 | return=-208.43 | steps=131
global_step=3048 | return=-173.78 | steps=117
global_step=3160 | return=-298.43 | steps=131
global_step=3160 | return=-248.43 | steps=131
global_step=3160 | return=-238.43 | steps=131
global_step=3160 | return=-188.43 | steps=131
global_step=3504 | return=-218.43 | steps=131
global_step=4064 | return=-231.43 | steps=112
global_step=4096, SPS=9
global_step=4104 | return=-208.43 | steps=131
global_step=4216 | return=-208.43 | steps=131
global_step=4216 | return=-248.43 | steps=131
global_step=4216 | return=-208.43 | steps=131
global_step=4560 | return=-210.15 | steps=131
global_step=4608 | return=-519.44 | steps=360
global_step=4632 | return=-316.64 | steps=322
global_step=5120 | return=-238.43 | steps=131
global_step=5272 | return=-238.43 | steps=131
global_step=5272 | return=-218.43 | steps=131
global_step=5272 | return=-238.43 | steps=131
global_step=5400 | return=-223.93 | steps=161
global_step=5616 | return=-258.43 | steps=131
global_step=5664 | return=-248.43 | steps=131
global_step=5688 | return=-208.43 | steps=131
global_step=6328 | return=-198.43 | steps=131
global_step=6328 | return=-238.43 | steps=131
global_step=6328 | return=-218.43 | steps=131
global_step=6456 | return=-218.43 | steps=131
global_step=6672 | return=-278.43 | steps=131
global_step=6720 | return=-268.43 | steps=131
global_step=6744 | return=-208.43 | steps=131
global_step=7096 | return=-128.75 | steps=46
global_step=7120 | return=-130.25 | steps=46
global_step=7384 | return=-238.43 | steps=131
global_step=7384 | return=-250.15 | steps=131
global_step=7512 | return=-211.26 | steps=147
global_step=7512 | return=-188.43 | steps=131
global_step=7728 | return=-178.43 | steps=131
global_step=7744 | return=-486.58 | steps=327
global_step=7984 | return=-132.10 | steps=58
global_step=8152 | return=-258.43 | steps=131
global_step=8176 | return=-228.43 | steps=131
global_step=8192, SPS=9
global_step=8304 | return=-233.35 | steps=69
global_step=8440 | return=-188.43 | steps=131
global_step=8440 | return=-228.43 | steps=131
global_step=8552 | return=-307.53 | steps=129
global_step=8784 | return=-238.43 | steps=131
global_step=9040 | return=-258.43 | steps=131
global_step=9232 | return=-238.43 | steps=131
global_step=9392 | return=-233.18 | steps=135
global_step=9496 | return=-238.43 | steps=131
global_step=9640 | return=-223.18 | steps=135
global_step=9656 | return=-384.40 | steps=151
global_step=9824 | return=-400.58 | steps=208
global_step=9840 | return=-188.43 | steps=131
global_step=10096 | return=-298.43 | steps=131
global_step=10288 | return=-298.43 | steps=131
global_step=10552 | return=-298.43 | steps=131
global_step=10696 | return=-268.43 | steps=131
global_step=10792 | return=-203.88 | steps=174
global_step=10880 | return=-228.43 | steps=131
global_step=10896 | return=-238.43 | steps=131
global_step=11152 | return=-198.43 | steps=131
global_step=11288 | return=-169.90 | steps=48
global_step=11344 | return=-328.43 | steps=131
global_step=11608 | return=-288.43 | steps=131
global_step=11752 | return=-268.43 | steps=131
global_step=11800 | return=-167.73 | steps=125
global_step=11936 | return=-228.43 | steps=131
global_step=11952 | return=-306.03 | steps=286
global_step=12208 | return=-208.43 | steps=131
global_step=12288, SPS=9
global_step=12344 | return=-218.43 | steps=131
global_step=12400 | return=-198.43 | steps=131
global_step=12664 | return=-198.43 | steps=131
global_step=12808 | return=-238.43 | steps=131
global_step=12856 | return=-238.43 | steps=131
global_step=12992 | return=-198.43 | steps=131
