/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-18-22/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1040 | return=11.01 | steps=65 | track=55c248e3b6d1feb4bff2e648a459de68
global_step=1152 | return=48.51 | steps=72 | track=5d0afd6dc5f1ac8ec072f1441d204399
global_step=2080 | return=-134.87 | steps=130 | track=5154965a2948f3e249e47530888a1399
global_step=2096 | return=-141.96 | steps=131 | track=5d32aa4926255ffb19e3a0bda23e332f
global_step=2096 | return=-136.85 | steps=131 | track=00e845be9f4c40d7415619efb4d3f321
global_step=2096 | return=-138.04 | steps=131 | track=ff53460cb11ecaa4fa1fce29989426c4
global_step=2096 | return=-126.97 | steps=131 | track=b256343a4e3b426224f4ba6530d2114b
global_step=2096 | return=-135.21 | steps=131 | track=daf46c24e814fdee1871268807ebb2a4
global_step=2096 | return=-132.03 | steps=131 | track=2b9b4d8d3d27d00b0b8d0ab526e03d3d
global_step=2096 | return=-136.20 | steps=131 | track=6d02bbdf2b526537dcfd19996abf96f1
global_step=2096 | return=-122.38 | steps=131 | track=760460a2c08b6cbed4f90b28556b545b
global_step=2096 | return=-138.40 | steps=131 | track=2768f968ea4b3ec6c97a666037a32c22
global_step=2096 | return=-126.75 | steps=131 | track=b13d37fff7eded3d11e4011a6e7de54b
global_step=2336 | return=-62.11 | steps=146 | track=17b0a387d72b9fa8c0c25df2c7090023
global_step=2336 | return=-61.08 | steps=146 | track=02174e7a5ecea388f84b9cb451f4a80c
global_step=3120 | return=-135.29 | steps=129 | track=60ba0a77425eb115b575261bee42bfa7
global_step=3248 | return=-146.02 | steps=130 | track=012d7e02aa131977baab73cfaa3453b6
global_step=3520 | return=-144.65 | steps=220 | track=e6d19a51ad0148126a35f2d6dee2b57a
global_step=4192 | return=-141.05 | steps=130 | track=6ac9103e9ff8d73e909b0dd9e6df1265
global_step=4192 | return=-132.70 | steps=130 | track=acd69eeef8f43fca30c148471a45264c
global_step=4192 | return=-136.28 | steps=130 | track=131d2755204e876ae779324fd4410ed8
global_step=4208 | return=-134.25 | steps=131 | track=3782357b0a4e06b3b8efa703d1d7cd94
global_step=4208 | return=-140.21 | steps=131 | track=17f6c8a59fb798a7fcd131adc1237cda
global_step=4208 | return=-136.80 | steps=131 | track=a131517f037a2bb06a4c699c120a79c0
global_step=4208 | return=-128.61 | steps=131 | track=059b10dbf9c154e413d88da8240b4e20
global_step=4208 | return=-131.84 | steps=131 | track=9109ee6fdf8d3a455fd06ad5808a909f
global_step=4448 | return=-136.23 | steps=131 | track=6ce0ad0c1b83a987d8921d2f5792e826
global_step=4528 | return=-90.82 | steps=151 | track=65d2ec2b08e8bf4dc37a2ff69a234267
global_step=4816 | return=-55.63 | steps=154 | track=ed4277174054d1bae9ec4d3ecfcb9668
global_step=5024 | return=-56.31 | steps=50 | track=cd3935fe3ecd4865d7c4c4991c7820c9
global_step=5088 | return=-14.49 | steps=55 | track=728458bc950e836af28540cbf3e8f31e
global_step=5088 | return=-122.15 | steps=187 | track=3a6f1a9d4c1fb7396cbf2cc9a2fd8533
