/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.1_bud_180_21-07-13-22-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=912 | return=-46.56 | steps=57 | track=b3c371e05d964cdbc91eab7a2b78eb18
global_step=1024 | return=1.85 | steps=64 | track=89494f7e7a5d029d0832b29aba2318c7
global_step=1136 | return=29.52 | steps=71 | track=f0c9cb3497b39214e00bdc18de1519f2
global_step=2080 | return=-136.70 | steps=130 | track=2701a2f44c9b5f1f01de568f5d45b931
global_step=2080 | return=-138.25 | steps=130 | track=239b0caaffeccc6054943b6b86b28f8e
global_step=2080 | return=-131.16 | steps=130 | track=f3bb6ffe56dfcd1c3b5c3a0eea021c86
global_step=2080 | return=-133.78 | steps=130 | track=585c3374d9aad8a120bb67ccada79b70
global_step=2096 | return=-119.00 | steps=131 | track=5cd2b5b4d976b3e2403ad2a60ef6aff6
global_step=2096 | return=-136.31 | steps=131 | track=f17b0578b1afe054f1f5cdb18224b1b2
global_step=2096 | return=-128.33 | steps=131 | track=8cc43ed141f01c80c2ffe99c787dea6f
global_step=2096 | return=-128.69 | steps=131 | track=6a55b4cbe672ff4f19455c1553cfaa86
global_step=2096 | return=-128.87 | steps=131 | track=b1aa033a28d2066cc641e6803004d6a9
global_step=2096 | return=-124.90 | steps=131 | track=0d81e2e7eecf4975c6c70061e5fcdf77
global_step=2096 | return=-135.77 | steps=131 | track=8a6544982432235ba6cab7de8d57b781
global_step=2096 | return=-132.19 | steps=131 | track=736bb24352b0f34b556e41d9bbb97bba
global_step=2368 | return=-51.92 | steps=148 | track=093ee1021e2960fc66e621df906f3341
global_step=2640 | return=-74.13 | steps=100 | track=e1241e4912475b40cd884f70916f5600
global_step=3024 | return=-129.04 | steps=131 | track=33fc43e73edd8c226d65291edcffe7df
global_step=3088 | return=-21.86 | steps=61 | track=554218b1c46a15a0953c621f65943726
global_step=3168 | return=17.38 | steps=66 | track=4bdb0157c2f32189abea948eaaa40e8a
global_step=3232 | return=-118.53 | steps=130 | track=10119e388fe571c50f6689f68c7d630e
global_step=3552 | return=-58.73 | steps=91 | track=3196a66c6040d200419c30b69828c04d
global_step=3696 | return=-27.41 | steps=99 | track=45ce1c1f45995935213cc02e47636ec3
global_step=4160 | return=-125.53 | steps=129 | track=8f60818b6dfb9ef036db67590d71f816
global_step=4192 | return=-131.23 | steps=130 | track=5cc47a2d31e57469c9b6ce0ad4447140
global_step=4192 | return=-134.92 | steps=131 | track=e5edc572527626705798ae1343c3bc8f
global_step=4192 | return=-126.93 | steps=131 | track=1ce8d5d91f9a73907a60a59ea4ce3899
global_step=4208 | return=-127.71 | steps=131 | track=9ff6f5f5e7992a3c6ab0cf1da2ba7bb1
global_step=4208 | return=-128.79 | steps=131 | track=fd1591e3a58813d8b5dcdcdccced5abd
global_step=4208 | return=-121.80 | steps=131 | track=eb39c1797d1b993fa0c1379a9e50a60a
global_step=4208 | return=-129.88 | steps=131 | track=07862155b9bd4f08e42f6dc197aee1aa
global_step=4464 | return=-129.46 | steps=130 | track=1913bf75b80702118a36cc989a3fcbc5
global_step=4752 | return=-131.41 | steps=131 | track=bc1df2b998b4ff3ef27b55fa46772512
global_step=4880 | return=-60.05 | steps=44 | track=04dc9d0308580470b5b3a03a1087b8ee
global_step=5136 | return=-119.16 | steps=131 | track=dfc73010b18fc1d309324475987cd92d
global_step=5184 | return=-133.88 | steps=130 | track=e0a69c308a9f5ac1afa2633402acec57
global_step=5200 | return=-12.94 | steps=61 | track=8e8e8bf56c6a681c3126e1d666018644
global_step=5232 | return=9.43 | steps=63 | track=bea0d78aee33824d6f22253d2e1f7f05
global_step=5280 | return=-118.87 | steps=131 | track=cee6bcd73738efdd10822e72c35a2a66
global_step=5344 | return=-123.76 | steps=131 | track=04f1194aeeebaddad925b3b8e5435e0a
global_step=5424 | return=-28.60 | steps=41 | track=e31efe44b2870ec5472707b9846e3041
global_step=5504 | return=25.97 | steps=80 | track=e62b0944a41905856e6f2236b8d735ff
global_step=5648 | return=-133.29 | steps=130 | track=c904a7fcba9160698b116301818297ad
global_step=5808 | return=-121.43 | steps=131 | track=043b352991f263d4ca0ce236b57a6db6
global_step=6288 | return=-127.15 | steps=130 | track=83d48f053236732ded62cb4cd194192e
global_step=6304 | return=-126.08 | steps=131 | track=12de2475ceb3ef1bf424b44ea9447300
global_step=6320 | return=-128.91 | steps=131 | track=9f8717a134b46dcb4b4d823d51d89386
global_step=6576 | return=-125.14 | steps=131 | track=43d1b7a2648798547b14ea687a451bc8
global_step=6992 | return=-124.31 | steps=131 | track=0cb4a8ae92ef553d9dad0a1d4e3c4f2c
global_step=7232 | return=-36.03 | steps=57 | track=220b758d878c7a0acda6dd7ad9fa8183
global_step=7248 | return=-127.36 | steps=131 | track=970f37e7c49ba9d972fe6d5424d509d5
global_step=7296 | return=-131.81 | steps=131 | track=46b75d85132936166d258b66d3c0da07
global_step=7312 | return=132.79 | steps=194 | track=552344c531364df6929a8a078c9d9624
global_step=7376 | return=-130.12 | steps=130 | track=bd01e3c62fdef1c85414f045f9b684a3
global_step=7424 | return=14.24 | steps=138 | track=2d2f72aacf1acf648f1a958cbb811890
global_step=7440 | return=-132.79 | steps=130 | track=cdd4b870c3aeef9ba16922f35a12707f
global_step=7536 | return=-138.20 | steps=131 | track=dba6ea3966a00a9d4d8e87be636c6356
global_step=7584 | return=-60.71 | steps=146 | track=6d3620652fd8b3fc58dec9e3f803678d
global_step=7760 | return=-131.21 | steps=131 | track=b8f6fd71ca2dd242c32677d787a42edd
global_step=7920 | return=-130.29 | steps=131 | track=7939e9ba76f0ec6cab66338fdec669d9
global_step=8000 | return=-9.72 | steps=43 | track=684ede49b61efa136cf11466fddf7a58
global_step=8288 | return=19.19 | steps=64 | track=54c92e83d8ff3546d4f94f66f534e318
global_step=8400 | return=-124.51 | steps=131 | track=960fbc7af1f956b1d87849baed90ce3c
global_step=8432 | return=-132.01 | steps=131 | track=67d336a223f3d5f6e543e32a3619b1b1
global_step=8688 | return=-124.78 | steps=131 | track=824df436d1123775fcb9fda8b809099c
global_step=9088 | return=-132.20 | steps=130 | track=136933be2e6f40e6ce7deb83559cc005
global_step=9152 | return=108.82 | steps=86 | track=7ab6e30afae9854054b4ff7a1d54d56c
global_step=9280 | return=-17.71 | steps=61 | track=843fa66d2fba2174af28585def2ee4ba
global_step=9312 | return=-9.98 | steps=56 | track=cfe1abfb82a96b8d222c071935f2bac3
global_step=9344 | return=-125.62 | steps=131 | track=f953f64f3a248bbf45daf8118dca8ed8
global_step=9408 | return=-136.45 | steps=130 | track=5b08c66b9289fa400e500b544ba28da2
global_step=9488 | return=-103.86 | steps=131 | track=2f6e61a7f74f3c41a7789620c27e609d
global_step=9520 | return=-124.00 | steps=130 | track=0146b3505dab4cd122e638646f7cfc3e
global_step=9552 | return=-126.40 | steps=131 | track=ee66723d3f10fd30600e7458ee726269
global_step=9648 | return=-136.07 | steps=131 | track=d17554d956d24487a276042f21d8034f
global_step=10016 | return=-74.39 | steps=281 | track=832dc760a7b2e8a4c8da7cd80a50e30b
global_step=10032 | return=-126.23 | steps=131 | track=fcf633cab1e3c8e53c1a5af53e8984a1
global_step=10544 | return=-130.20 | steps=131 | track=8ca5910c196ccbde2e0ba24d55f8a658
global_step=10592 | return=-4.95 | steps=64 | track=55ecd898080bb2847970da6b171c4c75
global_step=10800 | return=-128.89 | steps=131 | track=337820dc17a5679924bb85eb55f0169f
global_step=10864 | return=-158.93 | steps=178 | track=8bcd8e72158c7a0f22722de41cb79319
global_step=11040 | return=-8.83 | steps=63 | track=ea8698976a2023e2d1375b51bca33a7c
global_step=11200 | return=-134.95 | steps=131 | track=0d05443b87e518d09fee64611c8c22ce
global_step=11264 | return=-125.48 | steps=131 | track=140c40bcd263ec4f8c38c0dcd54f469b
global_step=11376 | return=-128.87 | steps=130 | track=9407d5cbadd6162d64c380e5c0d4899e
global_step=11408 | return=-137.34 | steps=130 | track=554aeab789e1fed053a73c64112180fa
global_step=11456 | return=-138.81 | steps=131 | track=6b33c547cccd7816bc6af41f1dd05be3
global_step=11520 | return=-89.05 | steps=245 | track=17ac9cde6b3203b6b89e64cfe58daf0c
global_step=11600 | return=-123.86 | steps=131 | track=55cd6321643534fdfb73d17b4c6bcf4b
global_step=11632 | return=-132.80 | steps=131 | track=ca2b72329426c5e910504819812b0d6e
global_step=11760 | return=-135.80 | steps=131 | track=1237d8ddc24324020f10230faf5b9ada
global_step=12064 | return=6.10 | steps=42 | track=48c480d5436a62504e95bf0a5fe02ea2
global_step=12144 | return=-133.36 | steps=131 | track=a713973751e0a0bf380a605a2615c3eb
global_step=12448 | return=-12.63 | steps=52 | track=61067290ce4435491887cd6ce1bc321c
global_step=12480 | return=-115.30 | steps=191 | track=e67f89e86bced08c9c3252cf21e67805
global_step=12656 | return=-124.85 | steps=131 | track=c23af96e23a5d4054a0aada537679e07
global_step=12736 | return=-5.67 | steps=60 | track=f6b7b992b57eec0857987eff91d782a6
global_step=12912 | return=-131.81 | steps=131 | track=a0a9d8ca545db83db04eed2ca0d7c0ec
global_step=12976 | return=-135.10 | steps=131 | track=3a29bfebacd9b43209126b151dd8de0b
global_step=13040 | return=-23.81 | steps=60 | track=532f00bd6587b7f6742061efce1f570c
global_step=13072 | return=-38.60 | steps=154 | track=e37323793a7097c632c5655c306b3a7c
global_step=13200 | return=-78.76 | steps=134 | track=62d17362066c6bf38ea76a548853ccea
global_step=13216 | return=-9.02 | steps=47 | track=4a69f1d4f16ec8023f3eb4e1ea507c9a
global_step=13296 | return=-121.09 | steps=130 | track=3e425f17a7cff71d2ba412bdcffe8743
global_step=13376 | return=-132.38 | steps=131 | track=ffb827dd1e3840d563dfb524c333091a
global_step=13744 | return=-133.59 | steps=131 | track=cb370a9c14725ae5b260eb7822e9c79c
global_step=13808 | return=-52.23 | steps=149 | track=c340076642657a1479131cde257c019d
global_step=13968 | return=22.70 | steps=65 | track=77d13177f20a8867562bb20445b48918
global_step=14224 | return=-3.47 | steps=63 | track=e0a460be61885a74c52fa7c299e326a8
global_step=14592 | return=-135.06 | steps=131 | track=257ce8c80a07174d173ed03a8b39bf3a
global_step=14624 | return=-35.93 | steps=154 | track=3387aa518e76bbba4c7d752d65f0f548
global_step=14768 | return=-132.59 | steps=131 | track=b6e30f792ab1025ee0d90e4516285212
global_step=14848 | return=-127.02 | steps=131 | track=9890d97a371826ac7a91d761a3e506d5
global_step=15040 | return=3.35 | steps=80 | track=74f2e18285ed017e2b056a43ea678d88
global_step=15088 | return=-122.54 | steps=131 | track=c42714479cce08c9ca794e2a5d7f147c
global_step=15120 | return=-13.80 | steps=108 | track=f60740de139ae88f3d80486631363b08
global_step=15152 | return=-126.27 | steps=131 | track=245beb38502de07cf1a348d25a00de33
global_step=15248 | return=91.29 | steps=236 | track=fee138d5650955f86bdbfc8048495c9f
global_step=15312 | return=-135.18 | steps=130 | track=b3f5ccda36cf33d47aace1f3786e97c3
global_step=15328 | return=-80.58 | steps=140 | track=f3acf1e4e194ec8519c748bbac83ebdd
global_step=15408 | return=-127.26 | steps=131 | track=fa25aea6e7296c2c6cc18a53acbcad3f
global_step=15632 | return=-2.43 | steps=62 | track=8c6f4bd89204d350367cc0f2aed45dc8
global_step=15920 | return=-125.46 | steps=131 | track=f8f15d56eca93b13baa8571c8a45f7c9
global_step=16080 | return=99.41 | steps=59 | track=bae05a45e4de28f719ce34473f58e0a7
global_step=16080 | return=-134.16 | steps=131 | track=c075702267e9d231ce70504a407be361
global_step=16304 | return=-132.88 | steps=129 | track=d64cceb70decd071c45468df3a39551e
global_step=16384, SPS=102
global_step=16512 | return=-147.42 | steps=311 | track=e83d2b3994e6bca114faec345315bc73
global_step=16704 | return=-134.88 | steps=131 | track=4bbc0442fb7daec3c525439bdbe60d16
global_step=16752 | return=45.65 | steps=69 | track=7999d5a5abbdacf31239db42238284fa
global_step=16880 | return=-123.55 | steps=131 | track=3cec666e96ae815f2f6b48e2b4479447
global_step=16960 | return=-132.29 | steps=131 | track=ae5181e6fccd4086ae9d2dd660090677
global_step=17152 | return=-131.19 | steps=131 | track=e6720f5d6e7be083a1242e47e7ccfc6e
global_step=17168 | return=23.08 | steps=67 | track=c02572f75ac02b0143a25123328cea86
global_step=17200 | return=-129.11 | steps=131 | track=16bd0c57ed54f00f4c65d6fbf9f2e120
global_step=17296 | return=-21.69 | steps=61 | track=d6c76346f6b431fc193cb235a836ddff
global_step=17360 | return=-130.70 | steps=131 | track=1c22887e865a029e83eae87640ce8e00
global_step=17424 | return=-127.36 | steps=131 | track=7541519b84eaed50f6434f27290fbcda
global_step=17440 | return=-130.50 | steps=131 | track=036c2134b9c91baa291c57476b958d68
global_step=17504 | return=-110.10 | steps=130 | track=1c7fd553e9887d4397fc84ea5bc84b2e
global_step=17504 | return=-54.43 | steps=146 | track=8d012a10738dac60f93282c37e8b2a67
global_step=17696 | return=-11.46 | steps=61 | track=ded87ecfffb21cda1654ac1f1cadeb51
global_step=18032 | return=-128.45 | steps=131 | track=cd413c57126cb869fefdeb28ecaf1fd6
global_step=18160 | return=-4.93 | steps=62 | track=d9b05a57fa7cdc9212356e101ecfbc7f
global_step=18368 | return=-70.72 | steps=142 | track=d7483e697d89f3e24dfc904f641b4072
global_step=18624 | return=-129.33 | steps=131 | track=c92d5f61b930195f42993048a95b42cd
global_step=18688 | return=-83.96 | steps=78 | track=0b0c8133bdf169e6306d2c13ee87126e
global_step=18896 | return=-54.98 | steps=95 | track=1b2a204962ce6afb8fa762a6aaa52444
global_step=18944 | return=-98.50 | steps=136 | track=c0262c521701884fbb77b89495526aa2
global_step=18992 | return=-124.55 | steps=131 | track=8e09fcc2ade034c40bb5a947db2fbab4
global_step=19072 | return=-129.89 | steps=131 | track=42894dcefb9a2839e6f63675fd0f3047
global_step=19088 | return=-52.03 | steps=86 | track=46348800497c3f76374d9f2a036ac2df
global_step=19312 | return=-126.70 | steps=131 | track=133a4369594a9fde77f1827761cd73b3
global_step=19472 | return=-18.77 | steps=143 | track=4c73537a9ebfdd4e74e36678f45e7d6e
global_step=19600 | return=-135.58 | steps=130 | track=826ebaa0c862657799aba37c0b2ea5ff
global_step=19616 | return=32.13 | steps=57 | track=a45593070c7d53fc38214fce9e9c5b6d
global_step=19616 | return=-128.11 | steps=131 | track=bcb7abe40347624c57d3066d607da752
global_step=19696 | return=-52.95 | steps=149 | track=bc98ea8e62df5b9e2069ae41c0f4b343
global_step=19728 | return=32.77 | steps=68 | track=33c5d76f359e18b2854b7297182a15fd
global_step=19792 | return=-57.61 | steps=146 | track=2dad77086a45d0b30e3a155e90a36cd3
global_step=20032 | return=33.58 | steps=58 | track=be42757bc3894c1a549a3db1ff98f5e2
global_step=20208 | return=26.42 | steps=70 | track=d329c3eb1a8e06eca5e145f92bd41270
global_step=20256 | return=-140.77 | steps=130 | track=234fa5499b6d1f61b6e822a9fea1147e
global_step=20480 | return=-133.91 | steps=131 | track=04547106bd3df22c4d9fcacf0e61b2e2
global_step=21040 | return=-129.44 | steps=130 | track=60dcea180c3fe529e8a020d10a1fe4ab
global_step=21104 | return=-114.79 | steps=131 | track=c6c562ec946c2fcc4a18f60e81229db6
global_step=21312 | return=-34.36 | steps=150 | track=021b75e48cfccda1666bc6ca32121a32
global_step=21584 | return=-137.24 | steps=131 | track=c3a848049668e0cce304bbfd98abe7a7
global_step=21712 | return=-127.83 | steps=131 | track=495f763d46ebcf04533402374cf526d9
global_step=21712 | return=-135.29 | steps=130 | track=bb0f41dae4890fee17f564ab95310428
global_step=21728 | return=-125.62 | steps=131 | track=4056b5b8f61fa7ad109beecf6d8bdcd0
global_step=21840 | return=-133.35 | steps=131 | track=722f699954bd81d2527a59d9affcb800
global_step=22128 | return=-95.18 | steps=255 | track=a755432c8dd8817173c6bf2e7ca858f4
global_step=22144 | return=-110.60 | steps=131 | track=b42cd4b7149c6beeb289f1bb891b5c93
global_step=22144 | return=-94.56 | steps=176 | track=572ec4bbe3b816aefe250600a3a0f4a9
global_step=22304 | return=-134.95 | steps=130 | track=d04a1f1376cf203d4840f3fb0cb3f8a8
global_step=22416 | return=-12.36 | steps=43 | track=cd1567219e6f40ec4aa6f9f4be99e31d
global_step=22448 | return=48.05 | steps=70 | track=4fb56185b26453cd4fd2aa5dff4a1d10
global_step=22576 | return=-125.49 | steps=130 | track=013f75aafdb22dd928715b9caaec0cc8
global_step=22848 | return=-42.90 | steps=43 | track=e75e6a97fab887f127c99c88974c26e5
global_step=22976 | return=-16.46 | steps=41 | track=38d714aa0d968602c1fc4ac3a4e2da5a
global_step=23056 | return=125.70 | steps=209 | track=78a17251dfc59beb4499f1c9da6ac010
global_step=23216 | return=10.76 | steps=66 | track=0dbf0054fe5ddf30310367745c02a8ad
global_step=23216 | return=-129.98 | steps=131 | track=304b8a67a0c9d7f261dc207d8c02e41f
global_step=23376 | return=-137.75 | steps=223 | track=e3c2dc9313ba25cc1972bf40fbea46cb
global_step=23536 | return=-15.47 | steps=155 | track=e68820836977cf2dd1f0e7d6de2ba2d3
global_step=23680 | return=-135.07 | steps=130 | track=41afbfac8efbfa6097baf2e2dc005cfa
global_step=23776 | return=-45.18 | steps=44 | track=b3a1d97be790e6a8aeacfa5f3b208465
global_step=23840 | return=-133.34 | steps=131 | track=245c0a8b5401ef9f517441dc172529c5
global_step=23952 | return=-129.94 | steps=131 | track=902c6a160de054c1c9fa9ec71974b5b2
global_step=24240 | return=-124.70 | steps=131 | track=5a2f652dd323e208411914092c3899b6
global_step=24432 | return=8.79 | steps=65 | track=9368048ce254b2451a51642dd5950559
global_step=24528 | return=-125.72 | steps=131 | track=bc4077d63a879db3793d4d57fb50f5e7
global_step=24544 | return=-108.61 | steps=130 | track=86b2fee485ce692c308244573d34383f
global_step=24624 | return=10.27 | steps=67 | track=dea2192f5ef2415c3b2c9db4a864ad1e
global_step=24672 | return=-137.99 | steps=130 | track=de670e046a8e717532b10d3fc66f1d8b
global_step=24704 | return=-92.65 | steps=186 | track=fcb0548aa4d07592b4eece9d45f7830e
global_step=24960 | return=-122.75 | steps=131 | track=7bffd13eaee1fb235aea472417a65820
global_step=25088 | return=-129.89 | steps=131 | track=e3520add6b7097869412dbf8665094a0
global_step=25104 | return=-17.40 | steps=302 | track=4dfad8582d9ea54f1758fce1f6de4db0
global_step=25328 | return=-125.71 | steps=131 | track=f9d61c08deb597f4a7fc5df4598ee83f
global_step=25760 | return=1.63 | steps=65 | track=363fe40994c5929b4b627252c289ad6a
global_step=25776 | return=-128.15 | steps=130 | track=165242bcedb83912e0510a86327465c7
global_step=25872 | return=-158.30 | steps=165 | track=307293dc79b0f037f97c8e491c8fe3c0
global_step=25888 | return=-121.84 | steps=131 | track=7fbd369cff5568294709d6a19e632217
global_step=25888 | return=41.75 | steps=84 | track=708f042f08ba3ddcc9f20930580039f2
global_step=25952 | return=-126.67 | steps=131 | track=1a1f1b6adaa7a693b802c1f8a4f4ffc4
global_step=26064 | return=-128.29 | steps=131 | track=cce6c1058ff6fac6eb93583b1849ca8c
global_step=26544 | return=-133.36 | steps=131 | track=06ec649ff738e8c7eb4f562b4c266923
global_step=26656 | return=-119.07 | steps=131 | track=598da6f97cdddc57e0a2b7013635fc12
global_step=26736 | return=-126.70 | steps=131 | track=5c259897ad2f4d61ebe0762b9c96bcf6
global_step=26864 | return=-106.11 | steps=163 | track=d83d55afaec13fa9ac5907a31180f11e
global_step=26928 | return=57.07 | steps=72 | track=fb5f3f82c18362f555669f278fff9527
global_step=27072 | return=-125.18 | steps=131 | track=6558bee53ed1a5dda2ddb098d49b2b2f
global_step=27088 | return=-3.28 | steps=63 | track=9e1b1efa7e0ba1d76c3cae424ac43528
global_step=27200 | return=-135.14 | steps=131 | track=4d14b10d102f4ac4d3e10d3d732683ea
global_step=27216 | return=-129.07 | steps=131 | track=ad4cb69ab3214fdd960ef4c7948bdc53
global_step=27888 | return=-132.77 | steps=131 | track=205a6502911ec81a639c1e79ddcaadb9
global_step=27968 | return=-115.95 | steps=130 | track=53d0dd4264bff05c629895acbf5ee72f
global_step=28000 | return=-126.43 | steps=131 | track=d4937a7932e8d1224854f639cef68673
global_step=28064 | return=-130.89 | steps=131 | track=a04da0c1e3c909e42ea4880d3095070e
global_step=28096 | return=92.37 | steps=213 | track=7b10aa6b6a888288b415212043076667
global_step=28176 | return=30.29 | steps=68 | track=2c84e9a6bba4e5c6be428caa05274360
global_step=28336 | return=-51.63 | steps=91 | track=020740df216debd74a54783508cc02b8
global_step=28496 | return=-39.89 | steps=80 | track=e2ce1b9d48715cadb931b59fa7a0de30
global_step=28640 | return=-127.52 | steps=130 | track=f945dee214b35550ce5b736baa816c5f
global_step=28768 | return=-120.83 | steps=131 | track=601f6a4edb2ab34aa767ae2d8b5a38d8
global_step=28832 | return=-130.76 | steps=130 | track=098811e29eb80b26153c2df28e64ca65
global_step=29184 | return=-137.57 | steps=130 | track=38c1685c244b73b9efc438ba7935d8ef
global_step=29200 | return=18.02 | steps=206 | track=d404af49d5d4aafa62f9027be5fa27d9
global_step=29200 | return=-57.34 | steps=70 | track=6ecf92415c6a8d219b7cbeb72a81ff58
global_step=29216 | return=-85.02 | steps=142 | track=13bd86c0399ce47921e3cad54d9ff4f9
global_step=29328 | return=-136.75 | steps=131 | track=2b02f3f879d3a39c7214050b49d1eb52
global_step=30000 | return=-118.68 | steps=131 | track=16ffb1106b828f66cf8c2a0217a12abe
global_step=30032 | return=-176.42 | steps=293 | track=7c902229b51a158e17ee43add36646ba
global_step=30080 | return=-123.04 | steps=131 | track=b814bebec5ff578ba2116346e9709805
global_step=30112 | return=-129.59 | steps=131 | track=2151ebb8b2f900aadae513baae972bdf
global_step=30256 | return=7.89 | steps=65 | track=eb3e3104159a3ae4457b6e1d3d043db5
global_step=30448 | return=-132.67 | steps=131 | track=46cf7de533922c491f8f20ce6a4a6259
global_step=30608 | return=-123.91 | steps=131 | track=c9776acaff41075d2e91bef5c3899bc9
global_step=30640 | return=-42.03 | steps=153 | track=64c31017a7a7840528514f41ab1a9074
global_step=30880 | return=-124.56 | steps=131 | track=8d3a21b665c5e9678af6cdc005016360
global_step=30896 | return=-72.34 | steps=140 | track=5fd21a265817ca1929d00b37d5e3548f
global_step=30944 | return=-128.91 | steps=131 | track=34faa1ca79658484c69a2e0626df638f
global_step=30992 | return=-61.87 | steps=103 | track=9e5aa3dfd5ff88e4daec3d7cbd16e564
global_step=31248 | return=-134.02 | steps=128 | track=eff983a82b423805d2cefbe9d06dbacf
global_step=31328 | return=-135.75 | steps=131 | track=2d302b3a817d17ea86aec2fbda4554be
global_step=31632 | return=-62.14 | steps=151 | track=e24defe858b29adb5014b8c37db0e019
global_step=31664 | return=-102.99 | steps=222 | track=2c474436254a230835e56f8ad4dfb6b2
global_step=32112 | return=-131.71 | steps=131 | track=63b9edf5e51d719265d10c5e1fe0ae80
global_step=32144 | return=-125.58 | steps=131 | track=2b9b6072bf04461ae9d61df2ec83ebe8
global_step=32192 | return=-127.51 | steps=131 | track=d9866eb078f20b9edd13ee12e369ede8
global_step=32560 | return=-66.92 | steps=143 | track=d09ff5b09204cf44d7c2579df0b1ccb3
global_step=32560 | return=-129.89 | steps=131 | track=ab788d490907f717131add8e2b16598a
global_step=32720 | return=-121.06 | steps=131 | track=f081e9df75c43a0ae2670db093cc1700
global_step=32752 | return=-120.88 | steps=131 | track=bf4b7e9711fd13ea54998ae5a6be93be
global_step=32768, SPS=100
global_step=32976 | return=-124.93 | steps=130 | track=6d863c56ca935b93a09df15519424109
