/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-22-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=992 | return=-18.66 | steps=62 | track=e3c2098b984f65c48a39882ef59c1b59
global_step=1040 | return=20.46 | steps=65 | track=ca2217d22fc3d09876a629808f0a5948
global_step=2080 | return=-136.59 | steps=130 | track=1ad36a14b1f560836f78e145419a71f1
global_step=2080 | return=-137.09 | steps=130 | track=8628181391919ee24430bb72372934a6
global_step=2080 | return=-143.09 | steps=130 | track=11054f029e9fe01858651a6c4bf040fd
global_step=2080 | return=-132.28 | steps=130 | track=24e8a23003b6f872d57fd859a28ee1ee
global_step=2080 | return=-142.09 | steps=130 | track=945769f62a7e72bf569f0679729e36b6
global_step=2080 | return=-121.37 | steps=130 | track=5d64df3105c300951ac5a08b2290bacf
global_step=2096 | return=-138.10 | steps=131 | track=c719be7fb2daa6212eae083ea6911139
global_step=2096 | return=-136.14 | steps=131 | track=60983247d37e656fb0567d287142b3ff
global_step=2096 | return=-122.30 | steps=131 | track=a9671e09ba496ada34fde92755854077
global_step=2096 | return=-131.75 | steps=131 | track=7ccbd0537e23eca0216aab8dbf857ddf
global_step=2096 | return=-131.53 | steps=131 | track=e3c136c2dd165572873962765f4631d4
global_step=2096 | return=-135.73 | steps=131 | track=4da4101b18fc4ef6e9f5c121ebe9530e
global_step=3088 | return=-135.30 | steps=130 | track=a1f1355e7b615210fcff00a24da9c086
global_step=3104 | return=12.84 | steps=62 | track=ce95b18cad890538087dee82cb1b999c
global_step=3232 | return=33.79 | steps=70 | track=2e66b881ab81ecbde35f6ed32de2f561
global_step=3728 | return=-109.61 | steps=233 | track=696b5b2adf840e732c36a709deef4e9c
global_step=4160 | return=-126.60 | steps=129 | track=80552637549de3fe326ef95df29c6aec
global_step=4176 | return=-127.62 | steps=130 | track=f98b5c4eef2688e88c8abff1758ef201
global_step=4176 | return=30.43 | steps=195 | track=7445bb09e0be4a13f5ae6716ffb15f80
global_step=4192 | return=-142.71 | steps=131 | track=37e03efa4dd1f48b5a5b6f1dfe450228
