/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_21-07-13-22-41/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=2080 | return=-268.07 | steps=130 | track=a8e678520558c46e2fc0956f214ae3fa
global_step=2080 | return=-253.92 | steps=130 | track=792a7d4c1da7ee0593592e55199c5363
global_step=2080 | return=-221.40 | steps=130 | track=a1b2e6894cd16270133e8ec47471d51d
global_step=2096 | return=-297.03 | steps=131 | track=40ef8153f399ccb55c150a265cd9c86a
global_step=2096 | return=-214.96 | steps=131 | track=dca1f9fc28770a929ae181bbf26deef7
global_step=2096 | return=-214.72 | steps=131 | track=066642073942cc4955b90c973140cd51
global_step=2096 | return=-237.03 | steps=131 | track=3a6358e4e7c8bbf29b2f744b1af28fdd
global_step=2096 | return=-223.51 | steps=131 | track=fabcc185c165bc6771f5a638acd0701f
global_step=2096 | return=-228.13 | steps=131 | track=1977f6a685e9303cde1d7d485edcacac
global_step=2096 | return=-234.52 | steps=131 | track=2296d56795aa822b9cc9aa0f763d5f20
global_step=2096 | return=-227.66 | steps=131 | track=7e6b66088c5f02c806f02268b27264c6
global_step=2096 | return=-265.90 | steps=131 | track=251823ed4c25168cab5d8a6d7276424c
global_step=2096 | return=-206.10 | steps=131 | track=d61050e70abca0f9abeb07a179a1a8b4
global_step=2288 | return=-114.29 | steps=143 | track=3671782be6fcdec3bded626437e5bd5e
global_step=2288 | return=-260.30 | steps=143 | track=d5c893b54fafc6a491f493d5f5403c65
global_step=2432 | return=-111.87 | steps=152 | track=617a98c0e67e2700a685cc2c1b1cffb4
global_step=3136 | return=-19.74 | steps=64 | track=a6ccca43d9dc740e54f44c309a5b1fb5
global_step=3136 | return=-29.78 | steps=64 | track=d3025eae9dee6506d8016e537ed64c96
global_step=3248 | return=-120.94 | steps=59 | track=b99d3bf9923b892008d752744207421b
global_step=4192 | return=-164.72 | steps=131 | track=170b2068dac6e0a374cdacd317133bf6
global_step=4192 | return=-205.72 | steps=130 | track=4c950e1326d043b638e3e369f23a17a7
global_step=4192 | return=-230.95 | steps=130 | track=967cb6714d93dced47352fa1df7a021c
