/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_180_22-07-13-02-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=912 | return=-57.29 | steps=57 | track=ccb2f711cec23c4e4868d20ee42de87d
global_step=992 | return=-20.29 | steps=62 | track=8b6a4008b0e82f9bf20c6d3a0689badf
global_step=2080 | return=-162.28 | steps=130 | track=6dd3313cbb7ff6623f1b1ae23f9160d5
global_step=2080 | return=-144.36 | steps=130 | track=c9452bfbf78c256fe27a98f7cee5318e
global_step=2096 | return=-147.24 | steps=131 | track=daa1381f991af1227a1880bdfba16cbd
global_step=2096 | return=-143.86 | steps=131 | track=ef17d53dcb5a38f6344cb8d35f1b352f
global_step=2096 | return=-140.91 | steps=131 | track=6ff568fa6560b7cfacfc65e21815d0cf
global_step=2096 | return=-138.88 | steps=131 | track=d0f2774941b6fa4a8eff9945270960bc
global_step=2096 | return=-147.46 | steps=131 | track=da66497e22ab792f0bd68b2aa5c4e53d
global_step=2096 | return=-153.25 | steps=131 | track=d7f783155d096587b9bb7338dc3f9cfc
global_step=2096 | return=-160.99 | steps=131 | track=440af9cc456567aafe93e6a5e71eba67
global_step=2096 | return=-151.33 | steps=131 | track=761e63799cca29683276f07a03589fd8
global_step=2096 | return=-141.91 | steps=131 | track=eeeb44d1a1b0f0f8fb2d77788fa6ab88
global_step=2096 | return=-139.57 | steps=131 | track=c406bdda0495ba8d632a1400d8f7d409
global_step=2288 | return=-92.79 | steps=143 | track=a8b32331ceff0e0fda88b00db18156b0
global_step=2352 | return=-82.02 | steps=147 | track=08c47e854e47b22db470cd292f451ea4
global_step=3024 | return=-149.40 | steps=131 | track=39ebd3a4d8591387c8a7f50c19ac9f2f
global_step=3104 | return=-148.21 | steps=131 | track=ee9850b0a7b0b5b54747425fe6a7f931
global_step=3120 | return=-38.50 | steps=47 | track=fbe0b7cdb8f43b755dde18c75c5607f7
global_step=3680 | return=-71.46 | steps=98 | track=2df99e9de3b8ccd4a22721a7311105b9
global_step=4160 | return=-142.86 | steps=129 | track=bbad311bda2eb86a06689ef9de73eae8
global_step=4192 | return=-121.95 | steps=131 | track=9f9c68d946882f7405a00ba1c586fa3b
global_step=4192 | return=-156.84 | steps=130 | track=466e3b295648ba7bd69090d648e910ec
global_step=4208 | return=-153.75 | steps=131 | track=38bf14e3a3e114b76505f82801f1f91a
global_step=4208 | return=-157.95 | steps=131 | track=5ea1090c7c5ced631978ec184374860b
global_step=4208 | return=-151.44 | steps=131 | track=2c841c8801c78e6dd6008a5b9506f690
global_step=4208 | return=-141.06 | steps=131 | track=e24441153e7ada9a7171e544c4028ef3
global_step=4208 | return=-150.79 | steps=131 | track=8f35e6bb57bd4c03ea72d848a4e40366
global_step=4208 | return=-144.26 | steps=131 | track=aa867c7e1c4576c2e57e65a26fad159f
global_step=4208 | return=-156.65 | steps=131 | track=e7beddf23529eb40046a7e7d1668e1cd
global_step=4384 | return=-154.27 | steps=130 | track=c41214e1546881187567bc1b494774b1
global_step=4544 | return=-58.17 | steps=53 | track=dc6d989786f99f55ea36e6425b39d709
global_step=5120 | return=-146.70 | steps=130 | track=8f89c43d617dff63a629156527f2f483
global_step=5216 | return=-136.11 | steps=131 | track=619ade5ce8f5731d3c17ecb071fd75d4
global_step=5232 | return=-107.42 | steps=131 | track=02a12240537c1faa7d8062126e5faf9e
global_step=5600 | return=161.47 | steps=86 | track=3d683f1ba2d4d24367de341dc303a2d3
global_step=6304 | return=-138.79 | steps=131 | track=226b2779be0e9730ec88f7dc6c733f95
global_step=6304 | return=-146.96 | steps=130 | track=20c4811e9b25f30f1e36be30759bee1a
global_step=6304 | return=-161.80 | steps=130 | track=04786132ce1b0b215285c0eefed2ed0c
global_step=6320 | return=-140.29 | steps=131 | track=bd5928335f92abc2ca14cfc4bfe90e54
