/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.3_bud_180_22-07-13-02-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=896 | return=-64.02 | steps=56 | track=3c5616e1e6fc963a1ccdd634cec0898a
global_step=1056 | return=0.38 | steps=66 | track=b9dc8e266f77598ee4bd4b88794f9fae
global_step=1056 | return=6.38 | steps=66 | track=247a3928ee71ccc69bf5ed176c0c8392
global_step=2080 | return=-165.52 | steps=130 | track=907b8e1c17cb9bbded2911adeb67dce6
global_step=2096 | return=-167.87 | steps=131 | track=9396c8cd1364f71f37b727688c019660
global_step=2096 | return=-149.47 | steps=131 | track=85b0410b14fed36fe35ead62ea702189
global_step=2096 | return=-152.15 | steps=131 | track=cca91816b33aa987421fc7947aa54dc2
global_step=2096 | return=-154.40 | steps=131 | track=a5e47a9386a57e7f9cba874768052151
global_step=2096 | return=-150.30 | steps=131 | track=dc6dadbbffbc5c233ff4dd88ddeda384
global_step=2096 | return=-160.54 | steps=131 | track=c8d07a2fea6c2b1bce7381a09491d487
global_step=2096 | return=-154.85 | steps=131 | track=b510d41a01e385a788903ea7a45d8bbd
global_step=2096 | return=-141.90 | steps=131 | track=7f1239faa39fb562c3357dfa9da13fcb
global_step=2096 | return=-153.24 | steps=131 | track=55867c4d925248790f0f6c8be32096d1
global_step=2400 | return=-69.49 | steps=150 | track=fff236d0863246cc4416225093f052d5
global_step=2416 | return=-69.67 | steps=151 | track=1bc20b3defceb11864aab042f06c11c5
global_step=2432 | return=-58.51 | steps=152 | track=a1704aaeee2712e9003b1ed49cc8496a
global_step=3008 | return=-139.00 | steps=131 | track=8fb001a36a4062a040f13bdd648e64d9
global_step=3200 | return=-72.55 | steps=133 | track=ae5876d38f0e63b87a9db9d781ecba7e
global_step=3408 | return=-73.97 | steps=146 | track=d7ad032618fbd85e40ae99fc7e2328be
global_step=4192 | return=-151.31 | steps=131 | track=1135a9afb640090032da6dea0012a418
global_step=4192 | return=-160.42 | steps=130 | track=33377717fc53b9cd9119634fcacd4bd1
global_step=4208 | return=-166.28 | steps=131 | track=4c5e8ed7abe01664e264358c8e4d7532
