/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.4_bud_180_22-07-13-02-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=992 | return=26.72 | steps=62 | track=ed83c7e6ad7d7fcaf50db9efc52f0d20
global_step=1056 | return=9.25 | steps=66 | track=bc2f61ee07386c72a60bec7c8a03525e
global_step=1072 | return=16.39 | steps=67 | track=3685fd70143cb617668849d3b7a89110
global_step=2080 | return=-171.99 | steps=130 | track=109d36501b458ada36b90632fbc2422b
global_step=2080 | return=-154.99 | steps=130 | track=d6270d605731841979ddd18f01ce088a
global_step=2096 | return=-142.54 | steps=131 | track=135f4932a20c2fd36f3f4cf885a8d6fb
global_step=2096 | return=-154.31 | steps=131 | track=b065b7e1cef48b14a95f4ba1c4c0be03
global_step=2096 | return=-161.81 | steps=131 | track=516021a3fc7ce6ccb43096a34242cfcf
global_step=2096 | return=-155.97 | steps=131 | track=c41ec2352854c997419461a959705b60
global_step=2096 | return=-149.20 | steps=131 | track=316625c03af52c19cc2779f9fc020b35
global_step=2096 | return=-163.61 | steps=131 | track=2e5e9ab25987651696dea47cee09bcb9
global_step=2096 | return=-158.81 | steps=131 | track=df0df7722259ddf2eb53540d28ef595c
global_step=2096 | return=-154.51 | steps=131 | track=a3ec6306445c3dc9d9a8e0a2b4694f74
global_step=2096 | return=-146.56 | steps=131 | track=43591955d196b8316a751452160b4d18
global_step=2096 | return=-143.17 | steps=131 | track=9a31d92f431e4b659a4625e810baec1b
global_step=2256 | return=39.72 | steps=74 | track=31e2a3dc2a01ff475310ef0f6f0bf0b9
global_step=2352 | return=-61.90 | steps=147 | track=e481efee39945c1d8e1e8f40626729a5
global_step=3104 | return=-152.30 | steps=131 | track=83391a38cc55b8c672f2b0d07a36138e
global_step=3200 | return=23.71 | steps=68 | track=4f8be9bf52ddf39d365393ae73ee1a9e
global_step=3424 | return=-92.30 | steps=146 | track=5cb61933dcc85af3898097a88b90b420
global_step=4000 | return=4.96 | steps=55 | track=f7f1dc0e43674d9bbd697152bfc5bdbf
global_step=4016 | return=-79.12 | steps=50 | track=3fa5909c151f55a5da44999de98204de
