/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_3.0_bud_180_22-07-13-02-41/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=912 | return=-73.01 | steps=57 | track=d775ad571a33fce7ef92ab8788eddeac
global_step=992 | return=-16.26 | steps=62 | track=dc11a30f2ad7afd7014beed19e1e10a8
global_step=2080 | return=-180.73 | steps=130 | track=1014ee702059c6614c08c887c2c7250e
global_step=2096 | return=-152.43 | steps=131 | track=6babfd494cd9be3cdd6a32147892f3fa
global_step=2096 | return=-156.26 | steps=131 | track=fade15490fba3dfea3ba3975da48bdd7
global_step=2096 | return=-149.70 | steps=131 | track=fb95d1706d3d3d07f68132873a4df31b
global_step=2096 | return=-161.50 | steps=131 | track=c7ac1783507659c815492c7a76411257
global_step=2096 | return=-158.34 | steps=131 | track=449af16e9a1ff61fe9d2d202ba00cd8d
global_step=2096 | return=-155.90 | steps=131 | track=171709c3e2d27286b07edebd7144d007
global_step=2096 | return=-155.90 | steps=131 | track=43a772ed020a8731fcba973dc6570b77
global_step=2096 | return=-156.39 | steps=131 | track=22b46f359512c9490ba88464f266dc15
global_step=2096 | return=-170.35 | steps=131 | track=021f57edc7ddf3ed7368baf37e5dac32
global_step=2096 | return=-147.94 | steps=131 | track=373cff65492c7c9279995e1078173c78
global_step=2096 | return=-152.20 | steps=131 | track=7c59c227d2458c5b8707776c8ab63253
global_step=2096 | return=-147.39 | steps=131 | track=f5d19d97cda37786e609c470470beea2
global_step=2928 | return=-69.92 | steps=183 | track=54980b3f1eda4766b53bdbe225719df2
global_step=3024 | return=-145.00 | steps=131 | track=735756de742d0f984231ad22bd963dd8
global_step=3072 | return=-28.66 | steps=60 | track=fa1fb08668c3b3ef01a7e02e7ba0d880
global_step=3088 | return=-165.55 | steps=130 | track=f125ca7e7232425a5be36f3a7063e8f7
global_step=3216 | return=3.32 | steps=69 | track=5a72f47f3edb2f8b274376e906f59144
global_step=3232 | return=44.82 | steps=70 | track=6f445b0cd29aaa80c8c300dbee44a336
global_step=4192 | return=-177.55 | steps=130 | track=ebd418f065187b4b8d31d7d21eb60abd
global_step=4192 | return=-130.88 | steps=130 | track=4d5a834814a672e9c40fbb72e674310e
global_step=4208 | return=-165.75 | steps=131 | track=45e4609bac072e863a03ad11d679c9fd
global_step=4208 | return=-145.24 | steps=131 | track=e2644971f9d0399b15611f55469d247a
global_step=4208 | return=-156.13 | steps=131 | track=d577b9c519dafbeebbb0094b5c5bc8a2
global_step=4304 | return=-22.42 | steps=76 | track=c5ce58bb1abf6c850f459ce189de0980
global_step=4448 | return=-75.22 | steps=147 | track=d8c3f729afc335a8ec2acd1de6d5c64e
global_step=4448 | return=-107.67 | steps=146 | track=d6481e63d12818f3d74a5c1f0acfd627
global_step=4496 | return=-44.47 | steps=149 | track=7be9afb9523633dcfc0c417e29b377d8
global_step=4544 | return=-143.91 | steps=152 | track=47b20c9341100b4cbda37b0fe461eacf
global_step=5024 | return=-166.55 | steps=130 | track=2a8582576efbc5eea7a5a75fde2ec5c6
global_step=5088 | return=-25.11 | steps=55 | track=94d6c2ce0a469797aa3fad5b9d70ca31
global_step=5104 | return=-38.70 | steps=55 | track=c53ad2748793e5132cdcaa3dca510465
global_step=5120 | return=-139.93 | steps=130 | track=9eda9bd312ffb860896750c178fd57cb
global_step=5200 | return=-158.87 | steps=131 | track=9de581266f2691a1d238a2e15e6ce810
global_step=5232 | return=-60.32 | steps=45 | track=bb990a87ba22bb96184aecd5090a64eb
global_step=5312 | return=24.99 | steps=68 | track=1e2efc9119048197d25b3c85464ba252
global_step=5328 | return=-154.48 | steps=131 | track=e8c64397b87d64e5a1722d3195fcd74a
global_step=5424 | return=-39.80 | steps=60 | track=436863c9c2c3aeb8ccdffc842983585e
global_step=5504 | return=-143.65 | steps=141 | track=4008cc572a317fcf8019f44a9b3d1222
global_step=5504 | return=-39.04 | steps=65 | track=cb3d608640294c27579935d8f508d89e
global_step=5808 | return=-53.04 | steps=231 | track=df5f6eee0aaacb3ee94241f052e649b4
global_step=6016 | return=-19.44 | steps=61 | track=061c590d337ef0b3847d1d90f6cb0a9f
global_step=6112 | return=-15.12 | steps=62 | track=b4c0fe6691d1cdd78851284f1a5406da
global_step=6112 | return=-49.64 | steps=61 | track=ef918630aa391c8d8f87b0fa6361d4c4
global_step=6304 | return=-141.13 | steps=131 | track=68389b3d311c2603e3e1fd98b652333c
global_step=6416 | return=-172.91 | steps=131 | track=31b87d753584f85bdc7188427d34f6b8
global_step=6640 | return=-160.36 | steps=130 | track=e583db51afac469a7e4bf5e99977edd4
global_step=7168 | return=170.77 | steps=184 | track=97e021469d5fc7b889884827b7d4d37c
global_step=7200 | return=-157.21 | steps=131 | track=57055bc811ebe2acf2e872c73c3c2b12
global_step=7216 | return=-76.26 | steps=68 | track=0af04b94fa4624446ec1a3e60c7fa7a8
global_step=7344 | return=-151.48 | steps=131 | track=ebc40ddf94b2c3a96299b743c40bca9d
global_step=7424 | return=-136.64 | steps=130 | track=e36c483f2a0488411f331f46c4200f78
global_step=7424 | return=-178.72 | steps=131 | track=6831cd767031797f4f81de3ce72dfaed
global_step=7536 | return=-145.25 | steps=131 | track=9fa9214a82eb47f1f5124df052436636
global_step=7600 | return=-90.92 | steps=149 | track=89d34ac39e0bfc2ac083d678b9638228
global_step=7616 | return=-154.69 | steps=131 | track=52bff1a894dea7bed35f13afd3c402c8
global_step=7616 | return=-157.74 | steps=131 | track=f707ad829cceb96c005aac08c0df1ed9
global_step=7696 | return=25.17 | steps=79 | track=d462bf310a3135f515e0e91ee2a0fa66
global_step=8112 | return=-104.71 | steps=143 | track=61898ecab0b795fe5459f8fb2c98ddc2
global_step=8128 | return=-186.72 | steps=131 | track=0de42f7bcd7dab92280de030d204b820
global_step=8224 | return=-146.58 | steps=131 | track=feb316dc297ae40dca84398585f1ce74
global_step=8416 | return=-151.56 | steps=131 | track=762934833697ccbb2686fc89a2b88361
global_step=8416 | return=-37.22 | steps=61 | track=e0abc0813639c9f77229d02aede40860
global_step=8688 | return=12.12 | steps=66 | track=7c993d4b90a40e822a7331f4d3193e22
global_step=8880 | return=27.64 | steps=73 | track=ddf69f26c6663788f545304860d53e0f
global_step=9280 | return=-158.25 | steps=131 | track=77d9781614d4c372fd193e56566e35f0
global_step=9328 | return=-141.00 | steps=131 | track=97836b86990b88cd51e1609a5c457a47
global_step=9392 | return=-70.15 | steps=60 | track=a3b8450ef8ddc448f0ddc4b552c3cc1e
global_step=9456 | return=-164.01 | steps=131 | track=bc2c5f8d5d6e60983e97bd2ba6e7e607
global_step=9488 | return=-6.43 | steps=66 | track=c4212acde698da0afabec30acff292bf
global_step=9552 | return=-178.05 | steps=181 | track=e9246b8f5124960a061899941bcd6265
global_step=9648 | return=-149.97 | steps=131 | track=364a19d746366bc7e8032882ac46d0d8
global_step=9712 | return=-149.90 | steps=131 | track=db81a3c8dd2a32ccee4461374b6833aa
global_step=9760 | return=-150.32 | steps=133 | track=db8ad928ddd60c91678d8c8a12b68388
global_step=9904 | return=-21.03 | steps=63 | track=8b12a5386360d27fdc846bc29506e034
global_step=9936 | return=-91.94 | steps=156 | track=a0d803e0631aec1e8ebeaceff2857389
global_step=10160 | return=-71.07 | steps=43 | track=ffd69414e6ae9f71bb494ca7afd6ebf8
global_step=10240 | return=-147.55 | steps=131 | track=d67993b4817e42eda0a2e735d7ffad3d
global_step=10304 | return=-51.40 | steps=56 | track=71e2eb9f0d2fc8716a11b4b4a7cd57ed
global_step=10832 | return=-66.65 | steps=57 | track=0281897f8f8d7bb4a02263ff4598a75b
global_step=10992 | return=2.68 | steps=65 | track=6eab6efe345137dea37af45188c74fa6
global_step=11040 | return=-131.51 | steps=182 | track=2b277332639bdfb8522dd99b2bfb5105
global_step=11104 | return=-63.58 | steps=179 | track=45fc0a5140365cfba91d211a73efd561
global_step=11392 | return=-162.67 | steps=131 | track=dacf250aa19cd2c82e4847eb019bad21
global_step=11472 | return=-85.09 | steps=119 | track=f8f7071bd76bcab84472f1affbf16816
global_step=11504 | return=-150.17 | steps=268 | track=be5857695cc88b3fe74a6a48ac1e6c79
global_step=11584 | return=-154.17 | steps=130 | track=9ec1900c9566996ba9ab94acf7c7ef89
global_step=11600 | return=-56.62 | steps=141 | track=7e4fda67244c8edfe6529d9f944e655b
global_step=11760 | return=-182.43 | steps=131 | track=0fcc3b098b6fd140025f52492fc70996
global_step=11808 | return=-157.24 | steps=130 | track=2bfa0c189cd4155ced0623d271572b54
global_step=11840 | return=8.62 | steps=196 | track=e3288f17025af1112c6802e018364459
global_step=12016 | return=-26.18 | steps=63 | track=4795fb9800dd0a2faccdbfa6bc75457d
global_step=12352 | return=-147.75 | steps=131 | track=570f259e5d5e7e29fc8d318bf89a9e8e
global_step=12416 | return=-149.20 | steps=131 | track=7e14c866b3a3e6d381fd1dc7797d6901
global_step=12608 | return=-88.08 | steps=152 | track=9ddc860553305fbd4239fdf70565fae8
global_step=12624 | return=-25.95 | steps=64 | track=87742da0aab15950a5a8c332d8dc10c0
global_step=12944 | return=-194.59 | steps=131 | track=8abf9a82cc724b73009f089a902ce515
global_step=13152 | return=-141.35 | steps=131 | track=7499c038258d2e3852d459221d8482cc
global_step=13424 | return=-34.95 | steps=66 | track=f9bcb5460617964b2f2df7f36b1e5b36
global_step=13504 | return=-136.25 | steps=131 | track=c0094aea751298a0f34720db766794c1
global_step=13568 | return=-138.88 | steps=130 | track=42264d944e1e63a3096aeb2bf6bb7e4e
global_step=13664 | return=-26.75 | steps=64 | track=799485e7dfb22e7002045286cd290a4b
