/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_4.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=-42.83 | steps=61 | track=92001e4fe4a554c4daaa8d3c31a9b8a9
global_step=1040 | return=-51.74 | steps=65 | track=851d2f1a6bb43ebc52274a2bb29ea28d
global_step=2080 | return=-154.03 | steps=130 | track=10f5bc74d2beef46acaaae658daab715
global_step=2080 | return=-177.42 | steps=130 | track=7a7e79e9410245b493cea924dbc3664d
global_step=2096 | return=-168.35 | steps=131 | track=b7c977099589cb6be08593dfc179de7d
global_step=2096 | return=-167.75 | steps=131 | track=4e8c5d97d6a63519d34ba3bac44b667f
global_step=2096 | return=-184.54 | steps=131 | track=8871024b35bc6ed899171cd912c17e39
global_step=2096 | return=-167.69 | steps=131 | track=a3e1e33a5105d16ec812e9efcfb0e714
global_step=2096 | return=-167.47 | steps=131 | track=fe6db40cf7ecebc68ef8de5c3814e69a
global_step=2096 | return=-163.03 | steps=131 | track=019043a409c97333bd0a5de7630f9325
global_step=2096 | return=-188.54 | steps=131 | track=7ff78879eed3f21c6eb484ab358cdb57
global_step=2096 | return=-177.19 | steps=131 | track=67921195d86a10672011391879949668
global_step=2096 | return=-160.72 | steps=131 | track=09f1909c1b84a07d35fb19e131ff16f2
global_step=2096 | return=-166.01 | steps=131 | track=956bba4146ba2025f5a894aa2eee10fd
global_step=2096 | return=-154.41 | steps=131 | track=e708f3d0101ef91d70d072505d1c2de9
global_step=2352 | return=-123.57 | steps=85 | track=a8ad28f98959b3ca0e1c3d4ddbb42f20
global_step=2720 | return=-108.73 | steps=170 | track=82a789eef9ca4abf52266805e145f18f
global_step=3088 | return=-49.23 | steps=61 | track=7a6c36f0fc8bb929feac81b18335cae3
global_step=3152 | return=-169.20 | steps=131 | track=40b63cf1cfc20b8ed1ec24083d1060f5
global_step=4192 | return=-154.82 | steps=130 | track=189f51ee491125aac9cdd483d6d2bd78
global_step=4192 | return=-169.90 | steps=131 | track=c2bc3b6092d8b547dabcd28ecf37f487
global_step=4208 | return=-191.55 | steps=131 | track=a57817c7199366676307b90f3e67d8ff
