condition,frame_cost,mean_return,mean_frames_consumed,nav_reward_mean,reached_goal_rate,budget_overrun_rate,n_episodes,fps_mix
fps1,0.0,-108.066,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.1,-108.473,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.2,-108.88,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.3,-109.287,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.4,-109.694,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.5,-110.101,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.6,-110.508,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.7,-110.915,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.8,-111.322,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,0.9,-111.729,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.0,-112.136,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.1,-112.543,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.2,-112.95,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.3,-113.357,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.4,-113.764,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.5,-114.171,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.6,-114.578,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.7,-114.985,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.8,-115.392,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,1.9,-115.799,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.0,-116.206,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.1,-116.613,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.2,-117.02,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.3,-117.427,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.4,-117.834,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.5,-118.241,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.6,-118.648,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.7,-119.055,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.8,-119.462,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,2.9,-119.869,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.0,-120.276,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.1,-120.683,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.2,-121.09,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.3,-121.497,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.4,-121.904,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.5,-122.311,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.6,-122.718,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.7,-123.125,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.8,-123.532,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,3.9,-123.939,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.0,-124.346,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.1,-124.753,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.2,-125.16,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.3,-125.567,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.4,-125.974,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.5,-126.381,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.6,-126.788,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.7,-127.195,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.8,-127.602,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,4.9,-128.009,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.0,-128.416,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.1,-128.823,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.2,-129.23,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.3,-129.637,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.4,-130.044,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.5,-130.451,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.6,-130.858,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.7,-131.265,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.8,-131.672,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,5.9,-132.079,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.0,-132.486,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.1,-132.893,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.2,-133.3,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.3,-133.707,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.4,-134.114,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.5,-134.521,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.6,-134.928,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.7,-135.335,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.8,-135.742,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,6.9,-136.149,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.0,-136.556,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.1,-136.963,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.2,-137.37,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.3,-137.777,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.4,-138.184,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.5,-138.591,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.6,-138.998,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.7,-139.405,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.8,-139.812,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,7.9,-140.219,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.0,-140.626,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.1,-141.033,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.2,-141.44,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.3,-141.847,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.4,-142.254,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.5,-142.661,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.6,-143.068,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.7,-143.475,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.8,-143.882,4.07,-108.066,0.0,0.0,100,fps1=100%
fps1,8.9,-144.289,4.07,-108.066,0.0,0.0,100,fps1=100%
