step,value
48,100.0
136,100.0
192,100.0
456,100.0
536,100.0
560,100.0
584,100.0
656,100.0
840,100.0
864,100.0
1144,100.0
1168,100.0
1216,100.0
1376,100.0
1408,100.0
1512,100.0
1824,100.0
2024,100.0
2064,100.0
2448,100.0
2600,100.0
2832,100.0
3016,100.0
3032,100.0
3248,100.0
3368,100.0
3888,100.0
4184,100.0
4216,100.0
4248,100.0
4520,100.0
4728,100.0
4856,100.0
4928,100.0
5224,100.0
5232,100.0
5336,100.0
5680,100.0
6024,100.0
6064,100.0
6080,100.0
6128,100.0
6256,100.0
6288,100.0
6544,100.0
6640,100.0
6752,100.0
6784,100.0
6800,100.0
6840,100.0
6944,100.0
7024,100.0
7080,100.0
7320,100.0
7376,100.0
7416,100.0
7872,100.0
8328,100.0
8464,100.0
8504,100.0
8744,100.0
9040,100.0
9432,100.0
9784,100.0
9904,100.0
10432,100.0
10624,100.0
10712,100.0
10832,100.0
11136,100.0
11208,100.0
11288,100.0
11504,100.0
11872,100.0
12168,100.0
12480,100.0
12624,100.0
12640,100.0
13032,100.0
13080,100.0
13352,100.0
13528,100.0
13584,100.0
13640,100.0
13920,100.0
14168,100.0
14232,100.0
14312,100.0
14920,100.0
14944,100.0
15216,100.0
15344,100.0
15392,100.0
15416,100.0
16240,100.0
16384,100.0
16488,100.0
16520,100.0
16944,100.0
16992,100.0
17232,100.0
17360,100.0
17904,100.0
17952,100.0
17984,100.0
18208,100.0
18760,100.0
19112,100.0
19128,100.0
19216,100.0
19408,100.0
19608,100.0
19808,100.0
20024,100.0
20120,100.0
20136,100.0
20240,100.0
20384,100.0
20688,100.0
20712,100.0
20816,100.0
20832,100.0
21032,0.0
21568,100.0
21632,100.0
22008,100.0
22112,100.0
22408,100.0
22416,100.0
22504,100.0
22792,100.0
22888,100.0
22904,100.0
23480,100.0
24048,100.0
24072,100.0
24296,100.0
24368,100.0
24464,100.0
24824,100.0
25024,100.0
25088,100.0
25160,100.0
25288,100.0
25336,100.0
25504,100.0
25624,100.0
26472,100.0
26632,100.0
26680,100.0
26744,100.0
26840,100.0
26968,100.0
27056,100.0
27192,100.0
27248,100.0
27344,100.0
27488,100.0
27712,100.0
27760,100.0
27880,100.0
27928,100.0
28120,100.0
28256,100.0
28320,100.0
28328,100.0
28352,100.0
28504,100.0
28832,100.0
29120,100.0
29168,100.0
29312,100.0
29424,100.0
29608,100.0
29632,100.0
29696,100.0
29728,100.0
29760,100.0
29784,100.0
29920,100.0
29976,100.0
30272,100.0
30320,100.0
30504,100.0
30824,100.0
31392,100.0
31448,100.0
31568,100.0
31848,100.0
31920,100.0
31984,100.0
32400,100.0
32472,100.0
32488,100.0
32640,100.0
32912,100.0
33104,100.0
33232,100.0
33392,100.0
33504,100.0
33648,100.0
33936,100.0
34024,100.0
34064,100.0
34136,100.0
34944,100.0
35024,100.0
35144,100.0
35240,100.0
35712,100.0
35928,100.0
36136,100.0
36224,100.0
36240,100.0
36256,100.0
36400,100.0
36664,100.0
36896,100.0
36944,100.0
37104,100.0
37208,100.0
37632,100.0
37848,100.0
37928,100.0
37960,100.0
38008,100.0
38160,100.0
38232,100.0
38272,100.0
38664,100.0
38816,100.0
38840,100.0
39160,100.0
39240,100.0
39336,100.0
39528,100.0
40024,100.0
40368,100.0
40400,100.0
40456,100.0
40568,100.0
40680,100.0
40856,100.0
41088,100.0
41136,100.0
41280,100.0
41408,100.0
41592,100.0
41688,100.0
42168,100.0
42192,100.0
42504,100.0
42560,100.0
43008,100.0
43136,100.0
43512,100.0
43528,100.0
43960,100.0
44200,100.0
44400,100.0
44512,100.0
44528,100.0
44896,100.0
45056,100.0
45064,100.0
45136,100.0
45176,100.0
45296,100.0
45448,100.0
45648,100.0
45928,100.0
46040,100.0
46344,100.0
46408,100.0
46512,100.0
46544,100.0
46568,100.0
46672,100.0
46968,100.0
47048,100.0
47104,100.0
47144,100.0
47472,100.0
47488,100.0
47504,100.0
47600,100.0
47720,100.0
47848,100.0
48032,100.0
48432,100.0
48664,100.0
48728,100.0
48792,100.0
48840,100.0
48976,100.0
49096,100.0
49112,100.0
49136,100.0
49216,100.0
49584,100.0
49712,0.0
49728,100.0
50008,100.0
50072,100.0
50168,100.0
50416,100.0
50472,100.0
50672,100.0
50848,100.0
51016,100.0
51160,100.0
51272,100.0
51280,100.0
51648,100.0
51752,100.0
52040,100.0
52304,100.0
52328,100.0
52392,100.0
52880,100.0
53680,100.0
53704,100.0
53784,100.0
54512,100.0
54760,100.0
55176,100.0
55288,100.0
55712,100.0
56240,100.0
56296,100.0
56656,100.0
57000,100.0
57272,100.0
57352,100.0
57456,100.0
57904,100.0
58024,100.0
58032,100.0
58288,100.0
58528,100.0
58800,100.0
58816,100.0
59000,100.0
59032,100.0
59208,100.0
59216,100.0
59512,100.0
59528,100.0
59632,100.0
59656,100.0
59800,100.0
60104,100.0
60152,100.0
60216,100.0
60512,100.0
60664,100.0
60856,100.0
60920,100.0
60960,100.0
61400,100.0
61408,100.0
61528,100.0
61776,100.0
61816,100.0
62072,100.0
62128,100.0
62280,100.0
62304,100.0
62872,100.0
63064,100.0
63152,100.0
63576,100.0
63664,100.0
63896,100.0
64072,100.0
64120,100.0
64528,100.0
64624,100.0
64632,100.0
64872,100.0
64880,100.0
65024,100.0
65288,100.0
65576,100.0
65888,100.0
66040,100.0
66128,100.0
66224,100.0
66248,100.0
66304,100.0
66376,100.0
66384,100.0
66616,100.0
66912,100.0
67104,100.0
67240,100.0
67296,100.0
67416,100.0
67424,100.0
67456,100.0
67480,100.0
67968,100.0
68064,100.0
68352,100.0
68392,100.0
68592,100.0
68896,100.0
68920,100.0
68976,100.0
69000,100.0
69088,100.0
69328,100.0
69528,100.0
69664,100.0
70248,100.0
70552,100.0
70864,100.0
71080,100.0
71216,100.0
71320,100.0
71480,100.0
71864,100.0
72024,100.0
72272,100.0
72488,100.0
72680,100.0
72728,100.0
72776,100.0
73168,100.0
73952,100.0
74160,100.0
74360,100.0
74520,100.0
74640,100.0
75320,100.0
75432,100.0
75568,100.0
76120,100.0
76192,100.0
76512,100.0
76592,100.0
76680,100.0
76928,100.0
77448,100.0
77464,100.0
77592,100.0
77680,100.0
78144,100.0
78184,100.0
78488,100.0
78496,100.0
78616,100.0
78648,100.0
78656,100.0
78848,100.0
79032,100.0
