step,value
4096,9.999999747378752e-05
8192,9.999999747378752e-05
12288,9.999999747378752e-05
16384,9.999999747378752e-05
20480,9.999999747378752e-05
24576,9.999999747378752e-05
28672,9.999999747378752e-05
32768,9.999999747378752e-05
36864,9.999999747378752e-05
40960,9.999999747378752e-05
45056,9.999999747378752e-05
49152,9.999999747378752e-05
53248,9.999999747378752e-05
57344,9.999999747378752e-05
61440,9.999999747378752e-05
65536,9.999999747378752e-05
69632,9.999999747378752e-05
73728,9.999999747378752e-05
77824,9.999999747378752e-05
81920,9.999999747378752e-05
86016,9.999999747378752e-05
90112,9.999999747378752e-05
94208,9.999999747378752e-05
98304,9.999999747378752e-05
102400,9.999999747378752e-05
106496,9.999999747378752e-05
110592,9.999999747378752e-05
114688,9.999999747378752e-05
118784,9.999999747378752e-05
122880,9.999999747378752e-05
126976,9.999999747378752e-05
131072,9.999999747378752e-05
135168,9.999999747378752e-05
139264,9.999999747378752e-05
143360,9.999999747378752e-05
147456,9.999999747378752e-05
151552,9.999999747378752e-05
155648,9.999999747378752e-05
159744,9.999999747378752e-05
163840,9.999999747378752e-05
167936,9.999999747378752e-05
172032,9.999999747378752e-05
176128,9.999999747378752e-05
180224,9.999999747378752e-05
184320,9.999999747378752e-05
188416,9.999999747378752e-05
192512,9.999999747378752e-05
196608,9.999999747378752e-05
200704,9.999999747378752e-05
204800,9.999999747378752e-05
208896,9.999999747378752e-05
212992,9.999999747378752e-05
217088,9.999999747378752e-05
221184,9.999999747378752e-05
225280,9.999999747378752e-05
229376,9.999999747378752e-05
233472,9.999999747378752e-05
237568,9.999999747378752e-05
241664,9.999999747378752e-05
245760,9.999999747378752e-05
249856,9.999999747378752e-05
253952,9.999999747378752e-05
258048,9.999999747378752e-05
262144,9.999999747378752e-05
266240,9.999999747378752e-05
270336,9.999999747378752e-05
274432,9.999999747378752e-05
278528,9.999999747378752e-05
282624,9.999999747378752e-05
286720,9.999999747378752e-05
290816,9.999999747378752e-05
294912,9.999999747378752e-05
299008,9.999999747378752e-05
303104,9.999999747378752e-05
307200,9.999999747378752e-05
311296,9.999999747378752e-05
315392,9.999999747378752e-05
319488,9.999999747378752e-05
323584,9.999999747378752e-05
327680,9.999999747378752e-05
331776,9.999999747378752e-05
335872,9.999999747378752e-05
339968,9.999999747378752e-05
344064,9.999999747378752e-05
348160,9.999999747378752e-05
352256,9.999999747378752e-05
356352,9.999999747378752e-05
360448,9.999999747378752e-05
364544,9.999999747378752e-05
368640,9.999999747378752e-05
372736,9.999999747378752e-05
376832,9.999999747378752e-05
380928,9.999999747378752e-05
385024,9.999999747378752e-05
389120,9.999999747378752e-05
393216,9.999999747378752e-05
397312,9.999999747378752e-05
401408,9.999999747378752e-05
405504,9.999999747378752e-05
409600,9.999999747378752e-05
413696,9.999999747378752e-05
417792,9.999999747378752e-05
421888,9.999999747378752e-05
425984,9.999999747378752e-05
430080,9.999999747378752e-05
434176,9.999999747378752e-05
438272,9.999999747378752e-05
442368,9.999999747378752e-05
446464,9.999999747378752e-05
450560,9.999999747378752e-05
454656,9.999999747378752e-05
458752,9.999999747378752e-05
462848,9.999999747378752e-05
466944,9.999999747378752e-05
471040,9.999999747378752e-05
475136,9.999999747378752e-05
479232,9.999999747378752e-05
483328,9.999999747378752e-05
487424,9.999999747378752e-05
491520,9.999999747378752e-05
495616,9.999999747378752e-05
499712,9.999999747378752e-05
503808,9.999999747378752e-05
507904,9.999999747378752e-05
512000,9.999999747378752e-05
516096,9.999999747378752e-05
520192,9.999999747378752e-05
524288,9.999999747378752e-05
528384,9.999999747378752e-05
532480,9.999999747378752e-05
536576,9.999999747378752e-05
540672,9.999999747378752e-05
544768,9.999999747378752e-05
548864,9.999999747378752e-05
552960,9.999999747378752e-05
557056,9.999999747378752e-05
561152,9.999999747378752e-05
565248,9.999999747378752e-05
569344,9.999999747378752e-05
573440,9.999999747378752e-05
577536,9.999999747378752e-05
581632,9.999999747378752e-05
585728,9.999999747378752e-05
589824,9.999999747378752e-05
593920,9.999999747378752e-05
598016,9.999999747378752e-05
602112,9.999999747378752e-05
606208,9.999999747378752e-05
610304,9.999999747378752e-05
614400,9.999999747378752e-05
618496,9.999999747378752e-05
622592,9.999999747378752e-05
626688,9.999999747378752e-05
630784,9.999999747378752e-05
634880,9.999999747378752e-05
638976,9.999999747378752e-05
643072,9.999999747378752e-05
647168,9.999999747378752e-05
651264,9.999999747378752e-05
655360,9.999999747378752e-05
659456,9.999999747378752e-05
663552,9.999999747378752e-05
667648,9.999999747378752e-05
671744,9.999999747378752e-05
675840,9.999999747378752e-05
679936,9.999999747378752e-05
684032,9.999999747378752e-05
688128,9.999999747378752e-05
692224,9.999999747378752e-05
696320,9.999999747378752e-05
700416,9.999999747378752e-05
704512,9.999999747378752e-05
708608,9.999999747378752e-05
712704,9.999999747378752e-05
716800,9.999999747378752e-05
720896,9.999999747378752e-05
724992,9.999999747378752e-05
729088,9.999999747378752e-05
733184,9.999999747378752e-05
737280,9.999999747378752e-05
741376,9.999999747378752e-05
745472,9.999999747378752e-05
749568,9.999999747378752e-05
753664,9.999999747378752e-05
757760,9.999999747378752e-05
761856,9.999999747378752e-05
765952,9.999999747378752e-05
770048,9.999999747378752e-05
774144,9.999999747378752e-05
778240,9.999999747378752e-05
782336,9.999999747378752e-05
786432,9.999999747378752e-05
790528,9.999999747378752e-05
794624,9.999999747378752e-05
798720,9.999999747378752e-05
802816,9.999999747378752e-05
806912,9.999999747378752e-05
811008,9.999999747378752e-05
815104,9.999999747378752e-05
819200,9.999999747378752e-05
823296,9.999999747378752e-05
827392,9.999999747378752e-05
831488,9.999999747378752e-05
835584,9.999999747378752e-05
839680,9.999999747378752e-05
843776,9.999999747378752e-05
847872,9.999999747378752e-05
851968,9.999999747378752e-05
856064,9.999999747378752e-05
860160,9.999999747378752e-05
864256,9.999999747378752e-05
868352,9.999999747378752e-05
872448,9.999999747378752e-05
876544,9.999999747378752e-05
880640,9.999999747378752e-05
884736,9.999999747378752e-05
888832,9.999999747378752e-05
892928,9.999999747378752e-05
897024,9.999999747378752e-05
901120,9.999999747378752e-05
905216,9.999999747378752e-05
909312,9.999999747378752e-05
913408,9.999999747378752e-05
917504,9.999999747378752e-05
921600,9.999999747378752e-05
925696,9.999999747378752e-05
929792,9.999999747378752e-05
