step,value
4096,3.3998454455286264e-05
8192,1.2875068932771683e-05
12288,1.0927033144980669e-05
16384,1.062673982232809e-05
20480,8.348259143531322e-06
24576,1.3425655197352171e-05
28672,1.332256942987442e-05
32768,2.264510840177536e-05
36864,8.615490514785051e-06
40960,1.1933385394513607e-05
45056,7.313850801438093e-06
49152,1.756602432578802e-05
53248,8.05227318778634e-06
57344,1.4499528333544731e-06
61440,1.210399204865098e-05
65536,1.3445736840367317e-05
69632,1.8352584447711706e-05
73728,1.2116855941712856e-05
77824,5.473964847624302e-06
81920,1.2142816558480263e-05
86016,1.1881173122674227e-05
90112,2.387445420026779e-06
94208,1.2876349501311779e-05
98304,3.134901635348797e-05
102400,1.1166383046656847e-05
106496,8.52782977744937e-06
110592,1.1918717063963413e-05
114688,9.387207683175802e-06
118784,9.979470632970333e-06
122880,4.660862032324076e-06
126976,1.2664415407925844e-05
131072,1.4113087672740221e-05
135168,1.0238843970000744e-05
139264,2.0015111658722162e-05
143360,5.011213943362236e-06
147456,1.6005535144358873e-05
151552,5.7541183196008205e-06
155648,3.213062882423401e-05
159744,1.79475755430758e-05
163840,8.101167622953653e-06
167936,5.857669748365879e-06
172032,1.2492819223552942e-05
176128,1.978327054530382e-05
180224,1.794373383745551e-05
184320,7.356045534834266e-05
188416,6.410235073417425e-06
192512,4.5428983867168427e-05
196608,2.3728469386696815e-05
200704,4.107016138732433e-06
204800,2.0070874597877264e-05
208896,4.8739893827587366e-05
212992,1.9977684132754803e-05
217088,8.814327884465456e-06
221184,6.456219125539064e-06
225280,3.915565321221948e-05
229376,2.018292434513569e-05
233472,2.1620013285428286e-05
237568,1.5933415852487087e-05
241664,1.4107848983258009e-05
245760,1.6109785065054893e-05
249856,1.9609695300459862e-05
253952,1.4547549653798342e-05
258048,1.5396391972899437e-05
262144,2.3712986148893833e-05
266240,1.1502532288432121e-05
270336,2.4401117116212845e-05
274432,7.145339623093605e-06
278528,9.773124475032091e-06
282624,3.769353497773409e-06
286720,1.0461604688316584e-05
290816,9.06939385458827e-06
294912,2.691370900720358e-05
299008,6.034079706296325e-05
303104,1.3625656720250845e-05
307200,3.757100785151124e-05
311296,2.7649104595184326e-05
315392,5.357334157451987e-05
319488,1.6356061678379774e-05
323584,4.044861998409033e-05
327680,1.5490048099309206e-05
331776,1.8772378098219633e-05
335872,1.1883850675076246e-05
339968,1.5447090845555067e-05
344064,1.643405994400382e-05
348160,2.5796180125325918e-05
352256,3.801216371357441e-05
356352,2.3966887965798378e-05
360448,9.07618086785078e-05
364544,0.0003626369289122522
368640,8.984014857560396e-05
372736,1.0613817721605301e-05
376832,7.139297667890787e-05
380928,2.5137269403785467e-05
385024,7.448776159435511e-06
389120,8.692150004208088e-06
393216,4.501489456743002e-05
397312,4.669028567150235e-05
401408,6.0262507759034634e-05
405504,2.774468157440424e-05
409600,1.5878875274211168e-05
413696,4.503573291003704e-05
417792,5.8891542721539736e-05
421888,0.00011283636558800936
425984,0.00014235847629606724
430080,4.24271565862e-05
434176,7.633434142917395e-05
438272,2.0633626263588667e-05
442368,1.3708777260035276e-05
446464,2.8858892619609833e-05
450560,9.602284990251064e-06
454656,2.2215826902538538e-05
458752,5.3977943025529385e-05
462848,4.955078475177288e-05
466944,5.599437281489372e-05
471040,3.860343713313341e-05
475136,0.00014051765901967883
479232,7.735670078545809e-05
483328,2.6220222935080528e-05
487424,5.3372583352029324e-05
491520,5.6606135331094265e-05
495616,3.414362436160445e-05
499712,3.492407267913222e-05
503808,2.136779949069023e-05
507904,7.459777407348156e-06
512000,1.3499811757355928e-05
516096,4.3872452806681395e-05
520192,6.93487236276269e-05
524288,5.62203349545598e-05
528384,2.9486429411917925e-05
532480,0.00019451649859547615
536576,0.00011290126712992787
540672,7.597071817144752e-05
544768,1.393764978274703e-05
548864,2.649641828611493e-05
552960,3.385724266991019e-05
557056,0.00011529680341482162
561152,6.092741386964917e-05
565248,1.1837808415293694e-05
569344,2.1624378859996796e-05
573440,2.8598878998309374e-05
577536,9.50618414208293e-06
581632,5.683285417035222e-05
585728,3.729300806298852e-05
589824,6.456236587837338e-05
593920,5.8503064792603254e-05
598016,5.8595731388777494e-05
602112,7.345224730670452e-06
606208,5.582172889262438e-06
610304,2.9250280931591988e-05
614400,8.070573676377535e-05
618496,2.2143241949379444e-05
622592,4.481879295781255e-05
626688,6.11302675679326e-05
630784,4.628405440598726e-05
634880,5.497364327311516e-06
638976,4.612491466104984e-06
643072,2.4531676899641752e-05
647168,4.593719495460391e-05
651264,4.928855923935771e-05
655360,2.2304069716483355e-05
659456,2.4725450202822685e-06
663552,6.334506906569004e-06
667648,8.406135020777583e-05
671744,4.706875188276172e-05
675840,5.941372364759445e-06
679936,1.738115679472685e-05
684032,6.059766747057438e-06
688128,3.593566361814737e-05
692224,1.0756542906165123e-05
696320,7.557723438367248e-05
700416,6.495986599475145e-05
704512,0.00020668079378083348
708608,8.10007331892848e-05
712704,1.5349709428846836e-05
716800,2.4957931600511074e-05
720896,1.635414082556963e-05
724992,4.635471850633621e-05
729088,0.000489235739223659
733184,8.461374090984464e-05
737280,4.302698653191328e-05
741376,5.798006895929575e-06
745472,5.7460274547338486e-05
749568,4.2997533455491066e-05
753664,6.048433715477586e-05
757760,2.34085600823164e-05
761856,4.6660250518471e-05
765952,2.2302265278995037e-05
770048,2.0756444428116083e-05
774144,1.3263022992759943e-05
778240,3.7142192013561726e-05
782336,2.9183633159846067e-05
786432,5.292939022183418e-06
790528,3.587646642699838e-05
794624,1.2459000572562218e-05
798720,3.264832776039839e-05
802816,5.058682290837169e-05
806912,1.4864373952150345e-05
811008,1.2637057807296515e-05
815104,2.2335618268698454e-05
819200,3.720936365425587e-05
823296,2.2023043129593134e-05
827392,2.69345473498106e-05
831488,1.300562871620059e-05
835584,6.85517443343997e-06
839680,1.7205486074090004e-05
843776,1.7380632925778627e-05
847872,1.6391160897910595e-05
851968,1.7784943338483572e-05
856064,2.4178356397897005e-05
860160,0.00010947970440611243
864256,3.853050293400884e-05
868352,5.556445103138685e-06
872448,9.250885341316462e-06
876544,1.5265948604792356e-05
880640,3.379426198080182e-05
884736,1.511524897068739e-05
888832,7.092487066984177e-05
892928,3.636523615568876e-05
897024,1.4021177776157856e-05
901120,2.526084426790476e-05
905216,3.4632859751582146e-05
909312,1.666857860982418e-05
913408,3.553490387275815e-05
917504,1.488829730078578e-05
921600,9.218871127814054e-06
925696,1.2284261174499989e-05
929792,1.2883334420621395e-05
933888,9.990122634917498e-06
937984,4.749937215819955e-05
942080,2.698577009141445e-05
946176,8.283124770969152e-06
950272,1.888698898255825e-05
954368,6.254308391362429e-05
958464,1.8793856725096703e-05
962560,1.4661578461527824e-05
966656,1.2715579941868782e-05
970752,2.479198155924678e-05
974848,9.734934428706765e-05
978944,2.687278902158141e-05
983040,9.924988262355328e-06
987136,5.176477134227753e-05
991232,4.1370862163603306e-05
995328,7.87160824984312e-05
999424,1.2161210179328918e-05
1003520,3.801134880632162e-05
1007616,0.000212131068110466
1011712,5.803699605166912e-05
1015808,5.1314185839146376e-05
1019904,0.0014333217404782772
1024000,0.00016482587670907378
1028096,4.307302879169583e-05
1032192,2.8086593374609947e-05
1036288,1.8182559870183468e-05
1040384,6.681581726297736e-05
1044480,3.956904402002692e-05
1048576,1.3803655747324228e-05
1052672,1.68592669069767e-05
1056768,7.524387910962105e-06
1060864,6.39793579466641e-05
1064960,0.00023390701971948147
1069056,9.303842671215534e-05
1073152,0.0025718791875988245
1077248,0.00031469849636778235
1081344,3.246759297326207e-05
1085440,3.6598299629986286e-05
1089536,0.0007856638985686004
1093632,0.00013586314162239432
1097728,6.602593930438161e-05
1101824,6.824650336056948e-05
1105920,2.6297173462808132e-05
1110016,1.5717523638159037e-05
1114112,2.870807657018304e-05
1118208,5.807471461594105e-05
1122304,3.5479897633194923e-05
1126400,2.177705755457282e-05
1130496,3.494974225759506e-05
1134592,0.0005739157204516232
1138688,0.00014495063805952668
1142784,8.404674008488655e-05
1146880,2.7270405553281307e-05
1150976,1.1826574336737394e-05
1155072,4.414335126057267e-05
1159168,7.019739132374525e-05
1163264,4.8535934183746576e-05
1167360,2.0971521735191345e-05
1171456,8.860050002112985e-05
1175552,7.328041829168797e-05
1179648,0.00018845463637262583
1183744,0.0001922074006870389
1187840,3.4754222724586725e-05
1191936,4.087691195309162e-06
1196032,5.9404526837170124e-05
1200128,2.2897962480783463e-05
1204224,2.8218724764883518e-05
1208320,9.027647320181131e-05
1212416,0.00012748537119477987
1216512,1.1850905138999224e-05
1220608,3.558071330189705e-05
1224704,5.758908810093999e-05
1228800,5.495280493050814e-05
1232896,2.2844062186777592e-05
1236992,0.00036021770210936666
1241088,9.098992450162768e-05
1245184,3.091036342084408e-05
1249280,0.00010239379480481148
1253376,8.328002877533436e-05
1257472,5.954172229394317e-05
1261568,6.200943607836962e-05
1265664,0.00019418727606534958
1269760,4.720373544842005e-05
1273856,1.84575910679996e-05
1277952,8.168281055986881e-06
1282048,1.812115078791976e-05
1286144,3.0858791433274746e-05
1290240,5.2942195907235146e-06
1294336,8.664809865877032e-05
1298432,1.5892554074525833e-05
1302528,5.093257641419768e-05
1306624,8.351716678589582e-05
1310720,3.1445990316569805e-05
1314816,3.912148531526327e-05
1318912,1.9183382391929626e-05
1323008,0.00011472118785604835
1327104,5.2566349040716887e-05
1331200,2.2790278308093548e-05
1335296,1.1862954124808311e-05
1339392,0.00012524327030405402
1343488,1.63613585755229e-05
1347584,1.602427801117301e-05
1351680,3.194937016814947e-05
1355776,3.9561535231769085e-05
1359872,9.593460708856583e-05
1363968,0.0002152295201085508
1368064,0.0008183511672541499
1372160,2.4235225282609463e-05
1376256,5.1892013289034367e-05
1380352,3.4849392250180244e-05
1384448,0.0001755374250933528
1388544,3.9455248042941093e-05
1392640,3.059831215068698e-05
1396736,0.0014240953605622053
1400832,0.0003764479188248515
1404928,0.00010372779797762632
1409024,2.4997862055897713e-05
1413120,0.00157814787235111
1417216,0.000770963670220226
1421312,0.0002379945362918079
1425408,0.0012986226938664913
1429504,3.713753540068865e-05
1433600,0.00037619646172970533
1437696,6.845442112535238e-05
1441792,8.969026384875178e-05
1445888,0.0001305977930314839
1449984,0.00019403983606025577
1454080,0.0001783412299118936
1458176,0.0002786977565847337
1462272,3.17839439958334e-05
1466368,0.00010999874211847782
1470464,0.0003492908435873687
1474560,4.092458402737975e-05
1478656,5.3817115258425474e-05
1482752,2.944975858554244e-05
1486848,0.0001479758066125214
1490944,0.00010145490523427725
1495040,4.909717245027423e-05
1499136,2.4715729523450136e-05
1503232,2.7544680051505566e-05
1507328,2.626021159812808e-05
1511424,1.674779923632741e-05
1515520,0.00013858848251402378
1519616,0.00037400180008262396
1523712,9.645515820011497e-05
1527808,0.0001881805364973843
