step,value
4096,0.00010409392416477203
8192,-0.000398978590965271
12288,0.00011350959539413452
16384,-7.275212556123734e-05
20480,-0.0001502707600593567
24576,0.00010612607002258301
28672,0.00022063404321670532
32768,-0.00022332370281219482
36864,-7.370812818408012e-05
40960,-4.661828279495239e-05
45056,-2.1029263734817505e-06
49152,-0.00021104514598846436
53248,-3.8370490074157715e-05
57344,1.6462057828903198e-05
61440,-0.00017417781054973602
65536,-4.0650367736816406e-05
69632,-0.00024094060063362122
73728,-4.1291117668151855e-05
77824,-0.0001286529004573822
81920,4.0315091609954834e-05
86016,9.520724415779114e-05
90112,-7.530301809310913e-05
94208,-0.0004724860191345215
98304,-4.246830940246582e-05
102400,-0.0002494417130947113
106496,-9.749457240104675e-05
110592,-7.408298552036285e-05
114688,2.6842579245567322e-05
118784,7.158983498811722e-05
122880,-6.52112066745758e-05
126976,-0.00011771917343139648
131072,-8.135172538459301e-05
135168,-0.00019712001085281372
139264,-4.287250339984894e-05
143360,-9.371526539325714e-05
147456,-0.00033546239137649536
151552,8.160248398780823e-06
155648,-0.00014722347259521484
159744,-0.00010631745681166649
163840,5.850754678249359e-05
167936,-0.00012613274157047272
172032,-0.00018951855599880219
176128,2.8640031814575195e-05
180224,1.4171004295349121e-05
184320,-0.0005495399236679077
188416,-0.0002296939492225647
192512,-0.00021917186677455902
196608,-0.0001468360424041748
200704,-7.813423871994019e-05
204800,-0.0003415793180465698
208896,-0.00014371797442436218
212992,5.4428353905677795e-05
217088,-0.00011501088738441467
221184,-0.00023747608065605164
225280,-4.152953624725342e-05
229376,-6.536580622196198e-05
233472,-0.00011210842058062553
237568,-0.00021710339933633804
241664,-0.00023010000586509705
245760,-0.00017659366130828857
249856,0.0001307409256696701
253952,-0.00033674389123916626
258048,-3.824383020401001e-05
262144,0.00018014106899499893
266240,6.23464584350586e-05
270336,-0.00045758113265037537
274432,-0.0001444406807422638
278528,-0.00015491992235183716
282624,9.819865226745605e-05
286720,-0.00018569082021713257
290816,-0.00025450438261032104
294912,-0.00015270709991455078
299008,-0.0005010180175304413
303104,-0.00017702952027320862
307200,0.00010455772280693054
311296,0.00012523308396339417
315392,-0.00027076900005340576
319488,0.00010878592729568481
323584,-0.0003598742187023163
327680,-2.1288171410560608e-05
331776,-0.00027206819504499435
335872,8.928962051868439e-05
339968,-0.00024437112733721733
344064,-5.70639967918396e-05
348160,0.0001651756465435028
352256,-0.0005438625812530518
356352,9.823590517044067e-05
360448,-5.605816841125488e-05
364544,-0.0017923004925251007
368640,8.88630747795105e-05
