step,value
4096,20.0
8192,20.0
12288,20.0
16384,20.0
20480,20.0
24576,20.0
28672,20.0
32768,20.0
36864,20.0
40960,20.0
45056,20.0
49152,20.0
53248,20.0
57344,20.0
61440,20.0
65536,20.0
69632,20.0
73728,20.0
77824,20.0
81920,20.0
86016,20.0
90112,20.0
94208,20.0
98304,20.0
102400,20.0
106496,20.0
110592,20.0
114688,20.0
118784,20.0
122880,20.0
126976,20.0
131072,20.0
135168,20.0
139264,20.0
143360,20.0
147456,20.0
151552,20.0
155648,20.0
159744,20.0
163840,20.0
167936,20.0
172032,20.0
176128,20.0
180224,20.0
184320,20.0
188416,20.0
192512,20.0
196608,20.0
200704,20.0
204800,20.0
208896,20.0
212992,20.0
217088,20.0
221184,20.0
225280,20.0
229376,20.0
233472,20.0
237568,20.0
241664,20.0
245760,20.0
249856,20.0
253952,20.0
258048,20.0
262144,20.0
266240,20.0
270336,20.0
274432,20.0
278528,20.0
282624,20.0
286720,20.0
290816,20.0
294912,20.0
299008,20.0
303104,20.0
307200,20.0
311296,20.0
315392,20.0
319488,20.0
323584,20.0
327680,20.0
331776,20.0
335872,20.0
339968,20.0
344064,20.0
348160,20.0
352256,20.0
356352,20.0
360448,20.0
364544,20.0
368640,20.0
372736,20.0
376832,20.0
380928,20.0
385024,19.0
389120,19.0
393216,19.0
397312,19.0
401408,19.0
405504,18.0
409600,18.0
413696,18.0
417792,18.0
421888,18.0
425984,18.0
430080,17.0
434176,17.0
438272,17.0
442368,17.0
446464,17.0
450560,17.0
454656,17.0
458752,16.0
462848,16.0
466944,16.0
471040,16.0
475136,16.0
479232,16.0
483328,16.0
487424,16.0
491520,16.0
495616,16.0
499712,15.0
503808,15.0
507904,15.0
512000,15.0
516096,15.0
520192,15.0
524288,15.0
528384,15.0
532480,15.0
536576,15.0
540672,15.0
544768,15.0
548864,15.0
552960,14.0
557056,14.0
561152,14.0
565248,14.0
569344,14.0
573440,14.0
577536,14.0
581632,14.0
