step,value
4096,2.521788701415062e-05
8192,8.60053114593029e-06
12288,2.1227635443210602e-05
16384,1.811207039281726e-05
20480,1.2241885997354984e-05
24576,7.731840014457703e-06
28672,5.984271410852671e-06
32768,1.3966928236186504e-05
36864,9.264214895665646e-06
40960,5.10428799316287e-06
45056,7.402210030704737e-06
49152,1.6744830645620823e-05
53248,3.834662493318319e-06
57344,2.0721927285194397e-06
61440,7.452210411429405e-06
65536,9.817944373935461e-06
69632,1.2473901733756065e-05
73728,2.1647079847753048e-05
77824,1.7723359633237123e-05
81920,2.621184103190899e-05
86016,2.2707972675561905e-05
90112,1.0026502422988415e-05
94208,2.8198352083563805e-05
98304,3.235240001231432e-05
102400,1.0720104910433292e-05
106496,4.842993803322315e-06
110592,8.895702194422483e-06
114688,7.271475624293089e-06
118784,3.0772469472140074e-05
122880,2.793991006910801e-05
126976,6.500107701867819e-06
131072,5.366455297917128e-06
135168,1.1204683687537909e-05
139264,4.445959348231554e-06
143360,5.201494786888361e-06
147456,7.933296728879213e-06
151552,7.480091881006956e-06
155648,9.580922778695822e-06
159744,3.4815166145563126e-06
163840,2.5353743694722652e-05
167936,1.1230004020035267e-05
172032,1.4718680176883936e-05
176128,5.7810102589428425e-06
180224,6.114598363637924e-06
184320,4.060508217662573e-06
188416,3.5205157473683357e-06
192512,7.497030310332775e-06
196608,6.574072176590562e-05
200704,3.375357482582331e-05
204800,5.3105177357792854e-06
208896,4.403700586408377e-06
212992,1.811981201171875e-05
217088,5.642860196530819e-05
221184,3.9258680772036314e-05
225280,1.2755626812577248e-05
229376,5.22262416779995e-06
233472,1.1290365364402533e-05
237568,1.807429362088442e-05
241664,1.0145420674234629e-05
245760,2.315593883395195e-05
249856,2.3831322323530912e-05
253952,1.4517398085445166e-05
258048,2.7822621632367373e-05
262144,5.193921970203519e-05
266240,5.2586139645427465e-05
270336,2.8048118110746145e-05
274432,3.585300873965025e-05
278528,4.4701446313411e-05
282624,4.9272552132606506e-05
286720,1.7149606719613075e-05
290816,2.281146589666605e-05
294912,1.5436962712556124e-05
299008,1.6083125956356525e-05
303104,2.0705105271190405e-05
307200,9.401584975421429e-06
311296,1.5748024452477694e-05
315392,0.00019759422866627574
319488,0.0001164018758572638
323584,1.8149730749428272e-05
327680,2.230162499472499e-05
