/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → experiments/adaptive_fps_cautious_ep_counter/runs/CarRacing-v3_fc_0.5_bud_150_19-07-09-20-35/info_settings.txt
Device: cuda
Navigation model path: experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
global_step=944 | return=-61.35 | steps=118
global_step=1904 | return=-34.91 | steps=238
global_step=1904 | return=-30.91 | steps=238
global_step=1904 | return=-31.41 | steps=238
global_step=1904 | return=-11.59 | steps=238
global_step=1904 | return=-35.41 | steps=238
global_step=1904 | return=-18.09 | steps=238
global_step=1904 | return=-36.91 | steps=238
global_step=2856 | return=-30.41 | steps=238
global_step=3816 | return=-20.36 | steps=238
global_step=3816 | return=-30.91 | steps=238
global_step=3816 | return=-34.41 | steps=238
global_step=3816 | return=-30.91 | steps=238
global_step=3816 | return=-36.41 | steps=238
global_step=3816 | return=-31.91 | steps=238
global_step=3816 | return=-32.91 | steps=238
global_step=4096, SPS=20
global_step=4768 | return=-33.91 | steps=238
global_step=5728 | return=-30.41 | steps=238
global_step=5728 | return=-43.91 | steps=238
global_step=5728 | return=-31.41 | steps=238
global_step=5728 | return=-34.91 | steps=238
global_step=5728 | return=86.23 | steps=238
global_step=5728 | return=-33.41 | steps=238
global_step=5728 | return=-31.91 | steps=238
global_step=6680 | return=-31.41 | steps=238
global_step=7592 | return=163.83 | steps=232
global_step=7640 | return=-33.91 | steps=238
global_step=7640 | return=5.09 | steps=238
global_step=7640 | return=-34.41 | steps=238
global_step=7640 | return=-32.41 | steps=238
global_step=7640 | return=-33.91 | steps=238
global_step=7640 | return=-37.91 | steps=238
global_step=8192, SPS=20
global_step=8360 | return=200.45 | steps=95
global_step=8592 | return=-31.91 | steps=238
global_step=9552 | return=-31.41 | steps=238
global_step=9552 | return=-34.91 | steps=238
global_step=9552 | return=148.68 | steps=238
global_step=9552 | return=-32.14 | steps=238
global_step=9552 | return=-37.41 | steps=238
global_step=9552 | return=-38.91 | steps=238
global_step=10272 | return=-37.41 | steps=238
global_step=10504 | return=-34.41 | steps=238
global_step=11464 | return=-34.91 | steps=238
global_step=11464 | return=-2.05 | steps=238
global_step=11464 | return=-35.41 | steps=238
global_step=11464 | return=22.91 | steps=238
global_step=11464 | return=-37.91 | steps=238
global_step=11464 | return=-34.41 | steps=238
global_step=12184 | return=-21.36 | steps=238
global_step=12288, SPS=20
global_step=12416 | return=-32.91 | steps=238
global_step=13376 | return=-35.91 | steps=238
global_step=13376 | return=-8.32 | steps=238
global_step=13376 | return=-32.41 | steps=238
global_step=13376 | return=-30.41 | steps=238
global_step=13376 | return=-31.41 | steps=238
global_step=13376 | return=-33.91 | steps=238
global_step=14096 | return=-34.91 | steps=238
global_step=14328 | return=19.64 | steps=238
global_step=15152 | return=-62.36 | steps=102
global_step=15288 | return=-30.41 | steps=238
global_step=15288 | return=-37.41 | steps=238
global_step=15288 | return=-34.41 | steps=238
global_step=15288 | return=-33.41 | steps=238
global_step=15288 | return=-33.41 | steps=238
global_step=15288 | return=-40.91 | steps=238
global_step=16008 | return=-33.41 | steps=238
global_step=16144 | return=-65.66 | steps=106
global_step=16384, SPS=20
global_step=17064 | return=-30.41 | steps=238
global_step=17192 | return=188.58 | steps=130
global_step=17200 | return=-31.91 | steps=238
global_step=17200 | return=-32.91 | steps=238
global_step=17200 | return=-31.41 | steps=238
global_step=17200 | return=-38.41 | steps=238
global_step=17200 | return=-31.91 | steps=238
global_step=17920 | return=-32.41 | steps=238
global_step=18976 | return=-33.91 | steps=238
global_step=19104 | return=84.23 | steps=238
global_step=19112 | return=52.50 | steps=238
global_step=19112 | return=-33.91 | steps=238
global_step=19112 | return=-32.91 | steps=238
global_step=19112 | return=-35.41 | steps=238
global_step=19112 | return=-34.91 | steps=238
global_step=19832 | return=-32.91 | steps=238
global_step=20480, SPS=20
global_step=20888 | return=-34.91 | steps=238
global_step=21016 | return=194.05 | steps=238
global_step=21024 | return=-35.41 | steps=238
global_step=21024 | return=-33.91 | steps=238
global_step=21024 | return=-32.41 | steps=238
global_step=21024 | return=-36.91 | steps=238
global_step=21024 | return=-31.91 | steps=238
global_step=21744 | return=-0.55 | steps=238
global_step=22768 | return=160.05 | steps=217
global_step=22800 | return=-31.91 | steps=238
global_step=22928 | return=-31.91 | steps=238
global_step=22936 | return=20.27 | steps=238
global_step=22936 | return=-32.91 | steps=238
global_step=22936 | return=-39.41 | steps=238
global_step=22936 | return=10.86 | steps=238
global_step=23656 | return=-33.91 | steps=238
global_step=24576, SPS=20
global_step=24680 | return=14.64 | steps=238
global_step=24712 | return=104.91 | steps=238
global_step=24840 | return=-36.91 | steps=238
global_step=24848 | return=-35.91 | steps=238
global_step=24848 | return=-32.41 | steps=238
global_step=24848 | return=-35.91 | steps=238
global_step=24848 | return=58.64 | steps=238
global_step=25568 | return=-34.91 | steps=238
global_step=26592 | return=-35.41 | steps=238
global_step=26624 | return=-32.91 | steps=238
global_step=26752 | return=-37.41 | steps=238
global_step=26760 | return=-33.41 | steps=238
global_step=26760 | return=-21.86 | steps=238
global_step=26760 | return=52.00 | steps=238
global_step=26760 | return=-32.41 | steps=238
global_step=27480 | return=-33.91 | steps=238
global_step=28504 | return=-31.41 | steps=238
global_step=28536 | return=-34.41 | steps=238
global_step=28664 | return=-9.82 | steps=238
global_step=28672 | return=-36.91 | steps=238
global_step=28672 | return=-30.91 | steps=238
global_step=28672 | return=0.95 | steps=238
global_step=28672 | return=6.59 | steps=238
global_step=28672, SPS=20
global_step=29392 | return=-36.91 | steps=238
global_step=30416 | return=-31.91 | steps=238
global_step=30448 | return=57.14 | steps=238
global_step=30576 | return=-35.41 | steps=238
global_step=30584 | return=-35.41 | steps=238
global_step=30584 | return=13.86 | steps=238
global_step=30584 | return=-34.41 | steps=238
global_step=30584 | return=-32.41 | steps=238
global_step=31304 | return=-34.91 | steps=238
global_step=32328 | return=-35.41 | steps=238
global_step=32360 | return=-33.41 | steps=238
global_step=32488 | return=-29.41 | steps=238
global_step=32496 | return=-17.23 | steps=238
global_step=32496 | return=66.41 | steps=238
global_step=32496 | return=12.00 | steps=238
global_step=32496 | return=-33.91 | steps=238
global_step=32768, SPS=20
global_step=33216 | return=-33.41 | steps=238
global_step=34240 | return=-36.91 | steps=238
global_step=34272 | return=-34.91 | steps=238
global_step=34400 | return=-33.41 | steps=238
global_step=34408 | return=-32.41 | steps=238
global_step=34408 | return=-32.41 | steps=238
global_step=34408 | return=-36.91 | steps=238
global_step=34408 | return=-32.91 | steps=238
global_step=35128 | return=121.09 | steps=238
global_step=36152 | return=63.77 | steps=238
global_step=36184 | return=-31.91 | steps=238
global_step=36312 | return=-20.23 | steps=238
global_step=36320 | return=-31.91 | steps=238
global_step=36320 | return=-34.41 | steps=238
global_step=36320 | return=-34.41 | steps=238
global_step=36320 | return=110.68 | steps=238
global_step=36864, SPS=20
global_step=37040 | return=-11.95 | steps=238
global_step=38064 | return=-37.91 | steps=238
global_step=38096 | return=-36.91 | steps=238
global_step=38224 | return=-37.91 | steps=238
global_step=38232 | return=18.64 | steps=238
global_step=38232 | return=-30.91 | steps=238
global_step=38232 | return=-13.45 | steps=238
global_step=38232 | return=140.64 | steps=238
global_step=38952 | return=-37.91 | steps=238
global_step=39976 | return=-33.91 | steps=238
global_step=40008 | return=194.18 | steps=238
global_step=40136 | return=-33.91 | steps=238
global_step=40144 | return=-37.41 | steps=238
global_step=40144 | return=33.68 | steps=238
global_step=40144 | return=-36.41 | steps=238
global_step=40144 | return=121.09 | steps=238
global_step=40384 | return=-79.18 | steps=178
global_step=40960, SPS=20
global_step=41888 | return=-31.91 | steps=238
global_step=41920 | return=-33.41 | steps=238
global_step=42048 | return=-35.91 | steps=238
global_step=42056 | return=-19.73 | steps=238
global_step=42056 | return=-34.91 | steps=238
global_step=42056 | return=-31.91 | steps=238
global_step=42056 | return=-37.41 | steps=238
global_step=42296 | return=-32.91 | steps=238
global_step=43800 | return=-35.91 | steps=238
global_step=43832 | return=-33.41 | steps=238
global_step=43960 | return=-31.91 | steps=238
global_step=43968 | return=-31.91 | steps=238
global_step=43968 | return=-19.86 | steps=238
global_step=43968 | return=-32.91 | steps=238
global_step=43968 | return=-35.41 | steps=238
global_step=44208 | return=-31.41 | steps=238
global_step=45056, SPS=20
global_step=45712 | return=-35.91 | steps=238
global_step=45744 | return=1.09 | steps=238
global_step=45872 | return=-33.41 | steps=238
global_step=45880 | return=-33.41 | steps=238
global_step=45880 | return=-34.41 | steps=238
global_step=45880 | return=-34.41 | steps=238
global_step=45880 | return=-34.41 | steps=238
global_step=46120 | return=-35.41 | steps=238
global_step=47528 | return=-97.74 | steps=175
global_step=47624 | return=54.50 | steps=238
global_step=47656 | return=-31.91 | steps=238
global_step=47784 | return=-33.91 | steps=238
global_step=47792 | return=-33.41 | steps=238
global_step=47792 | return=-34.41 | steps=238
global_step=47792 | return=-32.91 | steps=238
global_step=47792 | return=-36.41 | steps=238
global_step=49152, SPS=20
global_step=49440 | return=-39.91 | steps=238
global_step=49536 | return=-14.32 | steps=238
global_step=49568 | return=-30.41 | steps=238
global_step=49696 | return=2.73 | steps=238
global_step=49704 | return=131.00 | steps=238
global_step=49704 | return=-37.91 | steps=238
global_step=49704 | return=-38.91 | steps=238
global_step=49704 | return=-34.41 | steps=238
global_step=51352 | return=-34.91 | steps=238
global_step=51448 | return=-31.41 | steps=238
global_step=51480 | return=-33.41 | steps=238
global_step=51608 | return=-33.91 | steps=238
global_step=51616 | return=54.50 | steps=238
global_step=51616 | return=-17.23 | steps=238
global_step=51616 | return=-32.41 | steps=238
global_step=51616 | return=-32.41 | steps=238
global_step=53248, SPS=20
global_step=53264 | return=-36.41 | steps=238
global_step=53360 | return=-31.91 | steps=238
global_step=53392 | return=-31.91 | steps=238
global_step=53520 | return=-39.41 | steps=238
global_step=53528 | return=-30.91 | steps=238
global_step=53528 | return=-32.91 | steps=238
global_step=53528 | return=33.82 | steps=238
global_step=53528 | return=-37.91 | steps=238
global_step=54528 | return=-69.69 | steps=141
global_step=55176 | return=-30.41 | steps=238
global_step=55272 | return=7.09 | steps=238
global_step=55432 | return=-34.91 | steps=238
global_step=55440 | return=-37.41 | steps=238
global_step=55440 | return=-13.73 | steps=238
global_step=55440 | return=-33.91 | steps=238
global_step=55440 | return=-34.41 | steps=238
global_step=56176 | return=211.33 | steps=112
global_step=56440 | return=-35.91 | steps=238
global_step=57088 | return=-33.91 | steps=238
global_step=57344 | return=-31.91 | steps=238
global_step=57344, SPS=20
global_step=57352 | return=76.32 | steps=238
global_step=57352 | return=-32.91 | steps=238
global_step=57352 | return=-39.41 | steps=238
global_step=57352 | return=-33.41 | steps=238
global_step=58088 | return=-6.18 | steps=238
global_step=58352 | return=56.50 | steps=238
global_step=59000 | return=-32.41 | steps=238
global_step=59256 | return=-35.41 | steps=238
global_step=59264 | return=-31.91 | steps=238
global_step=59264 | return=-34.41 | steps=238
global_step=59264 | return=-32.91 | steps=238
global_step=59264 | return=-38.91 | steps=238
global_step=60000 | return=-32.91 | steps=238
global_step=60264 | return=64.27 | steps=238
global_step=60912 | return=-35.91 | steps=238
global_step=61168 | return=-32.41 | steps=238
global_step=61176 | return=-37.91 | steps=238
global_step=61176 | return=-34.91 | steps=238
global_step=61176 | return=50.73 | steps=238
global_step=61176 | return=-32.41 | steps=238
global_step=61440, SPS=20
global_step=61912 | return=-35.91 | steps=238
global_step=62176 | return=-21.36 | steps=238
global_step=62824 | return=-37.41 | steps=238
global_step=63080 | return=-34.41 | steps=238
global_step=63088 | return=-30.91 | steps=238
global_step=63088 | return=-37.41 | steps=238
global_step=63088 | return=-31.41 | steps=238
global_step=63088 | return=-19.36 | steps=238
global_step=63824 | return=-35.91 | steps=238
global_step=64088 | return=-34.91 | steps=238
global_step=64736 | return=-32.91 | steps=238
global_step=64992 | return=111.82 | steps=238
global_step=65000 | return=-31.14 | steps=238
global_step=65000 | return=-34.91 | steps=238
global_step=65000 | return=40.09 | steps=238
global_step=65000 | return=-35.91 | steps=238
global_step=65536, SPS=20
global_step=65736 | return=200.09 | steps=238
global_step=66000 | return=-33.91 | steps=238
global_step=66648 | return=-37.91 | steps=238
global_step=66904 | return=154.32 | steps=238
global_step=66912 | return=5.59 | steps=238
global_step=66912 | return=-37.91 | steps=238
global_step=66912 | return=-29.91 | steps=238
global_step=66912 | return=-33.91 | steps=238
global_step=67648 | return=-40.41 | steps=238
global_step=67912 | return=-32.41 | steps=238
global_step=68560 | return=-30.41 | steps=238
global_step=68816 | return=-35.91 | steps=238
global_step=68824 | return=91.14 | steps=238
global_step=68824 | return=-33.41 | steps=238
global_step=68824 | return=53.50 | steps=238
global_step=68824 | return=-31.91 | steps=238
global_step=69560 | return=-31.91 | steps=238
global_step=69632, SPS=20
global_step=69824 | return=-32.91 | steps=238
global_step=70472 | return=-36.91 | steps=238
global_step=70728 | return=-30.91 | steps=238
global_step=70736 | return=-32.41 | steps=238
global_step=70736 | return=-31.91 | steps=238
global_step=70736 | return=-34.41 | steps=238
global_step=70736 | return=28.05 | steps=238
global_step=71472 | return=-32.41 | steps=238
global_step=71736 | return=-2.68 | steps=238
global_step=72384 | return=6.73 | steps=238
global_step=72640 | return=-33.91 | steps=238
global_step=72648 | return=-31.91 | steps=238
global_step=72648 | return=-35.41 | steps=238
global_step=72648 | return=-33.41 | steps=238
global_step=72648 | return=-35.41 | steps=238
global_step=73384 | return=-38.91 | steps=238
global_step=73648 | return=-1.55 | steps=238
global_step=73728, SPS=20
global_step=74296 | return=-36.91 | steps=238
global_step=74552 | return=-32.41 | steps=238
global_step=74560 | return=126.73 | steps=238
global_step=74560 | return=-29.64 | steps=238
global_step=74560 | return=-32.91 | steps=238
global_step=74560 | return=-29.91 | steps=238
global_step=75296 | return=-33.41 | steps=238
global_step=75560 | return=87.23 | steps=238
global_step=76208 | return=-35.91 | steps=238
global_step=76464 | return=-31.41 | steps=238
global_step=76472 | return=-33.41 | steps=238
global_step=76472 | return=-31.41 | steps=238
global_step=76472 | return=-32.91 | steps=238
global_step=76472 | return=-39.41 | steps=238
global_step=76520 | return=167.74 | steps=152
global_step=77472 | return=-31.41 | steps=238
global_step=77824, SPS=20
global_step=78120 | return=-31.41 | steps=238
global_step=78376 | return=-26.50 | steps=238
global_step=78384 | return=-42.41 | steps=238
global_step=78384 | return=-38.41 | steps=238
global_step=78384 | return=-34.41 | steps=238
global_step=78384 | return=-30.91 | steps=238
global_step=78432 | return=-30.91 | steps=238
global_step=79176 | return=-118.84 | steps=212
global_step=80032 | return=-29.41 | steps=238
global_step=80288 | return=-32.91 | steps=238
global_step=80296 | return=-33.91 | steps=238
global_step=80296 | return=-39.41 | steps=238
global_step=80296 | return=-31.91 | steps=238
global_step=80296 | return=-34.91 | steps=238
global_step=80344 | return=-35.41 | steps=238
global_step=81088 | return=-35.91 | steps=238
global_step=81416 | return=-55.05 | steps=133
global_step=81920, SPS=20
global_step=81944 | return=-32.91 | steps=238
global_step=82200 | return=86.23 | steps=238
global_step=82208 | return=-19.36 | steps=238
global_step=82208 | return=-34.91 | steps=238
global_step=82208 | return=-38.91 | steps=238
global_step=82208 | return=21.14 | steps=238
global_step=83000 | return=-37.91 | steps=238
global_step=83328 | return=-32.91 | steps=238
global_step=83856 | return=-36.91 | steps=238
global_step=84112 | return=-36.41 | steps=238
global_step=84120 | return=-31.91 | steps=238
global_step=84120 | return=-38.41 | steps=238
global_step=84120 | return=-30.41 | steps=238
global_step=84120 | return=-37.41 | steps=238
global_step=84912 | return=-33.91 | steps=238
global_step=85240 | return=-33.41 | steps=238
global_step=85768 | return=82.59 | steps=238
global_step=86016, SPS=20
global_step=86024 | return=12.64 | steps=238
global_step=86032 | return=-30.91 | steps=238
global_step=86032 | return=-34.91 | steps=238
global_step=86032 | return=-31.41 | steps=238
global_step=86032 | return=-31.41 | steps=238
global_step=86824 | return=-33.91 | steps=238
global_step=87152 | return=-31.41 | steps=238
global_step=87328 | return=-44.73 | steps=161
global_step=87680 | return=-32.41 | steps=238
global_step=87936 | return=-32.41 | steps=238
global_step=87944 | return=9.86 | steps=238
global_step=87944 | return=-33.91 | steps=238
global_step=87944 | return=-34.91 | steps=238
global_step=88736 | return=-36.41 | steps=238
global_step=88976 | return=-11.81 | steps=128
global_step=89064 | return=-32.41 | steps=238
global_step=89240 | return=-33.41 | steps=238
global_step=89592 | return=-36.41 | steps=238
global_step=89848 | return=-31.91 | steps=238
global_step=89856 | return=-35.41 | steps=238
global_step=89856 | return=-33.41 | steps=238
global_step=90112, SPS=20
global_step=90648 | return=-22.86 | steps=238
global_step=90888 | return=-38.41 | steps=238
global_step=90976 | return=13.64 | steps=238
global_step=91152 | return=-35.91 | steps=238
global_step=91504 | return=-34.41 | steps=238
global_step=91760 | return=-22.36 | steps=238
global_step=91768 | return=-29.91 | steps=238
global_step=91768 | return=-32.91 | steps=238
global_step=92560 | return=-34.41 | steps=238
global_step=92800 | return=-31.41 | steps=238
global_step=92888 | return=-33.91 | steps=238
global_step=93064 | return=-34.41 | steps=238
global_step=93416 | return=-32.41 | steps=238
global_step=93672 | return=-34.91 | steps=238
global_step=93680 | return=-43.41 | steps=238
global_step=93680 | return=-31.41 | steps=238
global_step=94208, SPS=20
global_step=94472 | return=91.36 | steps=238
global_step=94712 | return=-31.91 | steps=238
global_step=94800 | return=24.41 | steps=238
global_step=94976 | return=-33.41 | steps=238
global_step=95328 | return=-33.41 | steps=238
global_step=95584 | return=-34.91 | steps=238
global_step=95592 | return=-17.36 | steps=238
global_step=95592 | return=-33.91 | steps=238
global_step=96384 | return=-34.91 | steps=238
global_step=96624 | return=-33.91 | steps=238
global_step=96712 | return=-34.91 | steps=238
global_step=96888 | return=-36.41 | steps=238
global_step=97240 | return=-32.91 | steps=238
global_step=97496 | return=-18.86 | steps=238
global_step=97504 | return=-28.14 | steps=238
global_step=97504 | return=-30.91 | steps=238
global_step=98296 | return=42.59 | steps=238
global_step=98304, SPS=20
global_step=98536 | return=-34.91 | steps=238
global_step=98624 | return=-30.91 | steps=238
global_step=98800 | return=-36.41 | steps=238
global_step=99152 | return=-30.41 | steps=238
global_step=99408 | return=-33.91 | steps=238
global_step=99416 | return=133.50 | steps=238
global_step=99416 | return=-36.91 | steps=238
global_step=100208 | return=-30.91 | steps=238
global_step=100448 | return=-30.91 | steps=238
global_step=100536 | return=-37.91 | steps=238
global_step=100712 | return=-36.91 | steps=238
global_step=101064 | return=-35.91 | steps=238
global_step=101320 | return=20.77 | steps=238
global_step=101328 | return=-31.91 | steps=238
global_step=101328 | return=-36.41 | steps=238
global_step=102120 | return=-32.91 | steps=238
global_step=102360 | return=-31.91 | steps=238
global_step=102400, SPS=20
global_step=102448 | return=-33.91 | steps=238
global_step=102624 | return=57.14 | steps=238
global_step=102976 | return=-30.91 | steps=238
global_step=103232 | return=-31.91 | steps=238
global_step=103240 | return=4.59 | steps=238
global_step=103240 | return=120.23 | steps=238
global_step=103328 | return=-64.66 | steps=109
global_step=104032 | return=-33.91 | steps=238
global_step=104272 | return=6.59 | steps=238
global_step=104536 | return=-31.91 | steps=238
global_step=104888 | return=-38.41 | steps=238
global_step=105144 | return=269.68 | steps=238
global_step=105152 | return=-31.91 | steps=238
global_step=105152 | return=-22.36 | steps=238
global_step=105240 | return=-34.91 | steps=238
global_step=105944 | return=-32.41 | steps=238
global_step=106184 | return=-35.91 | steps=238
global_step=106448 | return=-33.91 | steps=238
global_step=106496, SPS=20
global_step=106800 | return=-32.41 | steps=238
global_step=107056 | return=-19.23 | steps=238
global_step=107064 | return=-30.41 | steps=238
global_step=107064 | return=-33.91 | steps=238
global_step=107152 | return=-35.91 | steps=238
global_step=107856 | return=-32.41 | steps=238
global_step=108096 | return=-34.41 | steps=238
global_step=108360 | return=-21.23 | steps=238
global_step=108712 | return=-31.41 | steps=238
global_step=108968 | return=-32.91 | steps=238
global_step=108976 | return=-34.41 | steps=238
global_step=108976 | return=16.00 | steps=238
global_step=109064 | return=-30.91 | steps=238
global_step=109768 | return=-36.91 | steps=238
global_step=109832 | return=-62.96 | steps=106
global_step=110008 | return=-18.36 | steps=238
global_step=110272 | return=-32.41 | steps=238
global_step=110592, SPS=20
global_step=110624 | return=-35.41 | steps=238
global_step=110880 | return=3.09 | steps=238
global_step=110888 | return=13.86 | steps=238
global_step=110976 | return=-31.91 | steps=238
global_step=111680 | return=-34.91 | steps=238
global_step=111744 | return=-34.91 | steps=238
global_step=111920 | return=-33.41 | steps=238
global_step=112184 | return=-36.41 | steps=238
global_step=112536 | return=-36.91 | steps=238
global_step=112664 | return=186.15 | steps=122
global_step=112792 | return=-31.41 | steps=238
global_step=112800 | return=-32.91 | steps=238
global_step=112888 | return=12.50 | steps=238
global_step=113656 | return=36.68 | steps=238
global_step=113832 | return=-10.32 | steps=238
global_step=114096 | return=-32.91 | steps=238
global_step=114448 | return=-37.41 | steps=238
global_step=114576 | return=100.14 | steps=238
global_step=114688, SPS=20
global_step=114704 | return=-31.91 | steps=238
