step,value
4096,33.0
8192,33.0
12288,33.0
16384,33.0
20480,33.0
24576,33.0
28672,33.0
32768,33.0
36864,33.0
40960,33.0
45056,33.0
49152,32.0
53248,32.0
57344,32.0
61440,32.0
65536,32.0
69632,32.0
73728,32.0
77824,31.0
81920,31.0
86016,31.0
90112,31.0
94208,31.0
98304,31.0
102400,31.0
106496,31.0
110592,31.0
114688,30.0
118784,30.0
122880,30.0
126976,30.0
131072,30.0
135168,30.0
139264,30.0
143360,30.0
147456,30.0
151552,30.0
155648,30.0
159744,30.0
163840,30.0
167936,30.0
172032,30.0
176128,30.0
180224,30.0
184320,30.0
188416,30.0
192512,30.0
196608,30.0
200704,30.0
204800,30.0
208896,30.0
212992,30.0
217088,30.0
221184,30.0
225280,30.0
229376,30.0
233472,29.0
237568,29.0
241664,29.0
245760,29.0
249856,29.0
253952,29.0
258048,29.0
262144,29.0
266240,29.0
270336,29.0
274432,29.0
278528,29.0
282624,29.0
286720,29.0
290816,29.0
294912,29.0
299008,29.0
303104,29.0
307200,29.0
311296,29.0
315392,29.0
319488,29.0
323584,29.0
327680,29.0
331776,29.0
335872,29.0
339968,29.0
344064,29.0
348160,29.0
352256,29.0
356352,29.0
360448,29.0
364544,29.0
368640,29.0
372736,29.0
376832,29.0
380928,29.0
385024,29.0
389120,29.0
393216,29.0
397312,29.0
401408,29.0
405504,29.0
409600,29.0
413696,29.0
417792,29.0
421888,29.0
425984,29.0
430080,29.0
434176,29.0
438272,29.0
442368,29.0
446464,29.0
450560,29.0
454656,29.0
458752,29.0
462848,29.0
466944,29.0
471040,29.0
475136,29.0
479232,29.0
483328,29.0
487424,29.0
491520,29.0
495616,29.0
499712,29.0
503808,29.0
507904,29.0
512000,29.0
516096,29.0
520192,29.0
524288,29.0
528384,29.0
532480,29.0
536576,29.0
540672,29.0
544768,29.0
548864,29.0
552960,29.0
557056,29.0
561152,29.0
565248,29.0
569344,29.0
573440,29.0
577536,29.0
581632,29.0
585728,29.0
589824,29.0
593920,29.0
598016,29.0
602112,29.0
606208,29.0
610304,29.0
614400,29.0
618496,29.0
622592,29.0
626688,29.0
630784,29.0
634880,29.0
638976,29.0
643072,29.0
647168,29.0
651264,29.0
655360,29.0
659456,29.0
