step,value
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
12344,1000.0
13016,821.0
13032,828.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13872,473.0
14256,1000.0
14944,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15784,1000.0
16168,1000.0
16856,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17696,1000.0
18080,1000.0
18768,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19608,1000.0
19992,1000.0
20664,572.0
20680,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21904,1000.0
22592,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
23600,1000.0
23608,1000.0
23816,1000.0
24504,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
25512,1000.0
25520,1000.0
25728,1000.0
26416,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
27424,1000.0
27432,1000.0
27640,1000.0
28328,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
29336,1000.0
29344,1000.0
29552,1000.0
30240,1000.0
30440,592.0
30584,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
31248,1000.0
31464,1000.0
32152,1000.0
32352,1000.0
32496,1000.0
32496,1000.0
32496,1000.0
32496,1000.0
33160,1000.0
33376,1000.0
34064,1000.0
34264,1000.0
34408,1000.0
34408,1000.0
34408,1000.0
34408,1000.0
35072,1000.0
35288,1000.0
35856,768.0
35976,1000.0
36176,1000.0
36320,1000.0
36320,1000.0
36320,1000.0
36984,1000.0
37200,1000.0
37768,1000.0
37888,1000.0
38088,1000.0
38232,1000.0
38232,1000.0
38232,1000.0
38896,1000.0
39112,1000.0
39680,1000.0
39800,1000.0
40000,1000.0
40144,1000.0
40144,1000.0
40144,1000.0
40808,1000.0
41024,1000.0
41592,1000.0
41712,1000.0
41912,1000.0
42056,1000.0
42056,1000.0
42056,1000.0
42720,1000.0
43504,1000.0
43624,1000.0
43824,1000.0
43968,1000.0
43968,1000.0
43968,1000.0
43984,1000.0
44632,1000.0
45416,1000.0
45536,1000.0
45736,1000.0
45880,1000.0
45880,1000.0
45880,1000.0
