step,value
4096,24.0
8192,24.0
12288,25.0
16384,25.0
20480,25.0
24576,25.0
28672,25.0
32768,25.0
36864,25.0
40960,25.0
45056,25.0
49152,25.0
53248,25.0
57344,25.0
61440,25.0
65536,25.0
69632,25.0
73728,25.0
77824,25.0
81920,25.0
86016,25.0
90112,25.0
94208,25.0
98304,25.0
102400,25.0
106496,25.0
110592,25.0
114688,25.0
118784,25.0
122880,25.0
126976,25.0
131072,25.0
135168,25.0
139264,25.0
143360,25.0
147456,25.0
151552,25.0
155648,25.0
159744,25.0
163840,25.0
167936,25.0
172032,25.0
176128,25.0
180224,25.0
184320,25.0
188416,25.0
192512,25.0
196608,25.0
200704,25.0
204800,25.0
208896,25.0
212992,25.0
217088,25.0
221184,25.0
225280,25.0
229376,25.0
233472,25.0
237568,25.0
241664,25.0
245760,25.0
249856,25.0
253952,24.0
258048,24.0
262144,24.0
266240,24.0
270336,24.0
274432,24.0
278528,24.0
282624,24.0
286720,24.0
290816,24.0
294912,24.0
299008,24.0
303104,24.0
307200,24.0
311296,24.0
315392,24.0
319488,24.0
323584,24.0
327680,24.0
331776,24.0
335872,24.0
339968,24.0
344064,24.0
348160,24.0
352256,24.0
356352,24.0
360448,24.0
364544,24.0
368640,24.0
372736,24.0
376832,24.0
380928,24.0
385024,24.0
389120,24.0
393216,24.0
397312,24.0
401408,24.0
405504,24.0
409600,24.0
413696,24.0
417792,24.0
421888,24.0
425984,24.0
430080,24.0
434176,24.0
438272,24.0
442368,24.0
446464,24.0
450560,24.0
454656,24.0
458752,24.0
462848,24.0
466944,24.0
471040,24.0
475136,24.0
479232,24.0
483328,24.0
487424,24.0
491520,24.0
495616,24.0
499712,24.0
503808,24.0
507904,24.0
512000,24.0
516096,24.0
520192,24.0
524288,24.0
528384,24.0
532480,24.0
536576,24.0
540672,24.0
544768,24.0
548864,24.0
552960,24.0
557056,24.0
561152,24.0
565248,24.0
569344,24.0
573440,24.0
577536,24.0
581632,24.0
585728,24.0
589824,24.0
593920,24.0
598016,24.0
602112,24.0
606208,24.0
610304,24.0
614400,24.0
618496,24.0
622592,24.0
626688,24.0
630784,24.0
634880,24.0
