step,value
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
4304,287.0
4344,309.0
4344,309.0
4872,310.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
6216,1000.0
6256,1000.0
6784,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
8128,1000.0
8168,1000.0
8696,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
10040,1000.0
10072,306.0
10080,1000.0
10536,291.0
10608,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11984,1000.0
11992,1000.0
12448,1000.0
12520,1000.0
12976,310.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13896,1000.0
13904,1000.0
14416,299.0
14432,1000.0
14888,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15784,293.0
15808,1000.0
16328,1000.0
16344,1000.0
16800,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17696,1000.0
17720,1000.0
18200,295.0
18240,1000.0
18256,1000.0
18712,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19632,1000.0
20112,1000.0
20152,1000.0
20168,1000.0
20624,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21544,1000.0
22024,1000.0
22064,1000.0
22080,1000.0
22536,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
23072,311.0
23456,1000.0
23936,1000.0
23976,1000.0
23992,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24984,1000.0
25368,306.0
25368,1000.0
25848,1000.0
25888,1000.0
25904,1000.0
26384,312.0
26760,1000.0
26760,1000.0
26896,1000.0
27280,1000.0
27280,1000.0
27800,1000.0
27816,1000.0
27872,531.0
28296,1000.0
28672,1000.0
28672,1000.0
29192,1000.0
29192,1000.0
29712,1000.0
29728,1000.0
29784,1000.0
30208,1000.0
30584,1000.0
30584,1000.0
31104,1000.0
31104,1000.0
31152,327.0
31624,1000.0
31640,1000.0
31696,1000.0
32120,1000.0
32184,317.0
32496,1000.0
32720,314.0
33016,1000.0
33016,1000.0
33064,1000.0
33536,1000.0
33608,1000.0
34032,1000.0
34408,1000.0
34632,1000.0
34928,1000.0
34928,1000.0
34976,1000.0
35448,1000.0
35520,1000.0
35944,1000.0
36320,1000.0
36544,1000.0
36840,1000.0
36840,1000.0
36888,1000.0
37360,1000.0
37432,1000.0
37856,1000.0
38232,1000.0
38456,1000.0
38752,1000.0
38752,1000.0
38800,1000.0
39272,1000.0
39344,1000.0
39768,1000.0
40144,1000.0
40320,322.0
40368,1000.0
40664,1000.0
40664,1000.0
40712,1000.0
40888,306.0
41184,1000.0
41256,1000.0
41728,575.0
42056,1000.0
42232,1000.0
42576,1000.0
42624,1000.0
42800,1000.0
43096,1000.0
43168,1000.0
