step,value
1904,-23.636363983154297
1904,-37.31343460083008
1904,-26.199262619018555
1904,23.636363983154297
1904,-24.012157440185547
1904,54.9295768737793
1904,-27.899686813354492
1904,103.18724822998047
3816,-29.378530502319336
3816,25.874126434326172
3816,-33.99340057373047
3816,-37.10691833496094
3816,-26.739927291870117
3816,-30.55555534362793
3816,-20.15209197998047
3816,-30.46357536315918
4304,-3.0769875049591064
4344,26.342857360839844
4344,57.234188079833984
4872,4.484615325927734
5728,-31.372549057006836
5728,-29.054054260253906
5728,-27.586206436157227
5728,100.6172866821289
5728,-19.847328186035156
6216,-17.491748809814453
6256,-30.921052932739258
6784,89.96415710449219
7640,13.01369857788086
7640,-24.460432052612305
7640,-29.328622817993164
7640,-30.0
7640,-28.81355857849121
8128,-24.187725067138672
8168,57.53424835205078
8696,-25.795053482055664
9552,-23.913043975830078
9552,24.203821182250977
9552,-23.913043975830078
9552,98.73816680908203
9552,-34.375
10040,-19.847328186035156
10072,6.596774101257324
10080,-38.235294342041016
10536,-20.089109420776367
10608,-26.829267501831055
11464,-27.007299423217773
11464,-26.829267501831055
11464,-36.30573272705078
11464,-21.34831428527832
11984,-20.3187255859375
11992,-30.23255729675293
12448,-33.33333206176758
12520,-22.22222137451172
12976,7.031034469604492
13376,-32.69230651855469
13376,-22.509225845336914
13376,-28.571428298950195
13376,34.3283576965332
13896,-23.636363983154297
13904,121.85430145263672
14416,1.6878892183303833
14432,44.73684310913086
14888,-19.191919326782227
15288,-24.460432052612305
15288,-37.31343460083008
15288,-19.54022979736328
15288,-23.913043975830078
15784,5.935135364532471
15808,56.25
16328,-23.636363983154297
16344,-24.460432052612305
16800,-32.03883361816406
17200,-25.650558471679688
17200,-6.015037536621094
17200,-31.59609031677246
17696,-26.3157901763916
17720,-33.96226501464844
18200,-10.588118553161621
18240,61.290321350097656
18256,-21.933086395263672
18712,-29.530200958251953
19112,161.90475463867188
19112,-30.46357536315918
19112,245.32374572753906
19632,-29.078014373779297
20112,-38.837921142578125
20152,-30.46357536315918
20168,-29.577465057373047
20624,-32.65993118286133
21024,-22.794116973876953
21024,-25.795053482055664
21024,-38.053096771240234
21544,91.01123809814453
22024,-27.536231994628906
22064,71.75572204589844
22080,-28.81355857849121
22536,-29.29292869567871
22936,-28.81355857849121
22936,-29.765886306762695
22936,-33.753944396972656
23072,33.233577728271484
23456,-24.187725067138672
23936,-26.829267501831055
23976,-12.751677513122559
23992,-35.582820892333984
24848,64.59627532958984
24848,-8.771929740905762
24848,-39.5770378112793
24984,-23.357664108276367
25368,52.90611267089844
25368,-21.64179039001465
25848,-30.55555534362793
25888,-35.779815673828125
25904,-39.82807922363281
26384,21.442373275756836
26760,-37.304073333740234
26760,57.53424835205078
26896,-32.69230651855469
27280,-28.82562255859375
27280,36.054420471191406
27800,-28.32764434814453
27816,-25.266904830932617
27872,-29.404495239257812
28296,-22.22222137451172
28672,-15.662651062011719
28672,-29.078014373779297
29192,-26.056337356567383
29192,-28.32764434814453
29712,-27.08333396911621
29728,-21.34831428527832
29784,30.872482299804688
30208,-38.41642379760742
30584,-34.426231384277344
30584,62.54417037963867
31104,-34.984519958496094
31104,-17.647058486938477
31152,38.452632904052734
31624,-28.082191467285156
31640,-29.054054260253906
31696,-33.77483367919922
32120,-32.03883361816406
32184,38.07508850097656
32496,-30.23255729675293
32720,9.80429458618164
33016,-28.32764434814453
33016,-29.054054260253906
33064,-33.33333206176758
33536,-31.034482955932617
33608,-31.147541046142578
34032,-27.272727966308594
34408,-24.460432052612305
34632,-16.0
34928,-25.53191566467285
34928,-30.46357536315918
34976,88.67924499511719
35448,-26.573427200317383
35520,19.298246383666992
35944,-22.509225845336914
36320,-28.082191467285156
36544,-23.913043975830078
36840,60.49382781982422
36840,-28.315412521362305
36888,-16.996047973632812
37360,-24.460432052612305
37432,-17.322834014892578
37856,-24.460432052612305
38232,-37.31343460083008
38456,-27.797834396362305
38752,36.49024963378906
38752,-31.147541046142578
38800,2.3890786170959473
39272,92.69103240966797
39344,-28.81355857849121
39768,70.2127685546875
40144,-29.328622817993164
40320,29.61617088317871
40368,-16.932907104492188
40664,-24.731182098388672
40664,152.42718505859375
