step,value
4096,82.26457214355469
8192,103.27047729492188
12288,73.10432434082031
16384,56.18608093261719
20480,71.24757385253906
24576,60.086997985839844
28672,97.25187683105469
32768,71.40003967285156
36864,71.85111999511719
40960,82.5488052368164
45056,31.454368591308594
49152,65.33647918701172
53248,23.904268264770508
57344,138.46380615234375
61440,47.218597412109375
65536,121.21697998046875
69632,172.22987365722656
73728,84.22561645507812
77824,83.62242126464844
81920,112.89884948730469
86016,171.18724060058594
90112,111.76322937011719
94208,93.39202117919922
98304,97.41873168945312
102400,95.67568969726562
106496,69.62364959716797
110592,47.2803840637207
114688,66.23219299316406
118784,162.39051818847656
122880,196.56265258789062
126976,81.89226531982422
131072,151.10333251953125
135168,98.56808471679688
139264,101.02886962890625
143360,99.92835998535156
147456,120.2708511352539
151552,171.5657196044922
155648,54.816287994384766
159744,134.43231201171875
163840,120.1104507446289
167936,141.42898559570312
172032,209.70513916015625
176128,161.37391662597656
180224,95.77484893798828
184320,124.30099487304688
188416,67.77293395996094
192512,202.60447692871094
196608,207.71768188476562
200704,244.0374755859375
204800,198.83755493164062
208896,129.07420349121094
212992,329.81024169921875
217088,173.9473876953125
221184,133.75909423828125
225280,177.0726318359375
229376,278.40673828125
233472,202.68780517578125
237568,258.5518493652344
241664,188.3246612548828
245760,320.7166748046875
249856,320.037109375
253952,357.9681701660156
258048,363.50408935546875
262144,352.37225341796875
266240,398.2766418457031
270336,426.79046630859375
274432,344.23016357421875
278528,382.9522705078125
282624,757.7649536132812
286720,912.101318359375
290816,1097.5191650390625
294912,557.2952880859375
299008,1063.515625
303104,901.1922607421875
307200,783.7129516601562
311296,814.1480102539062
315392,1010.2212524414062
319488,1224.392333984375
323584,850.5679931640625
327680,1080.07177734375
331776,1290.10546875
335872,609.6353149414062
339968,1119.579345703125
344064,803.6177978515625
348160,903.2646484375
352256,879.0550537109375
356352,1039.77392578125
360448,815.39501953125
364544,890.521484375
368640,568.419189453125
372736,677.20849609375
376832,811.1610107421875
380928,668.0123291015625
385024,587.904296875
389120,515.4778442382812
393216,870.69287109375
397312,692.6259765625
401408,428.986083984375
405504,501.1929626464844
409600,581.428955078125
413696,789.4678955078125
417792,624.8184204101562
421888,689.3322143554688
425984,600.378662109375
430080,748.9471435546875
434176,641.528076171875
438272,833.2827758789062
442368,763.9153442382812
446464,952.6272583007812
450560,566.2578125
454656,739.9378662109375
458752,845.0347900390625
462848,711.7369995117188
466944,763.8988037109375
471040,813.0932006835938
475136,890.0250244140625
479232,915.8040771484375
483328,546.0022583007812
487424,716.24853515625
491520,519.3173828125
495616,697.693359375
499712,582.625732421875
503808,724.1904907226562
507904,532.9423828125
512000,585.6824951171875
516096,801.62353515625
520192,736.876708984375
524288,718.5885009765625
528384,794.594482421875
532480,807.3232421875
536576,529.6607666015625
540672,757.7423095703125
544768,600.0224609375
548864,654.7909545898438
552960,716.9075927734375
557056,795.4038696289062
561152,975.3140258789062
565248,737.56396484375
569344,488.7767333984375
573440,573.6434936523438
577536,542.5427856445312
581632,841.1541748046875
585728,664.2085571289062
589824,619.0836791992188
593920,478.86004638671875
598016,540.3263549804688
602112,560.5747680664062
606208,584.9864501953125
610304,624.28076171875
614400,793.3621215820312
618496,660.0140380859375
622592,705.087646484375
626688,561.5877685546875
630784,655.9051513671875
634880,808.788818359375
638976,556.5172729492188
643072,532.54443359375
647168,635.9225463867188
651264,595.6663208007812
655360,608.2913818359375
659456,635.95654296875
663552,761.3263549804688
667648,680.5597534179688
671744,642.7421875
675840,556.78125
679936,720.959716796875
684032,609.232666015625
688128,664.1327514648438
692224,603.3246459960938
696320,687.3057250976562
700416,627.4297485351562
704512,765.048828125
708608,677.5226440429688
712704,574.9635009765625
716800,1010.7130126953125
720896,982.6182861328125
724992,729.8746337890625
729088,536.126953125
733184,665.3888549804688
737280,654.8101806640625
741376,513.5514526367188
745472,632.253173828125
749568,655.0099487304688
753664,666.6282958984375
757760,628.7105712890625
761856,734.2587890625
765952,745.7479248046875
770048,826.0017700195312
774144,728.2399291992188
778240,948.3908081054688
782336,803.6396484375
786432,602.1486206054688
790528,683.5975341796875
794624,668.6990966796875
798720,429.5625305175781
802816,603.3338623046875
806912,700.567138671875
811008,499.2712707519531
815104,747.5164794921875
819200,439.80242919921875
823296,680.888427734375
827392,707.1163940429688
831488,866.386474609375
835584,581.1715698242188
839680,633.3411254882812
843776,632.166015625
847872,792.093017578125
851968,701.0715942382812
856064,698.295166015625
860160,565.1737060546875
864256,501.59075927734375
868352,647.2184448242188
872448,687.365478515625
876544,829.276611328125
880640,848.6077880859375
884736,510.9497375488281
888832,822.168212890625
892928,592.1473999023438
897024,745.3828125
901120,683.4234619140625
905216,1027.6009521484375
909312,709.27685546875
913408,735.711181640625
917504,690.542236328125
921600,605.855224609375
925696,622.380615234375
929792,1238.7188720703125
933888,963.6634521484375
937984,472.5897521972656
942080,736.3947143554688
946176,799.8685302734375
950272,910.7144165039062
954368,630.3702392578125
958464,673.1746826171875
