step,value
944,520.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
2856,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
4768,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
6680,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
8592,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
10504,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
12416,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
14328,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
16240,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
18152,1000.0
18752,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
20064,1000.0
20664,1000.0
20928,477.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
22576,1000.0
22840,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
24488,1000.0
24752,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
26280,808.0
26400,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
26760,1000.0
27048,427.0
28312,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28672,1000.0
28960,1000.0
29712,565.0
30224,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
30584,1000.0
30872,1000.0
31624,1000.0
31704,603.0
32112,810.0
32136,1000.0
32496,1000.0
32496,1000.0
32496,1000.0
32784,1000.0
33536,1000.0
33616,1000.0
34024,1000.0
34048,1000.0
34408,1000.0
34408,1000.0
34408,1000.0
34696,1000.0
35448,1000.0
35528,1000.0
35936,1000.0
35960,1000.0
36320,1000.0
36320,1000.0
36320,1000.0
36608,1000.0
37360,1000.0
37440,1000.0
37848,1000.0
37872,1000.0
38232,1000.0
38232,1000.0
38232,1000.0
38520,1000.0
39272,1000.0
39352,1000.0
39480,669.0
39760,1000.0
39784,1000.0
40144,1000.0
40144,1000.0
40432,1000.0
41184,1000.0
41264,1000.0
41392,1000.0
41672,1000.0
41696,1000.0
42056,1000.0
42344,1000.0
43096,1000.0
43176,1000.0
43304,1000.0
43584,1000.0
43608,1000.0
43752,1000.0
43968,1000.0
44256,1000.0
45008,1000.0
45088,1000.0
45216,1000.0
45496,1000.0
45520,1000.0
45664,1000.0
45880,1000.0
46168,1000.0
46920,1000.0
47000,1000.0
47128,1000.0
47408,1000.0
47432,1000.0
47576,1000.0
47792,1000.0
48080,1000.0
48832,1000.0
48912,1000.0
49040,1000.0
49320,1000.0
49344,1000.0
49488,1000.0
49704,1000.0
49992,1000.0
50744,1000.0
50824,1000.0
50952,1000.0
51232,1000.0
51256,1000.0
51400,1000.0
51616,1000.0
51904,1000.0
52656,1000.0
52736,1000.0
52864,1000.0
53144,1000.0
53168,1000.0
53312,1000.0
53528,1000.0
53816,1000.0
54568,1000.0
54648,1000.0
54776,1000.0
55056,1000.0
55080,1000.0
55224,1000.0
55440,1000.0
55728,1000.0
56368,700.0
56480,1000.0
56560,1000.0
56688,1000.0
56992,1000.0
57136,1000.0
57192,775.0
57352,1000.0
58280,1000.0
58392,1000.0
58472,1000.0
58600,1000.0
58904,1000.0
59048,1000.0
59104,1000.0
59264,1000.0
60192,1000.0
60304,1000.0
60384,1000.0
60512,1000.0
60816,1000.0
60960,1000.0
61016,1000.0
61176,1000.0
62104,1000.0
62216,1000.0
62296,1000.0
62424,1000.0
62728,1000.0
62872,1000.0
62928,1000.0
63088,1000.0
64016,1000.0
64128,1000.0
64208,1000.0
64336,1000.0
64640,1000.0
64784,1000.0
64840,1000.0
65000,1000.0
65928,1000.0
66040,1000.0
66120,1000.0
66248,1000.0
66552,1000.0
66696,1000.0
66752,1000.0
66912,1000.0
67840,1000.0
67952,1000.0
68032,1000.0
68160,1000.0
68464,1000.0
68608,1000.0
68664,1000.0
68824,1000.0
69752,1000.0
69864,1000.0
69944,1000.0
70072,1000.0
70376,1000.0
70520,1000.0
70576,1000.0
70736,1000.0
71776,1000.0
71856,1000.0
71984,1000.0
72288,1000.0
72432,1000.0
72488,1000.0
72648,1000.0
73048,1000.0
73688,1000.0
73768,1000.0
73896,1000.0
74200,1000.0
74344,1000.0
74400,1000.0
74560,1000.0
74960,1000.0
75216,704.0
75600,1000.0
75680,1000.0
76112,1000.0
76256,1000.0
76312,1000.0
76472,1000.0
76872,1000.0
77128,1000.0
77512,1000.0
77592,1000.0
78024,1000.0
78168,1000.0
78224,1000.0
78384,1000.0
78784,1000.0
79040,1000.0
79424,1000.0
79504,1000.0
79936,1000.0
80080,1000.0
80136,1000.0
80296,1000.0
80696,1000.0
80952,1000.0
81336,1000.0
81416,1000.0
81992,1000.0
82048,1000.0
82208,1000.0
82608,1000.0
82864,1000.0
83248,1000.0
83296,1000.0
83328,1000.0
83904,1000.0
84120,1000.0
84520,1000.0
84776,1000.0
85160,1000.0
85208,1000.0
85240,1000.0
85712,1000.0
85816,1000.0
86032,1000.0
86432,1000.0
86688,1000.0
87072,1000.0
87120,1000.0
87152,1000.0
87624,1000.0
87728,1000.0
87944,1000.0
88344,1000.0
88600,1000.0
88984,1000.0
89032,1000.0
89064,1000.0
89536,1000.0
89640,1000.0
89856,1000.0
90256,1000.0
90512,1000.0
90896,1000.0
90944,1000.0
90976,1000.0
91448,1000.0
91552,1000.0
91768,1000.0
92168,1000.0
92424,1000.0
92808,1000.0
92856,1000.0
92888,1000.0
93360,1000.0
93464,1000.0
93680,1000.0
94080,1000.0
94336,1000.0
94720,1000.0
94768,1000.0
94800,1000.0
95272,1000.0
95376,1000.0
95592,1000.0
95992,1000.0
96248,1000.0
96632,1000.0
96680,1000.0
96712,1000.0
97184,1000.0
97288,1000.0
