step,value
1024,44.0
2048,45.0
3072,46.0
4096,46.0
5120,47.0
6144,46.0
7168,47.0
8192,46.0
9216,47.0
10240,47.0
11264,47.0
12288,47.0
13312,47.0
14336,47.0
15360,47.0
16384,47.0
17408,47.0
18432,47.0
19456,47.0
20480,47.0
21504,47.0
22528,47.0
23552,47.0
24576,47.0
25600,47.0
26624,47.0
27648,47.0
28672,47.0
29696,47.0
30720,47.0
31744,48.0
32768,47.0
33792,48.0
34816,48.0
35840,48.0
36864,48.0
37888,48.0
38912,48.0
39936,48.0
40960,48.0
41984,48.0
43008,48.0
44032,48.0
45056,48.0
46080,48.0
47104,48.0
48128,48.0
49152,48.0
50176,48.0
51200,48.0
52224,48.0
53248,48.0
54272,48.0
55296,48.0
56320,48.0
57344,48.0
58368,48.0
59392,48.0
60416,48.0
61440,48.0
62464,48.0
63488,48.0
64512,48.0
65536,48.0
66560,48.0
67584,48.0
68608,48.0
69632,48.0
70656,48.0
71680,48.0
72704,48.0
73728,48.0
74752,48.0
75776,48.0
76800,48.0
77824,48.0
78848,48.0
79872,48.0
80896,48.0
81920,48.0
82944,48.0
83968,48.0
84992,48.0
86016,48.0
87040,48.0
88064,48.0
89088,48.0
90112,48.0
91136,48.0
92160,48.0
93184,48.0
94208,48.0
95232,48.0
96256,48.0
97280,48.0
98304,48.0
99328,48.0
100352,48.0
101376,48.0
102400,48.0
103424,48.0
104448,48.0
105472,48.0
106496,48.0
107520,48.0
108544,48.0
109568,48.0
110592,48.0
111616,48.0
112640,48.0
113664,48.0
114688,48.0
115712,48.0
116736,48.0
117760,48.0
118784,47.0
119808,47.0
120832,47.0
121856,47.0
122880,47.0
123904,47.0
124928,47.0
125952,47.0
126976,47.0
128000,47.0
129024,47.0
130048,47.0
131072,47.0
132096,47.0
133120,47.0
134144,47.0
135168,47.0
136192,47.0
137216,47.0
138240,47.0
139264,47.0
140288,47.0
141312,47.0
142336,47.0
143360,47.0
144384,47.0
145408,47.0
146432,47.0
147456,47.0
148480,47.0
149504,47.0
150528,47.0
151552,47.0
152576,47.0
153600,47.0
154624,47.0
155648,47.0
156672,47.0
157696,47.0
158720,47.0
159744,47.0
160768,47.0
161792,47.0
162816,47.0
163840,47.0
164864,47.0
165888,47.0
166912,47.0
167936,47.0
168960,47.0
169984,47.0
171008,47.0
172032,47.0
173056,47.0
174080,47.0
175104,47.0
176128,47.0
177152,47.0
178176,47.0
179200,47.0
180224,47.0
181248,47.0
182272,47.0
183296,47.0
184320,47.0
185344,47.0
186368,47.0
187392,47.0
188416,47.0
189440,47.0
190464,47.0
191488,47.0
192512,47.0
193536,47.0
194560,47.0
195584,47.0
196608,47.0
197632,47.0
198656,47.0
199680,47.0
200704,47.0
201728,47.0
202752,47.0
203776,47.0
204800,47.0
205824,47.0
206848,47.0
207872,47.0
208896,47.0
209920,47.0
210944,47.0
211968,47.0
212992,47.0
214016,47.0
215040,47.0
216064,47.0
217088,47.0
218112,47.0
219136,47.0
220160,47.0
221184,47.0
222208,47.0
223232,47.0
224256,47.0
