step,value
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
1904,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
3816,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
5728,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
7640,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
9552,1000.0
11200,870.0
11272,905.0
11392,964.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
11464,1000.0
12936,815.0
13112,1000.0
13184,1000.0
13344,983.0
13376,1000.0
13376,1000.0
13376,1000.0
13376,1000.0
14848,1000.0
15024,1000.0
15096,1000.0
15256,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
15288,1000.0
16520,882.0
16936,1000.0
17008,1000.0
17168,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
17200,1000.0
18432,1000.0
18848,1000.0
18920,1000.0
19080,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
19112,1000.0
20344,1000.0
20760,1000.0
20832,1000.0
20992,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
21024,1000.0
22256,1000.0
22672,1000.0
22720,894.0
22728,993.0
22904,1000.0
22936,1000.0
22936,1000.0
22936,1000.0
24168,1000.0
24584,1000.0
24632,1000.0
24640,1000.0
24816,1000.0
24848,1000.0
24848,1000.0
24848,1000.0
25728,618.0
26080,1000.0
26544,1000.0
26552,1000.0
26728,985.0
26728,1000.0
26736,987.0
26760,1000.0
27640,1000.0
27992,1000.0
28440,900.0
28456,1000.0
28464,1000.0
28640,1000.0
28648,1000.0
28672,1000.0
29552,1000.0
29904,1000.0
30352,1000.0
30368,1000.0
30368,998.0
30552,1000.0
30560,1000.0
30584,1000.0
31464,1000.0
31816,1000.0
32264,1000.0
32280,1000.0
32280,1000.0
32464,1000.0
32472,1000.0
32496,1000.0
33376,1000.0
33728,1000.0
34176,1000.0
34192,1000.0
34192,1000.0
34376,1000.0
34384,1000.0
34408,1000.0
35288,1000.0
35640,1000.0
36088,1000.0
36104,1000.0
36104,1000.0
36288,1000.0
36296,1000.0
36320,1000.0
37200,1000.0
37552,1000.0
37776,790.0
37952,872.0
38000,1000.0
38016,1000.0
38016,1000.0
38232,1000.0
39112,1000.0
39464,1000.0
39688,1000.0
39864,1000.0
39912,1000.0
39928,1000.0
39928,1000.0
40144,1000.0
41024,1000.0
41376,1000.0
41600,1000.0
41776,1000.0
41824,1000.0
41840,1000.0
41840,1000.0
42056,1000.0
42936,1000.0
43288,1000.0
43512,1000.0
43688,1000.0
43736,1000.0
43752,1000.0
43752,1000.0
43968,1000.0
44336,744.0
45200,1000.0
45424,1000.0
45600,1000.0
45648,1000.0
45664,1000.0
45664,1000.0
45880,1000.0
