step,value
1904,-49.09090805053711
1904,-73.13433074951172
1904,-15.129151344299316
1904,-16.363636016845703
1904,-36.17021179199219
1904,-33.09859085083008
1904,-43.57366943359375
1904,-48.20717239379883
3816,-40.6779670715332
3816,-75.52447509765625
3816,-37.29372787475586
3816,-43.39622497558594
3816,-56.0439567565918
3816,-20.13888931274414
3816,-42.96577835083008
3816,-30.46357536315918
5728,-64.05228424072266
5728,-59.4594612121582
5728,-3.765690326690674
5728,-6.896551609039307
5728,-32.14285659790039
5728,-29.012346267700195
5728,-40.17094039916992
5728,-69.46565246582031
7640,-69.17808532714844
7640,-13.66906452178955
7640,-57.09571075439453
7640,-43.46289825439453
7640,-32.30769348144531
7640,-23.33333396911621
7640,-21.052631378173828
7640,-11.86440658569336
9552,-63.76811599731445
9552,-1.2738853693008423
9552,-27.797834396362305
9552,-20.28985595703125
9552,-35.48387145996094
9552,32.49211502075195
9552,-4.109589099884033
9552,-53.125
11200,-141.09848022460938
11272,-156.692138671875
11392,-119.68709564208984
11464,-37.95620346069336
11464,-37.282230377197266
11464,-64.96815490722656
11464,-36.39575958251953
11464,-73.52941131591797
12936,-117.65498352050781
13112,-24.092409133911133
13184,19.402984619140625
13344,-148.36611938476562
13376,-61.53845977783203
13376,-74.16973876953125
13376,-65.98639678955078
13376,-37.282230377197266
14848,-23.636363983154297
15024,-61.904762268066406
15096,-74.63768005371094
15256,-66.88742065429688
15288,-20.863309860229492
15288,-28.35820960998535
15288,-34.865901947021484
15288,-44.44444274902344
16520,-138.10000610351562
16936,-2.821316719055176
17008,-49.806949615478516
17168,-16.95501708984375
17200,-62.825279235839844
17200,-51.1278190612793
17200,-51.14006423950195
17200,-57.23684310913086
18432,-40.25157165527344
18848,-36.02693557739258
18920,-43.859649658203125
19080,-20.0
19112,-69.38775634765625
19112,-50.33112716674805
19112,-13.66906452178955
19112,-42.446044921875
20344,126.95035552978516
20760,-64.40129089355469
20832,-0.9900990128517151
20992,-24.731182098388672
21024,-52.20588302612305
21024,-57.597171783447266
21024,-76.40117645263672
21024,-3.3457248210906982
22256,1.1235954761505127
22672,-59.731544494628906
22720,-135.06271362304688
22728,-153.3284454345703
22904,-43.70861053466797
22936,-9.698996543884277
22936,-43.21766662597656
22936,-33.09859085083008
24168,-56.6786994934082
24584,-36.02693557739258
24632,-44.09938049316406
24640,-52.89855194091797
24816,10.687023162841797
24848,-47.3684196472168
24848,-15.407855033874512
24848,-22.033897399902344
25728,-101.09394073486328
26080,15.67164134979248
26544,-47.5982551574707
26552,67.24738311767578
26728,-126.29969024658203
26728,-46.30872344970703
26736,-131.11534118652344
26760,-17.80821990966797
27640,-16.058393478393555
27992,53.06122589111328
28440,-117.61083984375
28456,-14.590746879577637
28464,-34.02777862548828
