step,value
4096,2.0
8192,2.0
12288,2.0
16384,2.0
20480,2.0
24576,2.0
28672,3.0
32768,3.0
36864,3.0
40960,3.0
45056,3.0
49152,3.0
53248,3.0
57344,3.0
61440,3.0
65536,3.0
69632,4.0
73728,4.0
77824,4.0
81920,4.0
86016,4.0
90112,4.0
94208,4.0
98304,4.0
102400,4.0
106496,4.0
110592,4.0
114688,4.0
118784,4.0
122880,4.0
126976,4.0
131072,5.0
135168,5.0
139264,5.0
143360,5.0
147456,5.0
151552,5.0
155648,5.0
159744,5.0
163840,5.0
167936,5.0
172032,5.0
176128,5.0
180224,5.0
184320,5.0
188416,5.0
192512,5.0
196608,5.0
200704,5.0
204800,5.0
208896,5.0
212992,5.0
217088,5.0
221184,5.0
225280,5.0
229376,5.0
233472,5.0
237568,6.0
241664,6.0
245760,6.0
249856,6.0
253952,6.0
258048,6.0
262144,6.0
266240,6.0
270336,6.0
274432,6.0
278528,6.0
282624,6.0
286720,6.0
290816,6.0
294912,6.0
299008,6.0
303104,6.0
307200,6.0
311296,6.0
315392,6.0
319488,6.0
323584,6.0
327680,6.0
331776,6.0
335872,6.0
339968,6.0
344064,6.0
348160,6.0
352256,7.0
356352,7.0
360448,7.0
364544,7.0
368640,7.0
372736,7.0
376832,7.0
380928,7.0
385024,7.0
389120,7.0
393216,7.0
397312,7.0
401408,7.0
405504,7.0
409600,7.0
413696,7.0
417792,7.0
421888,7.0
425984,7.0
430080,7.0
434176,7.0
438272,7.0
442368,7.0
446464,7.0
450560,7.0
454656,7.0
458752,7.0
462848,7.0
466944,7.0
471040,7.0
475136,7.0
479232,7.0
483328,7.0
487424,8.0
491520,8.0
495616,8.0
499712,8.0
503808,8.0
507904,8.0
512000,8.0
516096,8.0
520192,8.0
524288,8.0
528384,8.0
532480,8.0
536576,8.0
540672,8.0
544768,8.0
548864,8.0
552960,8.0
557056,8.0
561152,8.0
565248,8.0
569344,8.0
573440,8.0
577536,8.0
581632,8.0
585728,8.0
589824,8.0
593920,8.0
598016,8.0
602112,8.0
606208,8.0
610304,8.0
614400,8.0
618496,8.0
622592,8.0
626688,8.0
630784,8.0
634880,8.0
638976,8.0
643072,8.0
647168,8.0
651264,8.0
655360,8.0
659456,8.0
663552,8.0
667648,8.0
671744,8.0
675840,8.0
679936,8.0
684032,9.0
688128,9.0
692224,9.0
696320,9.0
700416,9.0
704512,9.0
708608,9.0
712704,9.0
716800,9.0
720896,9.0
724992,9.0
729088,9.0
733184,9.0
737280,9.0
741376,9.0
745472,9.0
749568,9.0
753664,9.0
757760,9.0
761856,9.0
765952,9.0
770048,9.0
774144,9.0
778240,9.0
782336,9.0
786432,9.0
790528,9.0
794624,9.0
798720,9.0
802816,9.0
806912,9.0
811008,9.0
815104,9.0
819200,9.0
823296,9.0
827392,9.0
831488,9.0
835584,9.0
839680,9.0
843776,9.0
847872,9.0
851968,9.0
856064,9.0
860160,9.0
864256,9.0
868352,9.0
872448,9.0
876544,9.0
880640,9.0
884736,9.0
888832,9.0
892928,9.0
897024,9.0
901120,9.0
905216,9.0
909312,9.0
913408,9.0
917504,9.0
921600,9.0
925696,9.0
929792,9.0
933888,9.0
937984,9.0
942080,9.0
946176,9.0
950272,9.0
954368,9.0
958464,9.0
962560,9.0
966656,9.0
970752,9.0
974848,9.0
978944,9.0
983040,9.0
987136,9.0
991232,9.0
995328,9.0
999424,10.0
1003520,10.0
1007616,10.0
1011712,10.0
1015808,10.0
1019904,10.0
1024000,10.0
1028096,10.0
1032192,10.0
1036288,10.0
1040384,10.0
1044480,10.0
1048576,10.0
1052672,10.0
1056768,10.0
1060864,10.0
1064960,10.0
1069056,10.0
1073152,10.0
1077248,10.0
1081344,10.0
1085440,10.0
1089536,10.0
1093632,10.0
1097728,10.0
1101824,10.0
1105920,10.0
1110016,10.0
1114112,10.0
1118208,10.0
1122304,10.0
1126400,10.0
1130496,10.0
1134592,10.0
1138688,10.0
1142784,10.0
1146880,10.0
1150976,10.0
1155072,10.0
1159168,10.0
1163264,10.0
1167360,10.0
1171456,10.0
1175552,10.0
1179648,10.0
1183744,10.0
1187840,10.0
1191936,10.0
1196032,10.0
1200128,10.0
1204224,10.0
1208320,10.0
1212416,10.0
1216512,10.0
1220608,10.0
1224704,10.0
1228800,10.0
1232896,10.0
1236992,10.0
1241088,10.0
1245184,10.0
1249280,10.0
1253376,10.0
1257472,10.0
1261568,10.0
1265664,10.0
1269760,10.0
1273856,10.0
1277952,10.0
1282048,10.0
1286144,10.0
1290240,10.0
1294336,10.0
1298432,10.0
1302528,10.0
1306624,10.0
1310720,10.0
1314816,10.0
1318912,10.0
1323008,10.0
1327104,10.0
1331200,10.0
1335296,10.0
1339392,10.0
1343488,10.0
1347584,10.0
1351680,10.0
1355776,10.0
1359872,10.0
1363968,10.0
1368064,10.0
1372160,10.0
1376256,10.0
1380352,10.0
1384448,10.0
1388544,10.0
1392640,10.0
1396736,10.0
1400832,10.0
1404928,10.0
1409024,10.0
1413120,10.0
1417216,10.0
1421312,10.0
1425408,10.0
1429504,10.0
1433600,10.0
1437696,10.0
1441792,10.0
1445888,10.0
1449984,10.0
1454080,10.0
1458176,10.0
1462272,10.0
1466368,10.0
1470464,10.0
1474560,10.0
1478656,10.0
1482752,10.0
1486848,10.0
1490944,10.0
1495040,10.0
1499136,10.0
1503232,10.0
1507328,10.0
1511424,10.0
1515520,10.0
1519616,10.0
1523712,11.0
1527808,11.0
1531904,11.0
1536000,11.0
1540096,11.0
1544192,11.0
1548288,11.0
1552384,11.0
1556480,11.0
1560576,11.0
1564672,11.0
1568768,11.0
1572864,11.0
1576960,11.0
1581056,11.0
1585152,11.0
1589248,11.0
1593344,11.0
1597440,11.0
1601536,11.0
1605632,11.0
1609728,11.0
1613824,11.0
1617920,11.0
1622016,11.0
1626112,11.0
1630208,11.0
1634304,11.0
1638400,11.0
1642496,11.0
1646592,11.0
1650688,11.0
1654784,11.0
1658880,11.0
1662976,11.0
1667072,11.0
1671168,11.0
1675264,11.0
1679360,11.0
1683456,11.0
1687552,11.0
1691648,11.0
1695744,11.0
1699840,11.0
1703936,11.0
1708032,11.0
1712128,11.0
1716224,11.0
1720320,11.0
1724416,11.0
1728512,11.0
1732608,11.0
1736704,11.0
