step,value
272,180.0
912,180.0
1072,180.0
1168,180.0
1312,180.0
2432,180.0
2816,180.0
3648,180.0
4048,180.0
4896,180.0
5200,180.0
8368,180.0
8496,180.0
9712,180.0
10464,180.0
10672,180.0
12128,180.0
12256,180.0
12576,180.0
13088,180.0
13600,180.0
14160,180.0
14752,180.0
15744,180.0
16928,180.0
17488,180.0
18864,180.0
19808,180.0
21664,180.0
22272,180.0
22576,180.0
23744,180.0
24336,180.0
26064,180.0
26160,180.0
27168,180.0
27280,180.0
28336,180.0
29840,180.0
30432,180.0
30832,180.0
32480,180.0
33888,180.0
33984,180.0
34464,180.0
34720,180.0
36416,180.0
37520,180.0
38224,180.0
38256,180.0
38816,180.0
39616,180.0
40048,180.0
40240,180.0
41376,180.0
41632,180.0
41664,180.0
42064,180.0
44224,180.0
48096,180.0
48144,180.0
50576,180.0
53264,180.0
53360,180.0
53488,180.0
54112,180.0
54384,180.0
54688,180.0
54976,180.0
56656,180.0
57664,180.0
58240,180.0
58336,180.0
58624,180.0
58848,180.0
59216,180.0
59392,180.0
59456,180.0
59520,180.0
59840,180.0
60640,180.0
61008,180.0
62784,180.0
63136,180.0
63696,180.0
63968,180.0
64800,180.0
64944,180.0
64976,180.0
65824,180.0
66208,180.0
66464,180.0
66784,180.0
68128,180.0
70048,180.0
70480,180.0
71856,180.0
72448,180.0
72480,180.0
72800,180.0
73328,180.0
75264,180.0
75856,180.0
75920,180.0
76016,180.0
76320,180.0
76464,180.0
76544,180.0
77328,180.0
77632,180.0
77680,180.0
78672,180.0
79056,180.0
80736,180.0
81360,180.0
82816,180.0
83376,180.0
84384,180.0
85008,180.0
85120,180.0
87024,180.0
87920,180.0
89792,180.0
90272,180.0
90896,180.0
93024,180.0
93088,180.0
94288,180.0
95440,180.0
95696,180.0
96064,180.0
97952,180.0
98192,180.0
98432,180.0
100016,180.0
100144,180.0
100832,180.0
101696,180.0
104656,180.0
105760,180.0
107568,180.0
109024,180.0
112592,180.0
113312,180.0
114000,180.0
114912,180.0
115808,180.0
116048,180.0
116064,180.0
116576,180.0
117056,180.0
117632,180.0
118000,180.0
118064,180.0
118432,180.0
119024,180.0
120432,180.0
121024,180.0
122816,180.0
123552,180.0
127152,180.0
128144,180.0
129744,180.0
130576,180.0
132080,180.0
132256,180.0
133232,180.0
134848,180.0
134912,180.0
134960,180.0
137840,180.0
138000,180.0
138656,180.0
139056,180.0
143728,180.0
144048,180.0
144544,180.0
144976,180.0
145456,180.0
148320,180.0
148720,180.0
149280,180.0
150640,180.0
151136,180.0
152384,180.0
153184,180.0
153360,180.0
153856,180.0
155184,180.0
157232,180.0
157296,180.0
157312,180.0
158064,180.0
158304,180.0
159376,180.0
159424,180.0
160320,180.0
163920,180.0
164976,180.0
165760,180.0
166608,180.0
168128,180.0
169936,180.0
170528,180.0
170640,180.0
171280,180.0
172576,180.0
173344,180.0
174032,180.0
174656,180.0
175088,180.0
176368,180.0
176480,180.0
176576,180.0
176704,180.0
177808,180.0
178128,180.0
178288,180.0
179440,180.0
180768,180.0
181088,180.0
182352,180.0
182464,180.0
185408,180.0
185664,180.0
186480,180.0
187952,180.0
188080,180.0
190464,180.0
190704,180.0
191520,180.0
192016,180.0
192032,180.0
192464,180.0
192976,180.0
192992,180.0
193120,180.0
193792,180.0
194784,180.0
195056,180.0
195696,180.0
197184,180.0
197408,180.0
197520,180.0
197664,180.0
200112,180.0
200304,180.0
200864,180.0
201520,180.0
202256,180.0
202272,180.0
203408,180.0
203568,180.0
203824,180.0
205488,180.0
206464,180.0
206960,180.0
210000,180.0
210992,180.0
212768,180.0
213472,180.0
214608,180.0
214656,180.0
215376,180.0
217184,180.0
218400,180.0
221104,180.0
222576,180.0
223392,180.0
223488,180.0
223888,180.0
224928,180.0
227136,180.0
228128,180.0
228416,180.0
228960,180.0
229488,180.0
230960,180.0
231248,180.0
231968,180.0
232528,180.0
232784,180.0
232880,180.0
233104,180.0
233648,180.0
234528,180.0
235360,180.0
235616,180.0
236128,180.0
236656,180.0
236672,180.0
236864,180.0
237504,180.0
237792,180.0
238128,180.0
239456,180.0
239728,180.0
240688,180.0
240768,180.0
242960,180.0
243936,180.0
244048,180.0
244064,180.0
247200,180.0
248192,180.0
248208,180.0
248416,180.0
249328,180.0
250304,180.0
253696,180.0
253744,180.0
253872,180.0
254208,180.0
254368,180.0
254560,180.0
254608,180.0
254816,180.0
255216,180.0
257424,180.0
257488,180.0
259232,180.0
259264,180.0
259312,180.0
259504,180.0
260560,180.0
263744,180.0
263824,180.0
264960,180.0
265216,180.0
267376,180.0
268176,180.0
268352,180.0
268496,180.0
268832,180.0
269008,180.0
269488,180.0
269760,180.0
269808,180.0
269952,180.0
273312,180.0
273552,180.0
273840,180.0
274688,180.0
274752,180.0
276272,180.0
276576,180.0
277408,180.0
278400,180.0
281536,180.0
282080,180.0
282480,180.0
282864,180.0
284688,180.0
285184,180.0
285312,180.0
285616,180.0
285888,180.0
285936,180.0
286016,180.0
286512,180.0
287488,180.0
287552,180.0
288960,180.0
289728,180.0
289888,180.0
291184,180.0
291440,180.0
291856,180.0
292272,180.0
294368,180.0
296080,180.0
298640,180.0
298736,180.0
298880,180.0
299408,180.0
299904,180.0
300528,180.0
301184,180.0
302336,180.0
304624,180.0
305008,180.0
305184,180.0
305408,180.0
309088,180.0
310064,180.0
310192,180.0
311056,180.0
311728,180.0
312416,180.0
312560,180.0
312592,180.0
312976,180.0
313008,180.0
314736,180.0
316048,180.0
316080,180.0
316272,180.0
316304,180.0
318000,180.0
319328,180.0
320336,180.0
320368,180.0
320544,180.0
320704,180.0
321024,180.0
321920,180.0
322064,180.0
322560,180.0
322672,180.0
323552,180.0
323568,180.0
324448,180.0
325280,180.0
325536,180.0
327168,180.0
328000,180.0
329888,180.0
330464,180.0
330640,180.0
331264,180.0
333072,180.0
336160,180.0
337248,180.0
337472,180.0
337760,180.0
338144,180.0
340496,180.0
340640,180.0
341840,180.0
342624,180.0
344768,180.0
345072,180.0
345584,180.0
346032,180.0
346704,180.0
346832,180.0
346928,180.0
346976,180.0
347472,180.0
347744,180.0
347808,180.0
347968,180.0
348064,180.0
350656,180.0
350672,180.0
350896,180.0
351648,180.0
351712,180.0
352032,180.0
353664,180.0
354816,180.0
355664,180.0
356720,180.0
357584,180.0
358000,180.0
360128,180.0
360384,180.0
360544,180.0
360864,180.0
361152,180.0
361920,180.0
362288,180.0
362432,180.0
362480,180.0
362592,180.0
362752,180.0
363904,180.0
364544,180.0
364592,180.0
365408,180.0
366416,180.0
366864,180.0
366992,180.0
367520,180.0
367968,180.0
368368,180.0
369872,180.0
371632,180.0
371808,180.0
373088,180.0
373632,180.0
374832,180.0
375472,180.0
375680,180.0
375920,180.0
376496,180.0
379648,180.0
380880,180.0
382080,180.0
382784,180.0
382880,180.0
384112,180.0
386512,180.0
386640,180.0
387616,180.0
389296,180.0
389744,180.0
391760,180.0
392240,180.0
392336,180.0
393856,180.0
394656,180.0
396848,180.0
397616,180.0
398064,180.0
399616,180.0
400464,180.0
400672,180.0
401280,180.0
401328,180.0
401376,180.0
402944,180.0
403472,180.0
403696,180.0
403984,180.0
404608,180.0
404640,180.0
404672,180.0
404896,180.0
405104,180.0
405728,180.0
405872,180.0
406224,180.0
406288,180.0
407600,180.0
408192,180.0
408352,180.0
409264,180.0
409440,180.0
409696,180.0
410128,180.0
410528,180.0
410864,180.0
411152,180.0
411664,180.0
413072,180.0
414096,180.0
414400,180.0
414528,180.0
414560,180.0
416176,180.0
416528,180.0
416640,180.0
417328,180.0
417808,180.0
418608,180.0
418832,180.0
418992,180.0
419280,180.0
420112,180.0
422016,180.0
422192,180.0
422960,180.0
427984,180.0
431616,180.0
431952,180.0
432928,180.0
433264,180.0
434192,180.0
434704,180.0
435408,180.0
437792,180.0
438608,180.0
439888,180.0
440000,180.0
440064,180.0
441440,180.0
442240,180.0
442768,180.0
443120,180.0
443984,180.0
446112,180.0
446752,180.0
447360,180.0
447600,180.0
448320,180.0
449536,180.0
450448,180.0
451040,180.0
451408,180.0
451824,180.0
452112,180.0
452240,180.0
453520,180.0
453616,180.0
454528,180.0
454752,180.0
455808,180.0
456032,180.0
456224,180.0
456512,180.0
456832,180.0
457136,180.0
457840,180.0
461744,180.0
461952,180.0
462960,180.0
463136,180.0
463456,180.0
464816,180.0
465920,180.0
466192,180.0
467328,180.0
470544,180.0
470704,180.0
472464,180.0
472608,180.0
475984,180.0
476544,180.0
476832,180.0
477648,180.0
478592,180.0
479312,180.0
481488,180.0
481632,180.0
482448,180.0
482688,180.0
484336,180.0
487200,180.0
487504,180.0
488048,180.0
491072,180.0
491392,180.0
492512,180.0
492560,180.0
492816,180.0
493408,180.0
494448,180.0
495584,180.0
496720,180.0
498064,180.0
498800,180.0
500768,180.0
501968,180.0
502032,180.0
502080,180.0
502480,180.0
503856,180.0
503920,180.0
504400,180.0
505360,180.0
505872,180.0
506768,180.0
506928,180.0
507232,180.0
507408,180.0
507680,180.0
508384,180.0
509056,180.0
509424,180.0
512368,180.0
512656,180.0
513200,180.0
513600,180.0
513792,180.0
513968,180.0
514640,180.0
515728,180.0
515904,180.0
515984,180.0
517952,180.0
518432,180.0
520096,180.0
521040,180.0
521312,180.0
523504,180.0
523792,180.0
524160,180.0
525408,180.0
525824,180.0
526528,180.0
527136,180.0
527424,180.0
528848,180.0
530368,180.0
532336,180.0
533376,180.0
533584,180.0
533648,180.0
534416,180.0
535040,180.0
535488,180.0
536656,180.0
537328,180.0
538096,180.0
539792,180.0
540112,180.0
540512,180.0
540640,180.0
540688,180.0
540752,180.0
541104,180.0
541568,180.0
541824,180.0
543376,180.0
543472,180.0
544368,180.0
547936,180.0
549984,180.0
551072,180.0
552064,180.0
553904,180.0
553920,180.0
554192,180.0
555232,180.0
555904,180.0
556976,180.0
557120,180.0
557152,180.0
558400,180.0
