step,value
2096,-128.7535858154297
2096,-132.80491638183594
2528,-134.94540405273438
3072,-132.80674743652344
4208,-135.76309204101562
4208,-137.47317504882812
4208,-127.29964447021484
4208,-133.3113250732422
4832,-78.20355987548828
6320,-127.59859466552734
6320,25.709556579589844
6368,-85.13389587402344
7200,-118.95698547363281
7344,5.076778888702393
7360,-18.487375259399414
8496,-45.855289459228516
9456,-133.1999969482422
9536,-77.16609954833984
9760,-4.448708534240723
9856,-134.2904510498047
10736,-136.54757690429688
11360,-124.51176452636719
11456,-60.89230728149414
11648,-106.35693359375
12224,-130.5822296142578
12640,-127.36219024658203
12656,-136.14161682128906
14560,-126.45467376708984
14688,-38.68275833129883
14736,-133.2939453125
15024,-126.94285583496094
15584,-131.21580505371094
16160,-133.10675048828125
16288,-57.59610366821289
17072,-54.26167678833008
17824,-129.95358276367188
18000,-24.817420959472656
18176,-57.11246109008789
19088,-146.20506286621094
19184,-131.7560577392578
19200,-134.7755126953125
19840,-72.62307739257812
20704,10.000717163085938
21216,-127.159423828125
21312,-121.19019317626953
22032,-122.09074401855469
22416,-53.68218994140625
23216,-59.13728713989258
24512,-131.34161376953125
25152,39.28942108154297
25328,-133.65484619140625
26032,-124.08930206298828
26224,-131.2702178955078
26624,-126.99964141845703
27776,-131.3770751953125
27920,-47.400001525878906
27920,-123.03389739990234
28000,-116.75091552734375
28128,-130.71804809570312
28304,-30.37297248840332
28320,-137.87245178222656
28832,-102.27006530761719
29248,-17.594406127929688
29488,-125.49964141845703
30032,-132.05606079101562
30240,-138.35157775878906
31248,-17.3260498046875
32800,1.4114186763763428
32928,-49.92222213745117
33440,-27.610034942626953
33952,-137.11766052246094
34256,-134.3734130859375
35968,29.827587127685547
36144,-125.68434143066406
36640,-41.43888854980469
37664,-125.13895416259766
38992,-120.8812484741211
39136,-112.7459487915039
39904,-53.970069885253906
40368,-138.3429412841797
40960,-72.26923370361328
42336,-107.38426971435547
42704,-130.0518035888672
42736,-128.00790405273438
43360,-131.5548553466797
43376,-135.59933471679688
43792,22.533828735351562
44096,-16.911392211914062
44128,13.827027320861816
45712,-74.67626953125
46992,30.49696922302246
48032,147.25405883789062
48320,-143.3768768310547
48544,-2.4673469066619873
48640,-128.74545288085938
48672,-30.652238845825195
50224,-20.323944091796875
50640,-138.97366333007812
51312,-87.39321899414062
52336,-108.52777862548828
52480,-133.99044799804688
53072,-115.49378967285156
53136,-133.93150329589844
53520,-0.5932331085205078
54224,-122.25665283203125
54352,-127.05467987060547
54896,-139.24444580078125
55312,-39.029151916503906
56464,-112.20491790771484
57552,-81.18456268310547
57568,-90.49131774902344
57760,9.144709587097168
58256,-123.32140350341797
58848,-33.485713958740234
59184,-79.16045379638672
60208,-135.95156860351562
60448,-136.9960174560547
61792,-132.75485229492188
62864,-25.625078201293945
63696,-4.241270065307617
64160,-42.18383026123047
64848,-129.94544982910156
65664,-127.13082885742188
66672,-139.6724395751953
67744,-69.3363037109375
68112,-156.11276245117188
68784,-132.61074829101562
69104,-53.915069580078125
69968,-124.34706115722656
70416,-40.83684158325195
70624,-11.987878799438477
70848,-132.69393920898438
71120,-36.84347915649414
71184,-130.77415466308594
71360,-134.89321899414062
72704,-125.73895263671875
73104,-130.82693481445312
73952,-9.34787654876709
74688,-121.4968490600586
74800,-129.0142822265625
75088,-126.28433990478516
76400,-132.28305053710938
76704,-128.37547302246094
76752,-128.19859313964844
77504,-130.4241180419922
78512,-118.80278778076172
78560,-107.06666564941406
78624,-137.82424926757812
79072,-49.52857208251953
79968,8.561111450195312
81424,-41.88045883178711
81712,-58.554054260253906
82528,-66.02791595458984
82848,-136.73255920410156
83840,25.551237106323242
84432,-131.00790405273438
84592,-89.4731216430664
84656,-79.49273681640625
84768,-129.84161376953125
85952,-128.19964599609375
86064,-56.75405502319336
86544,-127.89859008789062
87616,-127.53333282470703
88656,-122.62307739257812
89152,-130.11805725097656
90960,-122.23030090332031
91040,-120.82307434082031
91408,-137.2962188720703
91584,-43.21522521972656
91840,-127.59963989257812
93776,24.244409561157227
94416,-130.74305725097656
94608,-63.07543182373047
95088,-133.10675048828125
96800,-125.20292663574219
96896,-126.99964141845703
97920,-128.9664306640625
98160,-135.8894805908203
98784,-134.29734802246094
99008,-125.85467529296875
99760,-53.29433822631836
99824,-125.44285583496094
100448,-133.29373168945312
100592,-132.90968322753906
100816,-126.98550415039062
101120,-132.3937225341797
102224,-34.13456726074219
102688,-129.99575805664062
103392,-128.90794372558594
104368,-135.23887634277344
104464,-117.56422424316406
104784,-55.672725677490234
104800,-126.00447845458984
106464,-127.89859008789062
106768,-128.43333435058594
107904,-124.20447540283203
108464,-29.68606185913086
108592,-22.992929458618164
109024,-133.8107452392578
109200,21.49245262145996
109392,-55.168853759765625
109728,-123.84092712402344
111264,-54.009090423583984
111296,-135.9939422607422
111504,-127.59963989257812
111696,-79.67427062988281
111904,-110.46666717529297
112800,-127.43082427978516
112896,-127.36219024658203
113648,-69.51580810546875
113792,-134.6993408203125
113840,7.342756271362305
114096,-27.433332443237305
114272,-137.5960235595703
114960,28.183561325073242
115152,-136.69378662109375
115504,-133.63333129882812
115792,-46.890907287597656
116160,-66.13871002197266
116480,-126.80794525146484
117216,-129.8741455078125
118208,-69.6242446899414
118592,-131.80850219726562
119328,-127.83333587646484
119824,-51.52980041503906
120624,-81.73968505859375
120912,12.853846549987793
121440,-127.39791107177734
121504,-5.671428680419922
122624,-135.27279663085938
124672,-160.31468200683594
125216,-69.0248031616211
126032,-123.90447998046875
126880,-5.986440658569336
127792,-131.7535858154297
128144,-131.6770782470703
128320,-136.57647705078125
129232,-138.1219482421875
129840,-145.32186889648438
130016,-128.90789794921875
130416,-21.649669647216797
131424,-125.70447540283203
132720,-132.4084930419922
133136,-128.01805114746094
133520,-128.98260498046875
135136,-132.7860870361328
135456,-76.88143157958984
136368,-63.761863708496094
136752,-133.10675048828125
137168,118.81428527832031
137952,-48.118919372558594
139056,-123.88571166992188
139072,147.30662536621094
139264,-128.89321899414062
139296,-130.69322204589844
139360,-130.82693481445312
140240,-45.984127044677734
140592,-148.9292755126953
140656,-87.66588592529297
140752,-59.30526351928711
141376,-128.7535858154297
141680,-71.63610076904297
142016,61.95433044433594
143088,-84.97003936767578
143264,-123.93894958496094
143264,-137.05714416503906
144512,16.443395614624023
144976,-127.48434448242188
146416,-119.43436431884766
147008,-74.7523193359375
147664,-5.0428571701049805
147760,-129.3333282470703
148048,-128.7560577392578
149232,-32.239715576171875
150208,-91.82523345947266
150896,-139.45413208007812
152272,-60.23393249511719
153088,-131.6741485595703
154000,-133.2939453125
154352,-130.85357666015625
155200,-128.82777404785156
155552,-26.393617630004883
156096,-132.71133422851562
