step,value
2080,130.0
2080,130.0
2304,144.0
2384,149.0
3360,65.0
3472,65.0
4128,131.0
4208,131.0
4400,144.0
5440,209.0
5584,131.0
5856,107.0
6816,148.0
7424,130.0
7584,131.0
7728,131.0
8928,131.0
9440,62.0
9696,131.0
10112,143.0
11040,131.0
11552,131.0
11824,116.0
12864,146.0
13152,131.0
14592,130.0
14880,191.0
14912,316.0
15232,259.0
16016,64.0
16832,50.0
17552,130.0
18352,131.0
18432,99.0
18768,110.0
19520,152.0
19760,131.0
19920,130.0
20576,131.0
21760,131.0
21952,223.0
22256,131.0
22704,51.0
23616,109.0
24064,131.0
25408,131.0
25984,131.0
26416,107.0
27088,104.0
27120,131.0
27296,129.0
28288,131.0
28720,130.0
28720,131.0
28928,131.0
29072,49.0
29264,69.0
30064,83.0
30224,120.0
30336,78.0
30880,131.0
32320,130.0
33408,131.0
34416,130.0
34624,131.0
36592,131.0
37760,130.0
38640,131.0
39920,49.0
40000,129.0
41040,131.0
41200,130.0
42032,131.0
43440,146.0
43584,177.0
43632,47.0
44448,145.0
44544,63.0
45168,130.0
45216,63.0
45488,146.0
46848,131.0
47936,131.0
48768,164.0
49216,131.0
49296,131.0
49408,68.0
49696,131.0
51056,114.0
51504,45.0
51792,130.0
53184,237.0
54272,130.0
54304,183.0
54496,148.0
55088,63.0
55536,147.0
56432,59.0
57168,342.0
58080,130.0
59312,131.0
59584,49.0
59760,131.0
61008,312.0
61296,131.0
62048,46.0
63120,131.0
63984,131.0
64688,65.0
64896,174.0
65584,153.0
66608,242.0
68096,130.0
68368,131.0
68928,131.0
70240,131.0
71120,111.0
71136,131.0
72192,131.0
72352,131.0
73520,68.0
73728,131.0
74320,152.0
75248,131.0
75472,102.0
75728,131.0
76608,47.0
77552,173.0
77696,138.0
78144,130.0
78720,131.0
78928,68.0
79008,186.0
79968,212.0
80832,131.0
82048,163.0
82672,131.0
83392,203.0
83984,130.0
85040,92.0
85248,131.0
85296,130.0
85600,130.0
85920,131.0
87088,131.0
87168,131.0
87408,131.0
89296,149.0
90224,131.0
92656,130.0
92880,131.0
93152,63.0
93296,130.0
93488,131.0
94528,46.0
95728,131.0
95824,131.0
96336,130.0
97552,62.0
98272,131.0
98624,131.0
99296,69.0
99776,320.0
100384,131.0
101056,131.0
101296,131.0
101392,130.0
102224,152.0
102944,176.0
103952,131.0
105552,54.0
105584,151.0
105904,106.0
106448,55.0
107152,248.0
107280,131.0
109248,130.0
109376,130.0
110128,131.0
110288,131.0
110480,68.0
110672,131.0
110912,131.0
112224,130.0
112384,130.0
112512,67.0
112704,42.0
113024,131.0
113648,131.0
113984,443.0
114656,67.0
114688,64.0
115152,66.0
115504,62.0
116208,58.0
116384,107.0
116784,130.0
117184,131.0
117600,130.0
118432,131.0
119104,131.0
119376,131.0
121136,131.0
121744,71.0
121984,227.0
122928,131.0
123056,66.0
123520,131.0
125456,131.0
126208,66.0
127456,130.0
128320,131.0
129216,45.0
129248,131.0
130432,131.0
130656,131.0
130720,131.0
131648,61.0
132544,130.0
133760,131.0
134352,91.0
134704,131.0
136464,131.0
136464,131.0
136912,130.0
137104,48.0
137888,174.0
139392,131.0
139392,207.0
139920,130.0
139984,47.0
140160,131.0
140944,131.0
140976,252.0
141136,70.0
141248,131.0
141664,131.0
142784,131.0
143072,131.0
143792,62.0
143792,105.0
145136,131.0
145728,131.0
147232,188.0
147792,60.0
148144,165.0
148272,63.0
149952,131.0
151040,131.0
152464,130.0
152848,131.0
154672,131.0
155280,200.0
156016,130.0
156608,134.0
157392,131.0
158656,92.0
159840,130.0
160224,96.0
161744,83.0
161744,64.0
162896,123.0
165200,130.0
165264,66.0
166432,66.0
166896,257.0
169088,130.0
169408,53.0
169520,67.0
169552,61.0
169648,130.0
169712,149.0
170000,133.0
170416,62.0
170544,90.0
170768,151.0
170816,131.0
172672,64.0
172784,63.0
173184,172.0
174128,83.0
175296,131.0
177696,131.0
178064,131.0
178096,131.0
178976,131.0
179200,131.0
179248,131.0
179808,131.0
180640,46.0
180656,131.0
180912,175.0
181104,131.0
181872,131.0
182016,60.0
183040,141.0
183488,131.0
184064,131.0
184128,131.0
184672,63.0
186976,131.0
187312,131.0
187712,131.0
188352,131.0
188784,244.0
189024,122.0
189088,131.0
189312,131.0
190000,62.0
190080,61.0
190640,131.0
191152,74.0
191728,67.0
192208,131.0
193552,130.0
194096,147.0
194272,95.0
194320,130.0
196352,93.0
196800,131.0
199216,131.0
199616,131.0
200320,373.0
200896,149.0
201504,118.0
201520,210.0
201520,131.0
202944,131.0
203008,131.0
203888,131.0
204832,212.0
205120,131.0
205728,131.0
205888,96.0
206016,131.0
206880,180.0
207232,131.0
207552,144.0
207824,45.0
207968,166.0
208000,131.0
208096,53.0
209056,131.0
209152,141.0
209200,85.0
209264,202.0
209808,131.0
210192,130.0
210288,130.0
210976,42.0
211648,161.0
212608,298.0
212992,64.0
213616,93.0
213760,131.0
214288,131.0
214704,130.0
215104,131.0
215120,131.0
215728,131.0
216320,130.0
216752,150.0
216816,131.0
217200,130.0
217472,131.0
217536,131.0
217584,93.0
219312,131.0
220992,175.0
221904,130.0
223072,129.0
223152,75.0
223536,131.0
223696,131.0
224272,131.0
224512,101.0
225264,186.0
225424,131.0
225600,82.0
226128,161.0
227296,131.0
227536,131.0
227616,92.0
227920,131.0
228448,130.0
228512,147.0
228800,59.0
229408,131.0
229728,131.0
229904,146.0
230160,131.0
230624,131.0
231344,89.0
231840,131.0
233104,49.0
233376,144.0
233792,65.0
235360,144.0
236656,226.0
236896,131.0
238016,131.0
238240,130.0
239856,184.0
239904,91.0
240112,143.0
240352,131.0
241024,106.0
242400,68.0
242736,131.0
242976,150.0
244032,152.0
244192,63.0
244848,62.0
245344,131.0
245728,105.0
246416,278.0
246528,43.0
247424,62.0
247808,236.0
248640,131.0
249376,48.0
250048,131.0
250128,145.0
251440,224.0
252976,131.0
253888,131.0
254192,151.0
254384,131.0
254784,75.0
254784,55.0
255056,131.0
255072,42.0
255568,130.0
256096,81.0
256448,140.0
257104,192.0
257168,131.0
257248,71.0
258096,61.0
258208,131.0
259120,131.0
259296,131.0
259296,130.0
260320,131.0
261104,131.0
261120,130.0
261232,64.0
261408,131.0
262320,130.0
262544,145.0
264384,130.0
264640,87.0
265456,66.0
265904,130.0
265920,131.0
266640,130.0
266720,129.0
267568,131.0
269536,130.0
269904,46.0
270144,131.0
270944,131.0
273568,130.0
274288,260.0
275360,130.0
276400,131.0
276576,130.0
277040,146.0
277264,131.0
278240,131.0
281744,131.0
282000,131.0
283216,49.0
283936,169.0
284288,131.0
284784,131.0
285088,131.0
286032,130.0
287376,203.0
289616,68.0
290256,134.0
290976,149.0
291008,69.0
291104,70.0
292720,130.0
294048,81.0
294240,254.0
296928,48.0
296928,131.0
297136,209.0
297408,131.0
298320,121.0
299200,128.0
301232,181.0
302528,129.0
302832,207.0
303248,130.0
303584,43.0
303920,131.0
304144,131.0
305536,131.0
306032,152.0
306064,245.0
306448,143.0
306816,131.0
307136,131.0
307648,131.0
308144,131.0
308176,131.0
308416,131.0
309264,152.0
309440,104.0
311664,149.0
311792,158.0
311840,58.0
312336,130.0
312624,183.0
313504,174.0
313600,131.0
314016,285.0
314448,131.0
314672,66.0
314816,131.0
315888,131.0
315904,143.0
315904,144.0
316528,151.0
316928,131.0
316944,131.0
317872,131.0
319056,131.0
319472,130.0
319760,69.0
320016,130.0
321584,131.0
322128,131.0
322752,130.0
323280,219.0
323600,131.0
324416,131.0
324592,101.0
324864,131.0
325392,131.0
326416,131.0
327072,121.0
327792,44.0
328240,91.0
328256,48.0
328560,147.0
329360,130.0
329920,131.0
330368,131.0
330784,131.0
332032,131.0
333520,130.0
333520,131.0
334144,131.0
334192,131.0
336224,262.0
336592,45.0
336656,131.0
337296,131.0
340720,66.0
340960,142.0
341056,131.0
341968,62.0
342544,130.0
342704,130.0
343168,131.0
343680,157.0
345280,131.0
345760,182.0
346320,131.0
349488,66.0
350752,148.0
351376,130.0
351488,154.0
351728,172.0
352256,41.0
353312,66.0
354928,223.0
355600,131.0
356224,131.0
357424,131.0
357504,130.0
357520,131.0
357712,131.0
358576,130.0
359568,76.0
359616,131.0
359808,130.0
361312,146.0
361888,61.0
361936,177.0
362512,183.0
363008,144.0
363104,70.0
363584,130.0
363664,145.0
363792,153.0
363808,49.0
364784,63.0
365120,130.0
366736,131.0
366992,67.0
367920,331.0
368992,130.0
369584,66.0
370112,63.0
370272,131.0
371216,68.0
371728,131.0
373008,142.0
373056,131.0
373056,233.0
373408,143.0
373664,55.0
374496,131.0
374688,131.0
375168,131.0
375776,99.0
375776,131.0
375904,131.0
378240,62.0
380048,131.0
380320,283.0
380880,416.0
381264,131.0
382016,143.0
382080,62.0
382112,149.0
382144,130.0
382576,131.0
383216,130.0
386224,45.0
386336,131.0
386992,208.0
387920,82.0
388336,131.0
388944,63.0
389088,130.0
389216,322.0
389648,131.0
391920,63.0
392496,131.0
394352,130.0
394816,131.0
395536,130.0
396416,67.0
397680,93.0
398224,130.0
398416,130.0
398512,130.0
399904,60.0
399952,131.0
402016,131.0
402144,177.0
402624,130.0
402672,130.0
404736,131.0
405280,93.0
405536,178.0
405536,130.0
405744,131.0
406368,154.0
406832,112.0
407264,73.0
407280,131.0
409616,145.0
409840,44.0
410672,130.0
410704,131.0
413152,131.0
413408,176.0
415696,131.0
417136,195.0
418944,131.0
419248,131.0
420224,68.0
422800,131.0
423440,49.0
423632,131.0
424592,152.0
424720,131.0
424848,61.0
425744,131.0
426064,49.0
427136,131.0
427200,131.0
427792,82.0
427952,131.0
427952,149.0
428176,131.0
428944,61.0
429232,130.0
430288,62.0
431120,131.0
431344,131.0
431968,64.0
432896,130.0
433312,131.0
433440,130.0
435344,131.0
435408,130.0
435536,130.0
435648,130.0
436096,145.0
436672,220.0
436672,49.0
437312,59.0
438704,129.0
438800,153.0
439088,186.0
439184,156.0
440080,62.0
440880,131.0
441328,129.0
442560,130.0
442624,130.0
443040,297.0
443136,276.0
443264,131.0
443440,131.0
443760,309.0
443808,101.0
445248,131.0
445744,143.0
445776,131.0
446160,194.0
447744,64.0
448224,131.0
448320,131.0
448432,141.0
449056,131.0
449312,130.0
449600,131.0
449856,131.0
450048,130.0
450240,131.0
450544,131.0
452368,62.0
454400,131.0
455344,131.0
456400,268.0
456720,93.0
457936,215.0
458352,48.0
458624,131.0
459696,185.0
460208,130.0
461392,131.0
461936,131.0
462112,63.0
462720,156.0
463200,131.0
463200,61.0
463472,84.0
463712,131.0
464048,131.0
464528,131.0
465328,131.0
465680,56.0
465824,131.0
465952,211.0
466176,166.0
466384,131.0
466688,62.0
467360,42.0
467920,130.0
469296,186.0
469408,61.0
469648,98.0
470000,131.0
470080,134.0
470400,131.0
470960,122.0
471456,131.0
471520,131.0
471568,130.0
472176,144.0
472192,131.0
472512,131.0
472848,131.0
472944,131.0
472944,47.0
473232,64.0
473520,159.0
473632,138.0
473680,131.0
475664,131.0
475792,131.0
476432,42.0
476720,130.0
477520,101.0
478096,66.0
480208,131.0
480240,152.0
480576,44.0
481216,131.0
481536,62.0
482080,55.0
482352,131.0
483584,210.0
