step,value
16384,100.0
32768,97.0
49152,95.0
65536,95.0
81920,95.0
98304,94.0
114688,94.0
131072,94.0
147456,93.0
163840,93.0
180224,93.0
196608,93.0
212992,93.0
229376,93.0
245760,93.0
262144,93.0
278528,92.0
294912,92.0
311296,93.0
327680,92.0
344064,92.0
360448,92.0
376832,92.0
393216,93.0
409600,92.0
425984,92.0
442368,92.0
458752,92.0
475136,92.0
491520,92.0
507904,92.0
524288,92.0
540672,92.0
557056,92.0
573440,92.0
589824,92.0
606208,92.0
622592,92.0
638976,92.0
655360,92.0
671744,92.0
688128,92.0
704512,92.0
720896,92.0
737280,92.0
753664,92.0
770048,92.0
786432,92.0
802816,92.0
819200,92.0
835584,92.0
851968,92.0
868352,92.0
884736,92.0
901120,92.0
917504,92.0
933888,92.0
950272,92.0
966656,92.0
983040,92.0
999424,92.0
1015808,92.0
1032192,92.0
1048576,92.0
1064960,91.0
1081344,91.0
1097728,91.0
1114112,91.0
1130496,91.0
1146880,91.0
1163264,91.0
1179648,91.0
1196032,91.0
1212416,91.0
1228800,91.0
1245184,91.0
1261568,91.0
1277952,91.0
1294336,91.0
1310720,91.0
1327104,91.0
1343488,91.0
1359872,91.0
1376256,91.0
1392640,91.0
1409024,91.0
1425408,91.0
1441792,91.0
1458176,91.0
1474560,91.0
1490944,91.0
1507328,91.0
1523712,91.0
1540096,91.0
1556480,91.0
1572864,91.0
1589248,91.0
1605632,91.0
1622016,91.0
1638400,91.0
1654784,91.0
1671168,91.0
1687552,91.0
1703936,91.0
1720320,91.0
1736704,91.0
1753088,91.0
1769472,91.0
1785856,91.0
1802240,91.0
1818624,91.0
1835008,91.0
1851392,91.0
1867776,91.0
1884160,91.0
1900544,91.0
1916928,91.0
1933312,91.0
1949696,91.0
1966080,91.0
1982464,91.0
1998848,91.0
2015232,91.0
2031616,91.0
2048000,91.0
2064384,91.0
2080768,91.0
2097152,91.0
2113536,91.0
2129920,91.0
2146304,91.0
2162688,91.0
2179072,91.0
2195456,91.0
2211840,91.0
2228224,91.0
2244608,91.0
2260992,91.0
2277376,91.0
2293760,91.0
2310144,91.0
2326528,91.0
2342912,91.0
2359296,91.0
2375680,91.0
2392064,91.0
2408448,91.0
2424832,91.0
2441216,91.0
2457600,91.0
2473984,91.0
2490368,91.0
2506752,91.0
2523136,91.0
2539520,91.0
2555904,91.0
2572288,91.0
2588672,91.0
2605056,91.0
2621440,91.0
2637824,91.0
2654208,91.0
2670592,91.0
2686976,91.0
2703360,91.0
2719744,91.0
2736128,91.0
2752512,91.0
2768896,91.0
2785280,91.0
2801664,91.0
2818048,91.0
2834432,91.0
2850816,91.0
2867200,91.0
2883584,91.0
2899968,91.0
2916352,91.0
2932736,91.0
2949120,91.0
2965504,91.0
2981888,91.0
2998272,91.0
3014656,91.0
3031040,91.0
3047424,91.0
3063808,91.0
3080192,91.0
3096576,91.0
3112960,91.0
3129344,91.0
3145728,91.0
3162112,91.0
3178496,91.0
3194880,91.0
3211264,91.0
3227648,91.0
3244032,91.0
3260416,91.0
3276800,91.0
3293184,91.0
3309568,91.0
3325952,91.0
3342336,91.0
3358720,91.0
3375104,91.0
3391488,91.0
3407872,91.0
3424256,91.0
3440640,91.0
3457024,91.0
3473408,91.0
3489792,91.0
3506176,91.0
3522560,91.0
3538944,91.0
3555328,91.0
3571712,91.0
3588096,91.0
3604480,91.0
3620864,91.0
3637248,91.0
3653632,91.0
3670016,91.0
3686400,91.0
3702784,91.0
3719168,91.0
3735552,91.0
3751936,91.0
3768320,91.0
3784704,91.0
3801088,91.0
3817472,92.0
3833856,92.0
3850240,92.0
3866624,92.0
3883008,92.0
3899392,92.0
3915776,92.0
3932160,92.0
3948544,92.0
3964928,92.0
3981312,92.0
3997696,92.0
4014080,92.0
4030464,92.0
4046848,92.0
4063232,92.0
4079616,92.0
4096000,92.0
4112384,92.0
4128768,92.0
4145152,92.0
4161536,92.0
4177920,92.0
4194304,92.0
4210688,92.0
4227072,92.0
4243456,92.0
4259840,92.0
4276224,92.0
4292608,92.0
4308992,92.0
4325376,92.0
4341760,92.0
4358144,93.0
4374528,93.0
4390912,93.0
4407296,93.0
4423680,93.0
4440064,93.0
4456448,93.0
4472832,93.0
4489216,93.0
4505600,93.0
4521984,93.0
4538368,93.0
4554752,93.0
4571136,93.0
4587520,93.0
4603904,93.0
4620288,93.0
4636672,93.0
4653056,93.0
4669440,93.0
4685824,93.0
4702208,93.0
4718592,93.0
4734976,93.0
4751360,93.0
4767744,93.0
4784128,93.0
4800512,93.0
4816896,93.0
4833280,93.0
4849664,93.0
4866048,93.0
4882432,93.0
4898816,93.0
4915200,93.0
4931584,94.0
4947968,94.0
4964352,94.0
4980736,94.0
4997120,94.0
5013504,94.0
5029888,94.0
5046272,94.0
5062656,94.0
5079040,94.0
5095424,94.0
5111808,94.0
5128192,94.0
5144576,94.0
5160960,94.0
5177344,94.0
5193728,94.0
5210112,94.0
5226496,94.0
5242880,94.0
5259264,94.0
5275648,94.0
5292032,94.0
5308416,94.0
5324800,94.0
5341184,94.0
5357568,94.0
5373952,94.0
5390336,94.0
5406720,94.0
5423104,94.0
5439488,94.0
5455872,94.0
5472256,94.0
5488640,94.0
5505024,94.0
5521408,94.0
5537792,94.0
5554176,94.0
5570560,94.0
5586944,94.0
5603328,94.0
5619712,94.0
5636096,94.0
5652480,94.0
5668864,94.0
5685248,94.0
5701632,94.0
5718016,95.0
5734400,95.0
5750784,95.0
5767168,95.0
5783552,95.0
