step,value
16384,-0.00019935159070882946
32768,-0.00026731917751021683
49152,-0.0013622753322124481
65536,-0.003303423523902893
81920,-0.005401468835771084
98304,-0.0041128951124846935
114688,0.0013190816389396787
131072,1.944652240126743e-06
147456,1.4315260159492027e-06
163840,-0.0011987562756985426
180224,-0.00392313813790679
196608,0.0006221209769137204
212992,-0.0009788821917027235
229376,0.002135341987013817
245760,-0.00037658619112335145
262144,0.00014048622688278556
278528,-0.0032648909837007523
294912,-0.0009724785340949893
311296,-0.0015171330887824297
327680,-0.00022817762510385364
344064,-0.0026712699327617884
360448,-0.0003696406784001738
376832,-0.0003078476875089109
393216,-0.00017597478290554136
409600,-0.00032673770328983665
425984,-0.002098308876156807
442368,-0.0012177082244306803
458752,-0.002061356557533145
475136,-0.0023769927211105824
491520,-0.00042344737448729575
507904,-0.00018111048848368227
524288,-0.0011405007680878043
540672,-0.001174686010926962
557056,0.005285235121846199
573440,-0.0009696923661977053
589824,-0.00043389186612330377
606208,-0.0007758917054161429
622592,0.0017370838904753327
638976,-0.0005142542067915201
655360,-0.0017311747651547194
671744,-0.000844382680952549
688128,-0.0011175398249179125
704512,-0.0035785355139523745
720896,-0.0012217008043080568
737280,-0.0005842114333063364
753664,-0.00108935812022537
770048,-0.0017299008322879672
786432,0.0005039908573962748
802816,-0.0006717422511428595
819200,-0.0010397093137726188
835584,-0.0012862096773460507
851968,-0.0019888472743332386
868352,-0.0001714674144750461
884736,-0.00019550754223018885
901120,-0.0002254675782751292
917504,-0.004139859229326248
933888,-0.0008501381962560117
950272,-0.0014688213123008609
966656,0.00035826783278025687
983040,-9.816238889470696e-05
999424,-0.0011117331450805068
1015808,-0.00345092685893178
1032192,-0.002181005198508501
1048576,-0.0006210613646544516
1064960,0.00036648137029260397
1081344,0.0005021540564484894
1097728,-0.0017546562012284994
1114112,-0.00047425611410290003
1130496,-0.0006919807638041675
1146880,-0.0009806574089452624
1163264,-0.0003539059835020453
1179648,-0.0002077364915749058
1196032,-0.006359482649713755
1212416,-0.0007625144207850099
1228800,-0.0003330409526824951
1245184,-0.0034510763362050056
1261568,-0.001137806219048798
1277952,0.00010091379954246804
1294336,-0.0011624939506873488
1310720,-0.0020667563658207655
1327104,-0.00015025203174445778
1343488,0.00036778944195248187
1359872,-0.0012551294639706612
1376256,-0.0017545341979712248
1392640,-0.005769459996372461
1409024,-0.0007059173658490181
1425408,-0.001348421210423112
1441792,-0.0015695799374952912
1458176,-0.0007801127503626049
1474560,-0.00038708935608156025
1490944,0.00020204093016218394
1507328,-0.0018197548342868686
1523712,-0.0006025379989296198
1540096,-0.003067208221182227
1556480,-0.0015746777644380927
1572864,-0.001709677162580192
1589248,-0.0016315802931785583
1605632,3.715110142366029e-05
1622016,-0.0005268901586532593
1638400,-0.003818183671683073
1654784,-0.007668172009289265
1671168,-0.003614008892327547
1687552,-0.001868821564130485
1703936,-0.0019491685088723898
1720320,-0.0014540987322106957
1736704,-0.0022347616031765938
1753088,-0.0004318083811085671
1769472,-0.0002330641873413697
1785856,-0.0017395841423422098
1802240,0.0014160769060254097
1818624,-0.0020747114904224873
1835008,-0.0037499081809073687
