/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.0_bud_180_21-07-13-18-20/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1056 | return=23.10 | steps=66 | track=941b25146fc289426df1963ec2e8af88
global_step=2080 | return=-134.84 | steps=130 | track=966a432eda6b6290667153cdec755df6
global_step=2080 | return=-132.78 | steps=130 | track=f815abc4e94a0b2b85842faa4a4850d7
global_step=2080 | return=-129.52 | steps=130 | track=f031f4b8fa12d416f122f9ba36c88080
global_step=2080 | return=-133.74 | steps=130 | track=0fdd8c91affd9a022f08d90b7f113748
global_step=2080 | return=-135.73 | steps=130 | track=52a8558e277664c5e7fb1b0aa75e21f4
global_step=2080 | return=-137.25 | steps=130 | track=ae1dd1e3f3535a001696504a7323c13d
global_step=2096 | return=-126.36 | steps=131 | track=f46b989e98a06f0cb1d5ea089bb18844
global_step=2096 | return=-120.40 | steps=131 | track=734f370404aabd3cc4e084fb341db42c
global_step=2096 | return=-129.39 | steps=131 | track=0299bbc920691c4be0489d19a3880b42
global_step=2096 | return=-126.36 | steps=131 | track=82c2eba06698007fb8d8667e90c4dc00
global_step=2096 | return=-133.64 | steps=131 | track=75a8afe6ef46f711b7a508ab77c1a09e
global_step=2096 | return=-126.81 | steps=131 | track=493fb5c31e3963f9382c0cc4d2a3f5ce
global_step=2096 | return=-124.72 | steps=131 | track=bccb9a40144a222b351eb29f3c71f23d
global_step=2432 | return=-52.96 | steps=152 | track=204156a537ca0b8e6975ef14a38d2160
global_step=2432 | return=-44.45 | steps=152 | track=82100ac03954c5323907a450b06125b0
global_step=2880 | return=296.16 | steps=113 | track=dfd90c7288366169bf3eb52263e46d87
global_step=3072 | return=-14.28 | steps=60 | track=0a1187991ee5b611efbd72413ba222ad
global_step=3152 | return=-4.17 | steps=65 | track=6e554a8e341465c7145812577c3c53fc
global_step=3488 | return=1.36 | steps=65 | track=c9185605c46ce21b059b3af1a7e6981e
global_step=3504 | return=-15.54 | steps=88 | track=4723f6ded657bc69d55bab656ce8afa6
global_step=3568 | return=-53.98 | steps=92 | track=2d0e9bde5ca36db2dfe2c3f53b76d00b
global_step=4176 | return=-132.59 | steps=130 | track=9cc629729ee661126950cd4c87a28364
global_step=4192 | return=-134.87 | steps=131 | track=fe40916e3c84fcd83acb9dc334971e36
global_step=4192 | return=-127.51 | steps=130 | track=e21fc888a836dd6a4b3bcb56ba1c7ffb
global_step=4192 | return=-130.01 | steps=131 | track=25a2c75c5fce766f95612df03822a79f
global_step=4192 | return=-122.50 | steps=131 | track=6f89f556571218c3057ab01a9a6fa92c
global_step=4208 | return=-117.30 | steps=131 | track=e7b88413af2eaf077a931149558c5a6f
global_step=4208 | return=-131.01 | steps=131 | track=9eacad695f844a1adb538d642f7ff424
global_step=4384 | return=-58.60 | steps=93 | track=b5731102e5ce23e9df7f9cde559285a4
global_step=4464 | return=-41.12 | steps=147 | track=242bc6378c336e5c82e6f0672aaf3cfe
global_step=4656 | return=33.26 | steps=71 | track=245898199c9f2525e3cbccadb23f78b6
global_step=4912 | return=-1.52 | steps=154 | track=3f7645231a99d71ce1c5a2b22831df41
global_step=5168 | return=-100.29 | steps=191 | track=8608afb8321953ad72f2d85305c55a90
global_step=5184 | return=-123.01 | steps=131 | track=433f4e831fe36a238a9ff592cb73f471
global_step=5232 | return=-3.58 | steps=64 | track=9eba2e6185d74ce9d94d115ae74b6e74
global_step=5264 | return=-127.03 | steps=131 | track=037009d21592e9989942ff8cb5547bba
global_step=5280 | return=15.58 | steps=66 | track=d7914bc3ce1f4756799c2c59cd541df6
global_step=5680 | return=-126.13 | steps=131 | track=a5f183896f71f08a08de95efeb93ef17
global_step=5904 | return=-38.04 | steps=150 | track=eccf820bd76e4a02ad9cdf56e5b62e73
global_step=6288 | return=-5.38 | steps=62 | track=9d5d3d0f65c4482116a2c93a3b80797e
