/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.1_bud_180_21-07-13-18-21/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=2.69 | steps=61 | track=5e2d3abe0518da11278037338ed5b895
global_step=1152 | return=19.61 | steps=72 | track=50cad0da3c936d89a0c0e2627734b446
global_step=2080 | return=-133.70 | steps=130 | track=2dd99265d3b787f62482389668787de2
global_step=2080 | return=-137.39 | steps=130 | track=e8380003a98bbd7fff70c30318882fba
global_step=2080 | return=-127.68 | steps=130 | track=f0e2bbcb00767ce7d640b47717da5b35
global_step=2080 | return=-132.10 | steps=130 | track=a702822a05fb93745cb55a5480d1d5b8
global_step=2096 | return=-121.57 | steps=131 | track=fa4c7f1263930a5e73bf374c650066f8
global_step=2096 | return=-134.76 | steps=131 | track=7d1caa7bf9f9b9e580dd14b70608d665
global_step=2096 | return=-129.77 | steps=131 | track=474346e240036ffb515ce87c26a142f5
global_step=2096 | return=-122.89 | steps=131 | track=bac047b37f04bb1be367a4cce974995b
global_step=2096 | return=-133.56 | steps=131 | track=d8a37817401725a7c1870b9653ef0816
global_step=2096 | return=-130.59 | steps=131 | track=71ea470df129a363bcfc5d44bb58df15
global_step=2096 | return=-130.09 | steps=131 | track=9cfbb9620030a6f8789656037123f0a6
global_step=2096 | return=47.80 | steps=58 | track=123ef85fa0f19ff7afb0d33124863442
global_step=2304 | return=-134.56 | steps=144 | track=49683061be7bfb5f88175fbda3afb681
global_step=2352 | return=-28.26 | steps=147 | track=883b2575b6df386be07b985a96e83309
global_step=2368 | return=-45.48 | steps=148 | track=e3af5f467d649a5b3d99a0e7955e3a7f
global_step=3088 | return=-129.35 | steps=131 | track=3871022b4d05c7a4f77ee8fee6c13f69
global_step=3136 | return=15.70 | steps=65 | track=ae827f697b04e5ae9258fb11b04cc9e3
global_step=3344 | return=-3.35 | steps=64 | track=9174192858ee22109b215ef1fbc4b618
global_step=4192 | return=-138.97 | steps=130 | track=f7a7f59d8364a45ce512e05596f5b1fa
global_step=4192 | return=-136.65 | steps=130 | track=78746dd9bf4d46743f18d2454d6f94b6
