/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.3_bud_180_21-07-13-22-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=960 | return=-16.36 | steps=60 | track=582507c2076ff0994785f52a3651d234
global_step=1040 | return=7.57 | steps=65 | track=5b4cddd11a4c9bf43e910344c99fe6bb
global_step=2080 | return=-134.30 | steps=130 | track=1d199c7e0a6f94bb2ced911c5c3290d0
global_step=2096 | return=-119.80 | steps=131 | track=b8f62e95d95e6ef3c3d82a7030a1d3d1
global_step=2096 | return=-136.34 | steps=131 | track=312ec4ecfaa6389e7fb834c77336e162
global_step=2096 | return=-128.75 | steps=131 | track=6726f740ebd954d98b8cb7c4e1f73b50
global_step=2096 | return=-131.59 | steps=131 | track=b47a667ac04b0c5fbbac9895c6cc2986
global_step=2096 | return=-132.80 | steps=131 | track=5b9a1bb4481ffd4ffa872afdbbde2782
global_step=2096 | return=-139.71 | steps=131 | track=e3fcc1c3457314bb112d04c3c4fe290c
global_step=2096 | return=-136.16 | steps=131 | track=dcd68042ca26ecc0cadd37926b543c0d
global_step=2096 | return=-133.39 | steps=131 | track=123f1b564df42da3b5608767809fffed
global_step=2096 | return=-126.61 | steps=131 | track=60a2a0015b5131de17049791a34b6a53
global_step=2096 | return=-135.98 | steps=131 | track=c5b55d3d9368ef35429f5592ad3d581b
global_step=2096 | return=-129.73 | steps=131 | track=3f07d81149679bd71059ea8417817800
global_step=2096 | return=-132.81 | steps=131 | track=48f2c02985cab2983e07d5555010bb6e
global_step=2528 | return=-134.95 | steps=158 | track=f7939645de954e305fb48db52c148005
global_step=3072 | return=-132.81 | steps=131 | track=843953f9e841924c92224dceab4a8122
global_step=3104 | return=-19.71 | steps=62 | track=cca006ebcb2b630d4576686a87ffbed5
global_step=3152 | return=-125.33 | steps=131 | track=f229e81e0f36aaf5493db5f4f87b6207
global_step=4192 | return=-135.31 | steps=131 | track=2d6a27c22118fc5a09d29afbc4dbbf89
global_step=4208 | return=-138.67 | steps=131 | track=a9650f4f83a3e6a6abae9995f610139a
global_step=4208 | return=-135.76 | steps=131 | track=5d625fbedaff40b6cdd897c373446f95
