/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_21-07-13-22-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=-4.23 | steps=61 | track=57285e2ccce963f6fad5b7611f91d454
global_step=992 | return=-7.13 | steps=62 | track=9f0c1bc2f5491070c85737d169d5c00f
global_step=1024 | return=35.42 | steps=64 | track=c70ad5bc9426b2ef29b1361a270f33f2
global_step=1104 | return=23.96 | steps=69 | track=99a4103f541403140aa073a98acc5f8b
global_step=2016 | return=8.33 | steps=64 | track=6b1af96f334559401b2e9d68a9c8857f
global_step=2080 | return=-145.20 | steps=130 | track=52c2db4b378c1697574fd5c4ba29c974
global_step=2080 | return=-133.42 | steps=130 | track=1e4a3a16d94adc266204915a958d485b
global_step=2080 | return=-142.29 | steps=130 | track=77750155a3e2bef30c4f73d0278b75cf
global_step=2080 | return=-145.60 | steps=130 | track=9868496a8166262e365a9b716835a65b
global_step=2096 | return=-128.58 | steps=131 | track=d9fd5cd8de77e4307ffe3a43766731c6
global_step=2096 | return=-137.81 | steps=131 | track=1c40bfd496193b54cf2d30a26966bbf1
global_step=2096 | return=-137.48 | steps=131 | track=d5b46814f27bdbd3fd7a69a3c767d255
global_step=2096 | return=-137.69 | steps=131 | track=e1a11949fcca49e4c98e1bc8bf7c0287
global_step=2096 | return=-133.00 | steps=131 | track=d7ace6c01d4cd98d2b0634e8e60617a6
global_step=2096 | return=-138.16 | steps=131 | track=ab31dd915e9a647b4e27fcff14baa40f
global_step=2304 | return=-84.29 | steps=144 | track=f08f17a65f7dd95f49dcab608e759c32
global_step=2384 | return=-73.85 | steps=149 | track=ffd08f60e3640e4b972bcdb5e0be6a09
global_step=2416 | return=-16.69 | steps=81 | track=982731ec8dcc62676d87e90aaae0d5a6
global_step=3136 | return=-135.80 | steps=131 | track=71316fe038c17feb58f4441e909627b3
global_step=3136 | return=-100.77 | steps=133 | track=d3942cad852f54a1818f872077996bb6
global_step=3216 | return=36.41 | steps=69 | track=eccd816aa5549d79975a22d786452756
global_step=3360 | return=24.00 | steps=65 | track=65d0236d574281ff589cd8bd150d3a5d
