/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_22-07-13-02-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=1056 | return=4.07 | steps=66 | track=f1abd3afe0645f88fa1eee33fbd0e34a
global_step=1088 | return=20.07 | steps=68 | track=c84ae6f76c30de4d20032baf32bf8f0c
global_step=1264 | return=24.59 | steps=79 | track=7b4ee86e9212dba34864ee0c6f818cdb
global_step=2080 | return=-156.84 | steps=130 | track=ae3adc8f0383d5a96b31aba627a90ae1
global_step=2096 | return=-169.75 | steps=131 | track=312ce05da1184fe27a48cb1531f50173
global_step=2096 | return=-134.50 | steps=131 | track=b01284eee3b2fbd52aaab4e54b9db867
global_step=2096 | return=-148.14 | steps=131 | track=fe2bb272895fa0d737037780bcc829ff
global_step=2096 | return=-135.96 | steps=131 | track=9a5bd1e8c9ee6720f2dbc91150e82c27
global_step=2096 | return=-156.29 | steps=131 | track=7a9839b7ac93893d57ab4280af21e4fb
global_step=2096 | return=-151.39 | steps=131 | track=c9614f82041c526d01cdd831982bcd12
global_step=2096 | return=-143.99 | steps=131 | track=1381e950ae64d959b5d15f40cdd220df
global_step=2096 | return=-157.61 | steps=131 | track=6f0b92c113f674ddb7091daba3bc2b54
global_step=2096 | return=-156.20 | steps=131 | track=1c00f56c96dae051e3733a530337cd8a
global_step=2096 | return=-153.97 | steps=131 | track=9a8a076fbbd23e1fdab2535a32bc2e29
global_step=2096 | return=-136.21 | steps=131 | track=426fcf305450bd783bd2d6729833fb88
global_step=3024 | return=-152.32 | steps=189 | track=95cf501217625dacd0ae85761d175107
global_step=3136 | return=-8.81 | steps=64 | track=9b8ead38fce9d514a98ec35bc34a4bfc
global_step=3152 | return=6.34 | steps=65 | track=45d2f35d28a9ffef106e096b9de3c5ab
global_step=3168 | return=-139.07 | steps=131 | track=baebb5a341ecb6cc263005348af6d2a7
global_step=3200 | return=-148.57 | steps=131 | track=3cd096bae6dd2a84c4a4db1fe56fe4da
global_step=3456 | return=-147.87 | steps=136 | track=ab1418a3de7786a2a7a1f07f59e4a9e8
global_step=3680 | return=-62.32 | steps=98 | track=97a0f843a4a6e6ab753d37b09dec115f
global_step=4176 | return=-147.62 | steps=130 | track=61dfceee44067d831ccc46658da373a2
global_step=4192 | return=-165.09 | steps=130 | track=a2efe7429c7e90942e9e1fe4827bf46b
global_step=4208 | return=-158.20 | steps=131 | track=8d1a10f350860bd1143c9b2df7d10191
global_step=4208 | return=-139.38 | steps=131 | track=c2ee6f0aef60bec4be109452e932d42e
global_step=4208 | return=-147.05 | steps=131 | track=b95892a72d8d308c4e0cca824da877b3
global_step=4208 | return=-141.20 | steps=131 | track=65fa9dc89263291c2d2eab881ffba34a
global_step=4208 | return=-152.21 | steps=131 | track=ff8d92d4c196d1654f2745c809b54f34
global_step=4256 | return=3.00 | steps=65 | track=83cbe0eea6723a3a39353b71059b25f8
global_step=4400 | return=-94.56 | steps=143 | track=62ae8962949819a4c30aa51611e95ae6
global_step=4544 | return=-91.57 | steps=152 | track=03c3b6a9833ed95f1dd24c19d83d6a81
global_step=5136 | return=-142.87 | steps=131 | track=40cdd03bc04198f08a3c49b9f6df6354
global_step=5200 | return=-3.08 | steps=61 | track=01c406f8396fecbb14f2342fc971651c
global_step=5248 | return=-11.29 | steps=64 | track=ddbeebb71292d6fe603449f02150a84a
global_step=5248 | return=-142.43 | steps=131 | track=290c6f08eff04ec10662fdaa1ba544df
global_step=5248 | return=11.29 | steps=64 | track=02d3141c321e033052de1a51bcfcb4eb
global_step=5248 | return=-148.59 | steps=130 | track=fed40306c490fc69a70666b32a8d4f18
global_step=5280 | return=-158.56 | steps=131 | track=9f173b84e4a8aeeb83b1faa424595b2e
global_step=5776 | return=-167.77 | steps=130 | track=16599a78b3b61285d08b05a8b6206c26
global_step=6272 | return=-152.44 | steps=130 | track=a0d43474da6cc5ddbf5fdcb95516cf16
global_step=6304 | return=-145.87 | steps=131 | track=a7114cd8bffc4952869cf68f69106790
global_step=6304 | return=-167.58 | steps=177 | track=862b2d2a74f136235fccaf810f482ed4
global_step=6320 | return=-142.66 | steps=131 | track=6f145f41a567462d50b460756c9bbbe8
global_step=6320 | return=-149.16 | steps=131 | track=63350e31f2539eca5b9015cff077f543
global_step=6368 | return=-135.24 | steps=131 | track=081eef8843a54e4c292af88070860227
global_step=6496 | return=-146.38 | steps=130 | track=3e6b43582ab550a036ffd8c5b213fbb8
global_step=6976 | return=-88.04 | steps=151 | track=8c99b472319918679996924953f436c8
global_step=7248 | return=-154.54 | steps=131 | track=8a4fe22e6e6f3c882485b442f9c842bb
global_step=7312 | return=-149.81 | steps=131 | track=92ee188c0f798bb6b859f54fd777c103
global_step=7360 | return=-148.35 | steps=131 | track=3c59d7b0c4aa5162fe32289ae3ad0b68
global_step=7360 | return=-148.81 | steps=131 | track=e11a402cc6abc7625be6dbb58c953de3
global_step=7360 | return=-145.93 | steps=131 | track=282aa7db58ddf714c17fceff707b4fa9
global_step=7360 | return=-158.93 | steps=131 | track=260036817effc36e924cec41af31f0d4
global_step=7440 | return=-107.75 | steps=69 | track=c9a574e879e84a2e0859b2a7342fdaea
global_step=7648 | return=-92.88 | steps=147 | track=e296617c1acf89e39274ea0d22ca773a
global_step=7888 | return=-126.00 | steps=131 | track=580d2691f00f3b83b1c865c21b272747
global_step=8384 | return=-150.55 | steps=131 | track=ea89f5dacf5cca49f72042644e14bbca
global_step=8416 | return=-143.00 | steps=131 | track=9abb67f3d72159832e409b9d7d1be5af
global_step=8416 | return=-146.48 | steps=131 | track=7b886e3eb7c2b1f38591f8995599928e
global_step=8432 | return=-149.57 | steps=131 | track=98ef411428530a4128dda1cf8adcafa3
global_step=8464 | return=-165.57 | steps=130 | track=e3ed7738f617ea03fca769c5c33cc526
global_step=8528 | return=-16.18 | steps=72 | track=b9dac8dd262d2834ae6ea416af3ef28a
global_step=8608 | return=-149.81 | steps=131 | track=92583ab6229cddd1cb1106b48bcabbbd
global_step=9008 | return=19.39 | steps=69 | track=64ad59fce5bc9bf5ae7d380cf8d0cb81
global_step=9088 | return=-169.40 | steps=131 | track=a2598b47256f05e7f8e2156d8e4d44ff
global_step=9312 | return=-31.63 | steps=55 | track=a9ecbdd6cb12d7392662dadc587c9053
global_step=9360 | return=-151.60 | steps=131 | track=103dccfdd228c090e3668be18d8e5eb7
global_step=9408 | return=-161.38 | steps=130 | track=2a632a5344c222b198d34ea267d71ef9
global_step=9472 | return=-154.28 | steps=131 | track=d153fbcad7253a176005c066dc17e3bd
global_step=9472 | return=-159.13 | steps=131 | track=1f237879026a3179bf2a65c1036ff56a
global_step=9472 | return=-153.44 | steps=131 | track=a746662fda3f804ce489fcdc071ebf51
global_step=9552 | return=-165.47 | steps=131 | track=3ae697ec4848dd1e4cf3c32986628566
global_step=10064 | return=-70.94 | steps=101 | track=976c349c2d63cee2fb49bbce5bbeb428
global_step=10080 | return=-31.00 | steps=61 | track=ebb6df0a192fb83009c885cd8c2d301d
global_step=10432 | return=4.97 | steps=173 | track=25d2c91ed0c07135615328ad48afe4a0
global_step=10496 | return=-148.61 | steps=131 | track=0ddd0ef1c78c0b1b94e30399d89d11c1
global_step=10528 | return=-138.69 | steps=131 | track=e2c992cd548e43480109a129a2a9c6f2
global_step=10544 | return=-12.32 | steps=66 | track=4f4c3874c13c35589d67ffee6ab8d3ae
global_step=10560 | return=-161.95 | steps=130 | track=12c3ffe2406dce2b889d50d53cd74b86
global_step=10928 | return=-67.13 | steps=149 | track=89d47f62637c70840803507baddd51a2
global_step=11120 | return=-153.97 | steps=131 | track=9cba4e325ce4ef29b293d4f3e7e1a2de
global_step=11344 | return=23.19 | steps=170 | track=6dd5b051fe7063ddb6b7b8d2b1f6917c
global_step=11424 | return=-152.81 | steps=131 | track=d248e6934e5e0947f1acaed09b9da541
global_step=11504 | return=-145.56 | steps=130 | track=92cb074ba02d2a8827bf09691ad4a823
