/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.5_bud_180_22-07-13-02-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=-34.81 | steps=61 | track=389d4f7bd4786a6e5a67bd6750349539
global_step=1904 | return=-60.28 | steps=119 | track=1448f94aac1dbfbe1267539923097d86
global_step=2080 | return=-154.08 | steps=130 | track=e584349e9fa86e17dd1092b4610e5b8d
global_step=2080 | return=-156.40 | steps=130 | track=af898e58a326ab98ccaec521cacadd6f
global_step=2096 | return=-140.96 | steps=131 | track=ccc422d57bf84a9c21d85cecb3faf9ea
global_step=2096 | return=-147.93 | steps=131 | track=6ba9d5b4046ff90ce98a7d939eac7e7e
global_step=2096 | return=-164.66 | steps=131 | track=a70ed313377ee1d37997c4f0783a11bd
global_step=2096 | return=-160.04 | steps=131 | track=11000383b0a295638a1281cf9dbf3b63
global_step=2096 | return=-148.26 | steps=131 | track=7f268f1c19a8cf67a0228ef7a165628f
global_step=2096 | return=-158.05 | steps=131 | track=04915df13b99b70bc6ae3014cd66636a
global_step=2096 | return=-161.13 | steps=131 | track=1ef149be2129e8da7da4aa364b2019a7
global_step=2096 | return=-153.26 | steps=131 | track=3ea40ff96d55b5e91e59860bedf427c5
global_step=2096 | return=-145.26 | steps=131 | track=a39097a248c27b2ed456813e85d4439c
global_step=2096 | return=-152.51 | steps=131 | track=f33418d1bcc169be8ebe89d4664147e1
global_step=2096 | return=-148.46 | steps=131 | track=2b15d7ac69663f5dad94acf21056ca52
global_step=2416 | return=-39.52 | steps=151 | track=3f9646af1269e76120b80fca59a31302
global_step=2880 | return=-91.10 | steps=48 | track=9d89988b16fe46a01d21ed3b9194bfb0
global_step=3168 | return=17.78 | steps=66 | track=3c442aff418eb8f9b113fc7619bb7bc3
global_step=3760 | return=-160.97 | steps=173 | track=aaa4e073f6609931e43a2fc7c29555bd
global_step=3936 | return=19.11 | steps=65 | track=315f29ea4e439200f782748907a60fe5
global_step=4016 | return=-139.08 | steps=131 | track=bc7f3826639105920504537838b49ffa
global_step=4192 | return=-163.55 | steps=130 | track=a1234135df1bab287d3f37c034993fd4
global_step=4192 | return=-157.19 | steps=131 | track=a4e2b5b01b775f2410f82f48a4b3078a
global_step=4192 | return=-149.23 | steps=131 | track=c19281360e25e841ceaad3bc196f23df
global_step=4208 | return=-164.19 | steps=131 | track=62d4d67893ff9c35f2b73a4b5e17c97d
global_step=4208 | return=-143.44 | steps=131 | track=975b2ed006f7f3b8e3185490d4a859c4
global_step=4208 | return=-168.64 | steps=131 | track=ec35a931dabb49d4d7889337087b0895
global_step=4208 | return=-149.23 | steps=131 | track=b730c9a873522eea097a43a7f0088598
global_step=4208 | return=-150.76 | steps=131 | track=035978aa82727a3131fb06977972afb9
global_step=4208 | return=-151.13 | steps=131 | track=ec9b1e01bcceb0aff60d937a7d131072
global_step=4208 | return=-147.22 | steps=131 | track=06be0ab801b9bc4bea34f35f693cfce9
global_step=4544 | return=-102.43 | steps=152 | track=31cfc901bbcf0d9f0bc5db241ece2020
global_step=4768 | return=-85.41 | steps=146 | track=0dffcc4ceb776841beba4f3899f463b0
global_step=4848 | return=-41.64 | steps=67 | track=74c514bc0da0705df6eb54988cfd290c
global_step=5280 | return=-146.48 | steps=131 | track=7ab190d68b7310ae1fbaf73843f3a699
global_step=5376 | return=-57.43 | steps=72 | track=27b9d189c1113e62ebfbf5df9ca75b4b
global_step=5520 | return=9.73 | steps=81 | track=55ff26922f7ac65c2f19545900e13b38
