/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_22-07-19-18-34/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=976 | return=-25.06 | steps=61 | track=d967b4f995161c064693252839995f6a
global_step=1008 | return=-11.69 | steps=63 | track=f7f9745d017a43ad5b0168687c84ef15
global_step=1088 | return=6.30 | steps=68 | track=b4979cc37db0143922b5e17df4d9f8a9
global_step=2080 | return=-143.79 | steps=130 | track=79d2b6370e6b8481a96cdf17fb737d4b
global_step=2080 | return=-142.53 | steps=130 | track=30f2200ecc6b09d91594f1d1dadfaa3f
global_step=2080 | return=-139.04 | steps=130 | track=fe334e638d4a0ca7d30ad68dfc764f29
global_step=2096 | return=-145.99 | steps=131 | track=e7b24611249c260d4f3bce4842cf1f68
global_step=2096 | return=-143.96 | steps=131 | track=91b555106a334bea6d2ed7844b287c27
global_step=2096 | return=-137.80 | steps=131 | track=9d627a7d498a875e59b30d3f32130979
global_step=2096 | return=-150.40 | steps=131 | track=ebbab4b56c49f4851db70ff50fe9cbea
global_step=2096 | return=-145.39 | steps=131 | track=d91faeef88c245b374d6d96870fb23f3
global_step=2096 | return=-137.20 | steps=131 | track=7b0a9d85a85043ed6180919f7024b3b6
global_step=2096 | return=-127.12 | steps=131 | track=2983a9701c73ff9ba74b3792ce6c10ae
global_step=2096 | return=-135.87 | steps=131 | track=7f9c76bd1f6ae63288c315441cf00e3a
global_step=2096 | return=-142.69 | steps=131 | track=e834f91b0b2edb01d09c9ee33baf2ee1
global_step=2288 | return=-84.31 | steps=143 | track=cd5f0d5bf6e99134193bcade2ca24f99
global_step=2800 | return=-100.68 | steps=113 | track=875b21a43eb910b921b398f96734a922
global_step=3168 | return=22.56 | steps=66 | track=8fa59f1e0fcadcea96f0a888a4e7337a
global_step=3200 | return=-115.03 | steps=131 | track=37115e0ee74ef5d8ea20ad7ef3ecf39b
global_step=4192 | return=-138.25 | steps=130 | track=4cb8ef3a6cf5a64baf96165009b4a6c9
global_step=4192 | return=-135.30 | steps=131 | track=275c7982dd44a0485c360a5b67f405fe
global_step=4192 | return=-140.18 | steps=131 | track=4a1920aaf3353ca0ce1b675e3a0b4446
global_step=4208 | return=-139.10 | steps=131 | track=81e2619a9d83bd48248e8e86645c48b4
global_step=4208 | return=-154.47 | steps=131 | track=ac4f154967d8b0c6e85b1ff5c4f82054
global_step=4208 | return=-152.41 | steps=131 | track=6526a292e1f79c1171a4d64a101abcbc
global_step=4208 | return=-148.41 | steps=131 | track=5ac99ebf0616f2b0cb6d24cb098741ed
global_step=4208 | return=-144.41 | steps=131 | track=fbf7102cacba559291c7a2016fcc4ad4
global_step=4208 | return=-140.98 | steps=131 | track=9241c32ec649277390076a751e369621
global_step=4496 | return=-71.04 | steps=149 | track=54d9ba94c6d15dd626245aa5238be9f7
global_step=4720 | return=-62.29 | steps=151 | track=87a66674ef9430cc0296c7d0d2998805
global_step=4912 | return=-147.38 | steps=131 | track=2e4f8a28d10447ade290616c7ae7c902
global_step=5200 | return=-21.36 | steps=62 | track=9d16b2698bab43f538a0752ac2f204a0
global_step=5280 | return=-132.93 | steps=131 | track=2274f6456adc4400c6f075f8a73a933d
global_step=5328 | return=-153.78 | steps=202 | track=c426ab4352626148a4bd898677efde07
global_step=5520 | return=3.28 | steps=281 | track=d26618faba77a8d2ab7b04523dbc631d
global_step=5664 | return=-76.85 | steps=153 | track=7aa7a294c32be97105baa200cc3cebf9
global_step=6288 | return=-160.44 | steps=130 | track=93b599086e9e0245dc4fcefcf935023e
global_step=6304 | return=-140.93 | steps=131 | track=aeaa873e257a4fefbbb4c3e1e6cb69cc
global_step=6320 | return=-137.18 | steps=131 | track=814f38409d803c1411a42fefb73b3e73
global_step=6320 | return=-153.98 | steps=131 | track=5e4d42134429321edb514fe354710e4c
global_step=6320 | return=-144.39 | steps=131 | track=3a4ae753340ab86a5788de5447ae0ab8
global_step=6320 | return=-134.21 | steps=131 | track=4cf4b60a5121a376f52c714f715cffff
global_step=6608 | return=-142.56 | steps=131 | track=1dc73e60f38c09d5c667a49c3a9034d6
global_step=6832 | return=-151.17 | steps=131 | track=7b3a2dde5412c88a5cdcaf4931cb8df8
global_step=7008 | return=-148.29 | steps=130 | track=a2fd535cf02180e5007abe07a92934d5
global_step=7024 | return=-131.62 | steps=175 | track=6b99e921371cbbc6b6827e638da48ae0
global_step=7040 | return=-58.53 | steps=44 | track=d45d600a697140061e55ff08b8ce1df5
global_step=7072 | return=-34.91 | steps=47 | track=af12e9d936b48912119e9b3c9f394641
global_step=7168 | return=-132.75 | steps=184 | track=bd70c4c16b09ccc9bef9e4ceef90670d
global_step=7312 | return=-131.60 | steps=131 | track=b855502397ab9c1e4e892096eed4cb8c
global_step=7584 | return=-91.86 | steps=143 | track=ccb2859b03c5e5ec4063bdb80054b8ca
global_step=7632 | return=-158.14 | steps=131 | track=df2bb7e1a31fe242f62524600be58840
